@relation 'R_data_frame_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1'

@attribute -0.645V2-0.63V3-0.295V5-0.278V4+0.149V1 numeric
@attribute '-0.772V1+0.45 V4-0.281V3+0.271V5-0.221V2' numeric
@attribute 0.608V1+0.546V5+0.523V4-0.197V3-0.142V2 numeric
@attribute Class {1,2}

@data
0.579652,0.761477,-0.096443,1
-0.633483,0.089638,0.92371,1
1.14472,-0.543349,-0.191556,1
1.919481,-0.576631,-1.437569,1
0.095871,0.978921,-0.517798,1
-0.088111,0.590613,-0.021986,1
2.122292,-1.334414,-1.637464,1
0.225697,0.150908,-0.970987,2
-0.436462,1.405028,0.249464,1
-1.31919,-0.308764,-0.251385,1
-0.280007,-0.168415,1.447396,1
0.393907,0.826023,-1.080676,1
0.27956,0.757393,0.318829,1
-0.768949,1.450472,0.336249,1
-0.563974,0.693757,-0.600295,1
0.468673,1.208283,-0.820534,1
0.875895,-0.076672,-0.430018,1
-0.186751,1.335253,-1.550514,1
0.025877,-0.962939,-0.989712,1
1.90405,-0.880797,-1.426254,1
1.439583,-0.930353,-1.041413,1
0.704124,-0.880549,-0.276046,1
0.228805,0.819638,-0.22984,1
1.425792,-0.873006,-0.793332,2
-0.910073,1.790195,-0.306947,1
0.090877,-0.624915,0.525855,1
0.252433,-0.316343,-0.012993,2
0.378791,-0.066492,0.427229,1
0.83261,-0.432538,0.29978,1
0.111073,1.01212,-0.238648,1
-0.662361,-0.636942,0.188414,1
-0.085152,0.317666,-1.5015,1
1.513802,-0.470298,-1.033411,2
1.368296,-0.476507,-0.218334,1
0.499844,0.459867,-0.279653,1
1.141802,-1.769781,0.189309,1
-0.357882,0.19539,0.799526,1
1.081942,-0.499851,-0.063341,1
-2.013962,-1.283832,-1.222471,1
0.186166,0.652178,0.022128,1
-0.091128,0.791076,0.443858,1
-0.759369,0.631786,1.854691,1
0.88495,-0.018039,0.079942,1
0.857485,-0.11738,0.344754,1
0.719569,-0.385508,-0.048695,1
0.509122,1.495954,-0.393412,1
-0.752536,0.183731,1.03176,1
-1.382151,0.143965,-1.877347,1
0.956653,-0.361396,-0.263173,1
-0.248429,1.215198,-0.038772,1
-0.384345,-0.338504,2.71127,1
0.958686,-1.776433,1.609571,1
-0.194576,1.029166,1.128934,1
0.078351,-1.019482,0.543201,1
-4.87684,-0.934086,-0.073321,1
-1.841856,-0.888206,-1.512999,1
-1.078236,1.250766,1.460716,1
1.012515,-0.369951,-0.469249,1
1.140225,-1.252498,0.009145,1
-0.365989,0.440638,0.084017,1
1.564072,-0.940937,-1.167622,1
0.384119,0.33838,0.233763,1
0.159018,0.268597,0.68868,1
0.159003,1.130386,0.239733,1
-0.349182,1.760109,-0.497316,1
0.632197,-0.618122,0.642848,1
-0.008137,-0.690653,0.848735,1
-0.130252,0.073003,0.207726,1
-0.328134,1.351247,0.375224,1
-0.512586,0.804335,0.383452,1
0.528393,0.010221,0.339145,1
-0.178691,-1.663553,0.258689,1
0.115665,-0.098905,0.686684,1
0.112308,1.041683,0.142286,1
0.5957,-1.349799,-0.57007,1
0.622337,-0.24872,0.016857,1
-0.96469,0.458663,0.194944,1
-0.481173,1.005616,-0.418538,1
0.890812,0.438336,-0.79678,1
-0.296047,1.982548,-0.245552,1
0.461835,0.70262,-0.616921,1
0.269054,0.7495,-1.208507,1
0.766153,0.414457,-1.232444,1
-4.454392,-0.73943,0.233186,1
0.020058,-0.105672,-0.373027,1
-0.803354,-0.817344,-1.262086,1
0.115909,-0.570925,1.912561,1
1.968174,-1.141457,-1.438262,1
0.791299,0.886665,-0.562132,1
0.902234,-0.199561,0.17989,1
-0.059837,-0.427206,-0.334783,1
1.314438,-1.20844,0.227676,1
-0.303387,0.832451,0.280406,1
-0.650037,0.398166,2.250439,1
-0.049651,0.770965,0.316963,1
1.857666,-0.865641,-1.126881,1
-0.292224,-0.100168,1.350688,1
0.079233,0.234793,0.795649,1
-9.09443,-0.878119,1.961501,1
0.458927,0.060781,0.456611,1
-0.3751,1.539962,-0.286158,1
-2.290567,5.654088,-7.818949,1
1.172044,-0.651186,-1.356777,1
-0.433948,0.950799,0.318765,1
-0.148981,0.065494,0.23429,1
0.758575,-0.875607,0.531179,1
-2.136381,1.050822,-1.760328,1
0.147742,0.173573,0.054159,1
0.826624,-0.466354,0.575572,1
-0.359838,0.948096,0.272093,1
1.868834,-1.519806,-1.648556,1
0.45717,-0.297432,-0.851378,1
0.822031,-0.290439,-1.222263,2
0.424803,-2.544047,-0.574575,1
0.105463,-0.240098,-0.048985,1
-0.163464,0.578735,0.550176,1
0.263955,0.874056,-0.199763,1
-0.200809,0.074856,0.444376,1
0.087104,1.007126,0.300285,1
0.07828,0.893989,0.476774,1
1.173952,0.722725,-1.883289,1
-0.498049,0.198065,0.814829,1
0.62461,1.09857,-1.01327,1
0.673596,-0.048051,0.382525,1
-0.410349,0.455683,2.040548,1
-0.508617,1.755453,0.108676,1
0.971861,-1.394736,0.281632,1
0.715346,0.018296,-0.065359,1
0.494216,-0.79743,1.55969,1
0.546361,0.658758,-0.396392,1
0.741034,0.369794,-0.258898,1
1.265583,-0.880013,-0.856895,1
-0.482843,0.098739,1.569166,1
0.404327,0.391481,0.934054,1
-0.612562,0.793947,-0.049301,2
-0.572173,-0.829703,-0.194754,1
-1.005138,-1.553559,-1.795726,1
-0.335977,0.534298,0.557763,1
0.854631,-0.35326,-0.655929,1
-0.898477,-0.93933,-1.78984,1
1.539962,-0.283575,-0.876646,1
0.799755,-0.605606,0.576894,1
0.296622,0.894001,-0.267003,1
-0.698808,0.194359,-0.087606,1
-0.102885,0.6511,0.59123,1
0.151601,0.698458,0.747171,1
-0.151545,-0.251849,-0.141664,1
0.487002,-0.328584,0.685331,1
0.639715,-0.016476,-1.04103,1
1.656414,-1.30377,-0.044033,1
-9.850485,-2.111054,-0.97701,1
0.049378,-0.393972,-1.182452,1
1.061989,0.50381,-1.301597,1
0.512972,0.219607,0.259999,1
-0.226104,0.07922,0.524211,1
0.114479,0.591251,0.233071,1
0.493571,0.557654,-0.229498,1
-0.017663,1.979269,-1.94856,1
0.893233,-0.048378,-0.669797,1
0.421308,-1.371858,1.042304,1
0.648726,0.550223,0.218204,1
0.097368,0.91672,0.6719,1
0.240916,1.29181,-0.392806,1
1.063152,-0.194189,-0.546935,1
-0.054629,0.702556,0.687972,1
0.343419,1.325842,-2.583452,1
-0.350537,3.000506,-1.577162,1
1.084865,-0.524966,0.433971,1
0.811133,-0.782357,0.320723,1
0.052625,1.159656,-0.3165,1
0.699439,1.843661,-2.451686,1
-0.403972,1.171679,0.267185,1
0.290159,-0.458729,-0.034346,1
0.515911,-0.093598,-0.335332,1
1.769978,-1.379995,-0.486782,1
0.500496,0.410568,-0.330711,1
1.146632,-0.837065,-0.064972,1
-0.040224,0.962719,0.514984,1
1.069232,-0.973449,0.000007,1
-0.765832,1.082942,1.920107,1
0.594986,-0.674638,0.876745,1
1.95627,-1.283045,-1.563575,1
-0.805055,0.67213,0.252891,1
0.001783,1.238168,-0.08787,1
-0.091207,1.710703,-0.646821,1
-0.02017,0.885732,0.546668,1
0.623517,-0.705458,0.152777,1
0.199891,-0.2998,0.522753,1
-0.162792,1.688823,-0.401344,1
-0.403054,0.403257,0.053067,1
-1.023248,0.662454,-1.289905,1
0.24273,-1.558728,0.787701,1
1.880321,-3.539883,1.400771,1
0.258603,-0.07587,0.576824,2
0.152707,-1.604502,-0.266559,1
-0.31201,0.735262,0.986214,1
1.073546,0.910872,-2.281458,1
-0.521807,-0.757803,-0.399307,1
1.651611,-1.238199,-0.211416,1
0.440782,-0.034371,0.912425,1
-0.284607,-0.181669,0.653675,1
-0.738835,1.657936,0.708732,1
-0.228203,1.838266,-0.355123,1
-1.632504,-0.814522,-1.435319,1
0.129323,1.31245,-0.248654,1
0.437993,0.190982,-0.491343,1
-0.265919,-0.575454,2.167668,1
-0.084226,0.045019,0.067379,1
-0.040957,1.047093,0.283244,1
-0.258143,0.279371,1.435257,1
1.791283,-1.024706,-0.847667,1
0.628035,-0.104901,-0.240278,1
1.086742,-1.567003,0.857697,1
0.369601,-1.016298,0.603049,2
0.33426,-0.061265,0.812128,1
0.789382,-0.793025,0.21845,1
0.983106,0.205689,-1.116774,1
0.233909,0.952729,0.331668,1
0.03763,1.491998,-0.004107,1
0.947366,-1.76554,0.745465,1
-0.796245,-0.275006,-1.196715,1
0.205865,-0.742972,-0.561694,1
-1.175251,1.644967,0.001919,1
1.272199,0.003033,-1.815251,2
-0.618912,1.902115,0.039607,1
1.771716,-0.679996,-1.081281,1
-0.844477,-1.747171,-1.974757,1
-0.186077,-0.172894,0.863279,1
0.318373,0.63232,0.226622,1
-0.215126,-1.220418,-0.401063,1
0.69588,0.270806,-1.213891,1
-0.166454,0.006621,0.645814,1
0.66903,0.588989,-0.320151,1
-7.668191,0.228527,2.993235,1
0.254503,1.424422,0.221117,1
-0.265095,1.46957,-0.198553,1
-0.731228,-0.716893,-0.037712,1
-0.297996,1.506403,-0.264111,1
1.239078,-0.089075,-1.015743,1
0.685012,-1.148332,-1.103703,1
-0.673271,1.440351,-0.493973,1
0.628787,0.19992,-0.415935,1
0.686613,0.408804,0.153179,1
-0.067194,-1.343788,1.70546,1
-1.021479,-1.346245,-1.34615,1
1.525124,-0.531232,-0.819173,1
-0.901169,2.149805,-0.364229,1
-0.239439,0.777127,0.260462,2
2.296444,-1.2915,-1.433203,1
1.404018,-0.780446,0.093137,1
2.158007,-1.145677,-1.41818,1
0.085158,-1.260214,-0.253049,1
1.798759,0.34197,-2.115204,1
-0.200546,0.893301,0.018602,1
-0.002813,-0.344715,0.51933,1
-0.19105,1.260045,-0.074909,1
-0.506755,-0.271275,1.622297,1
-0.389148,0.668051,0.91886,1
1.538833,-1.046004,-0.214586,1
0.56119,-0.424823,0.545261,1
0.584933,0.283065,-1.007178,1
-0.136065,1.41791,-0.839353,1
0.83191,1.175788,-1.913077,1
-0.128349,0.828631,0.976372,1
0.677869,0.364135,0.068326,1
-0.753471,-0.859027,-0.959867,1
0.316201,-1.870512,-0.063461,1
-4.590775,-1.899242,-2.353829,1
-0.745742,1.334679,0.330309,1
0.507495,-0.702601,0.775676,1
0.574436,-0.681811,1.079608,1
1.855853,-0.941529,-1.003349,1
0.355654,-0.025864,0.647165,1
0.290756,0.328014,0.429192,1
0.141477,-0.465308,-0.819698,1
0.976631,-1.280896,0.539433,1
0.544735,-0.047096,0.585261,1
1.74994,-2.079746,-0.67227,1
-0.962241,1.611546,0.163329,1
0.334189,-0.35812,0.373266,1
-2.642179,6.118782,-7.272309,1
0.808019,0.345541,-1.858101,1
-0.134317,1.306651,0.203419,1
-0.14223,-0.376176,-1.207792,1
0.641914,-0.199953,0.023507,1
-1.382372,1.928514,1.310625,1
0.048099,-0.676396,-0.861122,1
1.073102,-1.361998,-0.989268,1
1.184184,-0.428221,0.227052,1
-0.345398,1.37952,-0.233995,1
0.016617,0.318865,0.903997,1
-5.966025,-0.964381,-1.333692,1
0.837317,-0.480603,0.711336,1
0.378623,1.602835,-1.616362,1
0.747646,-1.853505,-1.417402,1
-0.334682,1.341362,0.444463,1
0.270638,0.017402,0.616458,1
-0.948742,2.343079,-0.132607,1
0.656129,-0.771801,1.125726,1
0.645084,0.640681,-0.40877,1
0.704489,-0.9714,0.383435,1
-0.279237,0.268476,0.848829,1
1.065037,-1.62365,0.813328,1
0.376796,-1.327188,0.096176,1
0.801953,-0.437124,0.297067,1
-0.177891,0.301116,2.255869,1
-0.119078,2.080773,-0.896204,1
0.426626,-0.127131,-0.617426,2
-0.278916,0.67887,0.379884,1
-0.440725,0.514366,1.839856,1
0.795601,-0.651083,-0.68065,1
0.188761,0.663126,0.772277,1
0.433719,-0.236545,-0.502755,1
0.579424,0.976406,-1.947905,1
0.215692,0.676865,-0.754729,1
0.052739,-0.061526,0.061099,1
0.832671,0.470927,-1.03685,1
0.67168,0.086549,-0.550576,1
-0.561078,0.766355,0.667975,1
-1.021477,-0.985414,-0.037525,1
-0.033206,0.301257,-0.161792,1
-0.271242,-0.203886,1.565567,1
-0.626616,0.796665,0.417845,1
1.069006,-0.65013,-0.278674,2
0.250396,-0.524684,1.378917,1
1.26938,-1.375872,0.238789,1
0.696736,0.181561,-1.104922,1
1.630551,-2.09006,-0.043886,1
-0.427562,2.133654,-0.398631,1
-0.645352,0.847536,0.795217,1
0.668811,-0.916985,0.095634,2
1.273866,-0.478321,-0.36029,1
-0.576877,0.718334,-0.201308,1
0.626136,-4.029505,0.416689,1
1.484904,-0.81572,-0.439055,1
0.286296,0.024834,1.108549,1
0.409837,-0.731342,1.439042,1
0.59323,-0.668668,0.610883,1
1.771383,-1.090763,-0.710268,1
-4.961958,-1.601082,-0.718984,1
1.517995,-1.165737,-0.033083,1
-2.07914,-0.101151,-2.833595,1
0.104976,-0.830304,0.831557,1
0.782856,-0.404555,0.11834,1
-0.066316,1.165845,0.217462,1
0.390232,1.997111,-1.879385,1
-0.981569,-1.130231,-0.676376,1
-0.193512,-0.473679,-1.459467,1
0.255893,-0.267466,1.228513,1
-0.823216,0.36824,0.869506,1
0.980806,-0.554398,-0.19668,1
0.562247,0.213812,0.303506,1
0.385943,-1.357845,0.73354,2
0.941608,-0.882182,0.087794,1
-0.320928,0.48598,0.833015,1
-0.155842,1.742174,-0.638977,1
0.999234,-0.501015,0.1686,1
-0.407103,0.389396,-0.669837,2
0.854342,-0.790845,0.165852,1
0.718411,0.121806,-0.695049,2
-0.024694,0.120434,0.544387,2
0.658625,0.300571,-0.161821,1
-0.106317,1.502929,-0.627402,1
-0.654059,1.195281,0.011962,1
-2.012527,-0.694586,-0.825935,1
-0.288893,0.72222,0.535071,1
-0.542596,-0.126012,-0.970978,1
0.533338,0.563652,-0.531065,1
1.15412,-0.727276,-0.399354,1
-2.646852,-1.410634,-1.562449,1
0.531398,0.052532,-0.216123,1
-0.610853,0.359711,-0.050665,1
1.847244,-1.606112,-1.53493,1
0.459744,0.03984,-0.803401,2
-7.565734,-0.810188,0.120972,1
-0.386893,1.208349,0.47993,1
-0.032027,1.045954,0.067033,1
-3.690427,-0.804665,-1.085776,1
0.164832,0.153414,0.699207,1
-0.479706,0.726408,0.242075,1
0.540335,-0.005095,-0.309379,1
-0.761316,1.373347,0.341264,1
0.173194,0.724883,-0.263008,1
-3.157394,-2.363766,-2.239717,1
1.013496,-0.600067,-0.091923,1
-0.660929,-0.07272,1.477628,1
0.054676,1.119424,0.284824,1
0.201124,1.327245,-1.348156,1
-0.244106,0.486941,0.581186,1
0.737541,-0.330757,0.321375,1
1.279752,-0.836554,-0.869466,2
-0.291321,2.383288,-1.881703,1
-0.996887,-1.910633,-1.299025,1
-0.34287,0.82522,0.13034,1
0.874457,-0.865554,0.740991,1
-2.015843,-1.776511,-1.908595,1
0.03984,0.077509,1.317002,1
-0.495718,1.649045,-0.672688,1
-1.039403,1.445026,1.504399,1
-0.241008,0.58072,0.917957,1
0.443556,0.615858,-0.68626,1
0.277119,-0.307022,0.384412,1
-2.961067,-1.244313,-1.315417,1
-0.754551,-0.671863,-0.112351,1
-0.245296,0.923161,-0.199135,1
1.096098,-2.007145,0.265238,1
-0.017111,-0.403081,-0.272567,1
-0.431745,0.250694,1.281424,1
1.427185,-1.61186,-0.124042,1
0.277403,-0.234616,1.23514,1
0.24979,1.126894,-0.64519,1
0.936485,0.040597,-0.470811,1
0.453643,-0.741493,-0.120909,2
-5.088133,-1.380093,-1.687211,1
0.384706,-0.129066,0.365169,1
1.38913,-0.773051,-0.299866,1
0.688055,0.311772,-0.423144,1
-0.969969,2.443112,-1.009724,1
-6.11769,-1.515332,-0.237453,1
1.520476,-0.842284,-0.523812,1
0.849142,-1.057832,0.199178,1
0.20357,-0.110483,0.418502,1
-0.617608,0.273398,2.029032,1
0.753001,-0.647582,-0.183068,2
0.490137,0.465399,-0.492046,1
-0.39438,0.795723,1.345998,1
-0.598288,0.887371,0.229341,1
-0.323657,1.134946,0.208106,1
-0.176598,1.143695,-0.785276,1
1.171951,0.293186,-1.130545,1
0.369758,-0.010421,0.247936,1
1.471593,-1.145773,-0.795531,2
-0.831371,1.754759,0.603371,1
-0.169283,1.540735,-0.104549,1
1.162459,-0.848704,0.216271,1
-1.31669,0.057767,-1.027808,1
-0.283938,0.102523,0.077404,1
0.442224,-1.402676,-1.291264,1
0.520896,-0.616376,-1.546383,1
1.599383,-1.068279,-1.149173,1
-1.708873,-0.556376,-0.606553,1
0.10213,1.567233,-0.634974,1
0.161618,0.534677,-0.170975,2
0.238112,-0.37391,-1.080711,1
0.133633,0.53191,0.251877,1
-0.140351,1.696786,-0.189667,1
-0.213726,0.942359,0.003655,1
0.145761,0.322829,0.249398,1
1.356144,-1.262645,-0.870626,2
-0.384477,1.076319,0.643284,1
0.445638,-1.466335,2.233314,1
0.152878,0.26814,-0.53771,2
0.918659,-0.309918,-0.147471,1
1.033928,-0.721282,0.229312,1
0.085592,2.148906,-2.280536,1
1.63468,-0.776288,-1.351274,1
0.803569,-0.523487,0.682715,1
-0.190805,1.133548,0.424755,1
-0.353993,0.333272,0.777141,1
1.208088,-0.653301,-0.496812,1
-1.006036,-0.716706,-1.07011,1
-0.09801,0.411044,0.741945,1
1.717784,-0.709919,-1.057586,1
-0.593907,0.52656,2.498641,1
-0.571213,0.140675,1.280225,1
0.889112,-0.06373,-0.856134,1
-0.052821,0.69515,0.247269,1
0.412534,0.181167,0.58101,1
1.056295,-1.44143,-0.020793,1
0.656425,-0.762588,0.944009,1
1.116049,-1.136497,0.098608,1
0.442385,-0.138365,0.551037,1
0.405027,0.060161,0.49253,1
0.054088,0.086706,-0.077025,1
-0.856196,1.701418,0.010989,1
-0.727687,0.966369,0.227919,1
0.804682,-1.154075,1.055484,1
2.110107,0.847741,-0.99359,1
0.138997,-1.556754,-0.258848,1
-0.237631,-0.023092,0.64906,1
-0.523905,0.360747,0.23512,1
0.440216,0.388374,0.589092,1
1.193847,-0.934593,0.253079,1
0.656984,0.773057,-0.88568,1
1.127711,-0.750123,-0.486697,1
-3.230552,-1.283805,-2.375863,1
-0.569251,0.531278,0.932411,1
-0.276164,0.630934,0.199934,1
-1.448716,-1.286947,-1.521391,1
0.595006,-0.273358,0.485794,1
0.327608,0.474774,-0.09666,1
0.553225,-0.210758,0.587823,1
-1.090765,1.294872,2.4029,1
-0.223407,1.54177,-0.309195,1
0.310786,-1.692996,-0.621207,1
0.816512,-0.704046,0.478331,1
1.007922,-1.647814,-0.080338,2
-0.508235,1.270745,-1.691532,1
1.774001,-0.734778,-0.948561,1
0.83151,-0.62783,0.497419,1
0.310955,0.179082,0.711017,1
0.291895,0.105821,0.22523,1
0.121993,-1.328182,2.040847,1
-0.036196,-0.293705,-0.921585,1
0.853915,0.743366,-0.161344,1
-0.863204,-0.669751,2.498188,1
0.110785,-0.118906,1.12651,1
-0.54687,-0.112309,1.09234,1
-0.522011,1.323483,0.771161,1
1.069369,-0.238385,-0.135861,1
0.461614,0.663041,-0.570192,1
1.768048,-0.253034,-1.635311,1
-0.094261,-1.137287,2.463747,1
1.075308,-0.027032,-0.410744,1
-0.18283,0.011444,0.599587,1
1.347832,-0.529991,-0.171758,1
0.603021,0.018953,0.175208,1
0.541923,-0.730499,0.490512,2
-2.142865,-1.382764,-1.678377,1
-0.284401,-0.351551,1.080767,1
0.22181,0.719371,-0.268221,1
0.686646,-0.541205,-1.28892,2
0.594228,-0.200496,-0.109439,1
1.444392,-0.855178,-0.648162,1
0.157482,-1.510496,-1.516404,1
0.334125,-0.017364,0.3908,1
0.927555,-0.890787,0.700836,1
-0.127267,0.136591,0.096318,1
-0.198591,-1.224353,-1.220644,1
-0.375606,0.578406,0.311938,1
-0.959341,1.366394,0.641226,1
0.563034,-0.767496,1.576332,1
1.587669,-1.2684,-0.276735,1
0.629234,0.693905,-0.4542,1
0.353004,-0.600067,0.296415,1
0.943528,-0.900041,-0.048884,1
0.106885,0.107014,-1.242926,1
-0.259198,1.066758,0.534426,1
-0.745175,0.47803,2.122297,1
0.139218,-0.504034,1.205919,1
-0.222815,0.996308,0.315552,1
1.476455,-1.146846,-0.439997,1
-0.507607,0.949002,0.548372,1
-0.213684,-0.623538,-0.908173,2
1.240481,-0.630691,-0.115719,1
0.523854,-0.706364,0.443808,1
1.032591,-0.304959,-0.187974,1
-0.544148,1.342949,-0.395495,1
0.804766,-0.516073,0.506917,1
1.11952,0.181554,-1.764609,1
-10.338351,-3.426534,2.893138,1
0.887487,-0.553257,0.194436,1
-0.414763,-1.131801,-1.043327,1
-0.095491,0.402236,0.405823,1
1.671714,-0.752858,-0.971285,1
0.398062,-1.046898,1.256435,1
-0.379963,0.515785,-0.410443,1
-0.314628,1.263179,-0.737479,1
-0.743892,-1.768056,-1.904303,1
0.21202,0.38821,0.36921,1
-2.024869,-0.712592,-0.39416,1
-0.021215,-0.193367,-0.214873,1
-0.479424,0.903105,0.350383,1
0.409503,-0.341303,0.803798,1
0.490387,-0.735475,0.113189,2
1.97367,-1.071705,-1.420049,1
0.483778,-0.009917,0.052515,1
0.235965,1.503609,-0.653163,1
-3.350513,-1.848942,2.556075,1
-0.057142,0.807338,0.691357,1
0.777536,-0.627826,-0.653069,1
-0.759439,0.956738,-0.115568,1
0.28763,0.905189,-0.516138,1
-0.284043,0.726534,-0.329861,1
0.863682,-0.645721,0.791972,1
0.954111,-0.823697,0.093289,1
-0.379532,-0.501599,1.297779,1
1.603652,-0.54667,-1.58529,2
1.059154,-0.425048,-0.296774,1
0.362533,-0.347464,0.850625,1
0.434939,-0.63959,0.136748,1
0.457705,1.482419,-1.562957,1
0.635599,-0.761155,0.355613,1
1.614827,-1.127136,-0.933629,1
0.224104,0.273749,0.461342,1
-0.521079,1.386553,-0.96903,1
-0.757998,1.105382,0.049457,1
0.460752,0.53465,-0.437792,1
-0.781542,0.835294,1.049679,1
1.279008,-1.365481,0.130435,1
-0.265919,0.852832,1.067612,1
0.359124,0.513497,0.153251,1
1.003013,-0.873615,-0.596324,1
0.847876,-2.249026,1.414668,1
-9.487909,2.617908,3.297642,1
1.852427,-0.107911,-1.485353,1
1.027234,0.39004,-0.842693,1
-0.674236,0.949938,-0.028905,1
-0.04268,1.115019,0.339182,1
0.009384,0.410509,0.860028,1
0.899997,-1.084068,0.711579,1
2.027647,-1.190012,-1.338746,1
-1.900657,-2.922703,0.080207,1
-0.013659,0.385084,1.103069,1
-0.458679,1.287774,0.231161,1
0.918393,-0.342849,0.080761,1
-0.918578,0.697615,0.773749,1
-0.838534,0.72236,-0.252996,1
1.260137,-1.199179,0.076124,1
0.087503,0.232578,0.933811,1
0.052049,0.878971,0.099653,1
-1.143934,-1.451654,-1.417548,1
0.569988,0.987734,-0.845458,1
-0.172984,-0.192714,-0.224952,1
-0.810874,2.358435,0.197385,1
-0.476906,0.133135,1.022595,1
1.388426,-0.71756,-0.560562,1
0.476546,-0.743111,0.311926,2
0.385185,-0.014453,0.346531,1
-0.594206,0.553685,0.573466,1
-0.399564,-0.062483,1.238723,1
0.832623,-0.5513,0.825934,1
0.13978,0.361397,-0.687695,1
0.012234,0.191286,-0.141649,2
-0.156158,0.611599,0.777844,1
0.285291,0.213841,0.052152,1
0.421537,0.82088,-0.401552,1
0.780538,0.473355,-0.849237,1
0.783385,0.864121,0.086419,1
-0.122406,0.584857,0.641682,1
-0.198973,1.332747,0.15676,1
0.123745,-0.22201,0.280866,1
1.056433,-0.229302,-0.208234,1
1.078136,1.530227,-2.851896,1
0.403041,-0.542215,-0.851894,1
0.751459,-0.06597,-0.205709,1
-1.325032,-0.844994,-1.128794,1
0.170757,-0.298909,1.641799,1
1.00243,-0.339154,-0.409506,1
