@relation R_data_frame-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute Class {1,2}

@data
1329.44114,419.524876,1
1416.363936,389.793877,1
1491.391874,426.084499,1
1224.717538,358.455709,1
867.757455,426.084499,1
1195.902448,394.120367,1
1226.291972,370.029099,1
821.201141,403.209477,1
1029.111671,366.009702,1
1507.694976,481.915424,1
1268.053795,434.071158,1
995.582804,338.442728,1
1379.001002,369.215555,1
826.967658,354.89721,1
1070.133908,400.103737,1
849.744126,357.803245,1
1289.292029,720.524129,1
966.323963,414.377048,1
831.151254,491.902429,1
1212.089155,378.764871,1
460.199145,308.952658,1
1039.576895,323.662619,1
1152.470754,340.975159,1
1103.749377,424.785461,1
886.088268,325.048259,1
1400.54425,412.107195,1
1490.480815,401.733943,1
1156.166084,378.786175,1
541.961123,302.596551,1
1209.704294,400.836567,1
1130.139596,373.914782,1
2148.609027,920.801511,1
901.95316,349.67629,1
1421.821109,401.515012,1
1079.067653,542.131903,1
646.933447,348.56899,1
1387.190832,412.024403,1
1529.7206,428.802433,1
846.230488,364.885428,1
955.51458,564.071271,1
1117.663807,381.30475,1
969.494828,339.317067,1
1360.525909,402.846093,1
377.78886,326.610223,1
1029.721179,400.069788,1
813.367076,342.030325,2
849.570921,452.931286,1
1376.500094,422.337034,1
1294.483332,394.702336,1
1241.462312,368.727809,1
1240.364885,419.535268,1
1141.583602,363.696895,1
1189.918905,362.106872,1
745.359313,324.817204,1
1264.653087,419.292781,1
988.654601,329.782474,1
1107.300081,332.03414,1
1338.671585,376.873818,1
1716.971746,406.624388,1
961.807813,368.291679,1
1096.106183,350.115884,1
1216.765692,357.957225,1
987.26896,345.86318,1
748.549058,330.258788,1
604.109184,354.31732,1
1400.435304,412.444599,1
1237.903121,347.949781,1
1257.363924,392.808165,2
969.282305,458.76033,1
804.028724,544.815889,1
1627.694746,420.888346,1
897.661831,358.958696,1
1051.574811,514.859031,1
806.2118,300.568492,1
924.127914,349.874263,1
929.721572,358.491216,1
1342.014616,472.470898,1
1292.802723,390.808339,1
1163.860893,350.82793,1
1215.12977,424.44875,1
1422.013713,374.989,1
983.227566,376.778728,1
876.665219,309.789584,1
2147.396591,1192.343776,1
968.49301,425.764242,1
816.950689,336.017857,1
1056.291185,353.16516,1
1389.175589,415.493354,1
1253.101693,375.899366,1
1060.832969,356.080721,1
1086.94069,394.120367,1
774.226711,348.918691,1
1201.00403,398.371686,1
910.318273,328.217046,1
1082.195044,350.643987,1
1286.91375,359.184036,1
882.393284,334.372408,1
1335.90602,377.834586,1
785.918054,383.216241,1
1324.441575,377.587076,1
955.603607,325.003746,1
894.145768,366.78722,1
1214.231702,372.45501,1
927.884386,354.822905,1
1519.632097,416.177168,1
984.471005,397.172587,1
1043.528569,380.024764,1
679.958287,319.531331,1
889.937404,356.257217,1
862.095034,339.28208,1
1175.882538,366.812334,1
999.393316,338.368423,1
1382.882182,391.443483,1
1102.326671,364.473027,1
540.16897,318.581821,1
1288.178494,439.171182,1
1155.368995,366.556684,1
1150.947762,372.823936,1
1005.376685,354.755529,1
927.56413,377.281369,1
1093.853651,384.461759,1
1227.529176,378.081923,1
1163.067614,418.48807,1
938.771538,474.581921,1
1111.110593,416.991232,1
1005.166934,344.100818,1
1112.361653,357.444018,2
973.721898,432.765192,1
1203.932755,396.167305,1
807.520538,348.334643,1
1166.792389,444.014862,1
773.911824,319.117198,1
1030.797129,348.348326,1
1254.809842,427.797843,1
1476.573313,407.464952,1
1371.966625,380.230705,1
884.012059,573.375501,1
1258.59853,365.538065,1
970.406926,384.362512,1
1515.544457,403.567838,1
794.433855,396.062342,1
1283.449648,369.583789,1
1493.363121,394.963529,1
611.650187,305.392081,1
1090.268306,371.890534,1
1108.512517,356.802466,1
1060.448107,367.548976,2
1199.314068,367.14229,1
848.093655,365.157013,1
800.446323,340.079169,1
1068.30417,348.637059,1
1192.516981,354.20439,1
1131.029177,381.051178,1
953.189821,470.228412,1
807.135676,408.763991,1
1827.313602,457.838706,1
644.253618,314.263299,2
1502.604998,395.518825,1
529.023396,304.624436,1
900.853828,514.369034,1
1251.382806,409.129453,1
1182.265665,357.527503,1
1053.596287,471.219664,1
819.797487,367.274446,1
1250.25195,411.766154,1
1050.850987,338.285284,1
2194.854783,780.808504,1
764.779067,320.744286,1
1466.317841,399.830246,1
1195.554998,448.82113,1
1516.699042,407.897965,1
549.286139,287.520434,1
621.18911,377.547239,1
1272.562323,420.145989,1
898.587959,355.994118,1
827.573876,328.743243,1
1442.798323,433.012702,1
872.4863,536.702097,1
546.536335,309.938194,1
1318.090665,417.809106,1
1348.459404,374.989,2
427.089954,285.23915,1
770.43785,313.212463,1
486.165704,296.598286,1
1050.055802,448.601159,1
476.846924,276.728372,1
1309.297216,409.119234,1
1153.545838,408.034624,1
1564.258386,396.206622,1
1330.500116,431.061373,1
1342.339376,409.630016,1
769.660332,317.437628,1
950.781924,361.10973,1
887.849244,368.580412,1
1361.56514,398.544891,1
729.720626,339.93385,1
1316.661723,367.367976,1
703.212628,329.089653,1
1095.239465,480.029394,1
1064.345221,440.229638,1
1297.261368,907.102894,1
1433.347214,420.85561,1
1200.16693,372.46315,1
1174.949136,373.256949,1
571.637042,300.955086,1
1203.843208,369.096563,1
1084.065832,364.275053,1
977.890598,416.283689,1
914.828533,352.217555,1
1013.249722,333.528034,1
552.524208,341.578606,1
1529.534058,442.205908,1
1092.744792,387.202903,1
1331.947071,581.969071,1
623.653819,345.255403,1
1209.595002,377.171384,1
976.29919,449.178452,1
845.240794,355.895218,1
1597.399965,432.563581,1
993.999363,428.971308,1
614.28429,378.057155,1
837.947994,314.595159,1
1484.887157,396.46643,1
1174.473515,377.300768,1
2114.091679,780.554066,1
960.710906,337.413197,1
1025.374078,365.46272,1
673.863893,422.187384,1
1404.251705,388.681208,1
1173.717475,372.417597,1
1516.930097,422.273987,1
1051.984787,349.874263,1
1128.697491,347.986847,1
954.716624,370.022171,1
1441.932297,411.714886,1
1026.673116,361.565606,1
988.852574,406.487556,1
837.654065,344.287706,1
1407.387583,368.926822,1
1018.792285,365.11631,1
784.272606,338.009715,2
1415.800327,407.966728,1
1328.2074,384.98761,1
897.309186,375.769462,1
1402.961154,355.542746,1
971.343792,385.573736,1
940.751099,374.865331,1
1237.377097,399.064506,1
917.30017,389.198918,1
899.733884,348.075528,1
1017.889021,363.607001,1
1576.599248,428.682575,1
1124.295483,477.345408,1
1281.896692,397.893813,1
1222.985314,394.27781,1
1088.394227,416.624903,1
803.48434,328.855653,2
1030.199052,374.06114,1
756.521341,342.272465,1
868.574117,368.060797,1
933.575385,353.338365,1
1270.830446,392.680686,1
1593.537665,422.926104,1
977.678075,349.951859,2
789.130489,320.711377,1
1335.230347,437.561241,1
816.565827,457.068982,1
781.897271,322.16145,1
967.869991,350.63013,1
1085.748346,370.411363,1
1025.181647,385.092572,1
699.748526,314.325999,1
1499.522987,846.106819,1
744.024075,313.28469,1
1125.486615,565.572266,1
1061.12863,410.86722,1
1138.219786,355.542746,1
1141.421482,369.200313,1
966.484351,344.678111,1
905.555307,470.167963,1
760.409795,452.419465,1
1144.390564,377.339566,1
1683.842118,458.935787,1
965.937369,350.36045,1
1028.786911,347.539285,1
1044.234206,381.243609,2
861.60954,352.308487,1
1555.714699,408.597367,1
1365.202447,384.630807,1
828.857845,335.541196,1
1178.198637,402.41308,2
808.867727,356.402709,1
945.312801,331.798234,2
1255.526911,382.100974,2
779.64318,340.473904,1
1382.176544,389.632623,1
1814.210291,445.137058,1
1192.035991,573.116386,1
1138.015404,393.300934,1
1217.828998,459.015461,1
1001.587305,357.726169,1
803.08874,341.647022,1
1215.312675,632.169273,1
914.149743,366.248725,1
1566.813161,458.647054,1
413.52713,331.294035,1
928.338876,355.936441,2
2297.228512,847.742568,1
1273.304854,391.072304,1
1203.775311,378.042952,1
1272.277921,700.268142,1
1414.230223,383.403303,1
1302.29211,420.727092,1
935.668395,371.957911,1
1366.035217,426.526691,1
1104.867936,376.143758,1
1100.339315,745.2689,1
1050.825699,347.179885,1
1523.805127,438.475244,1
1212.889363,363.648224,1
1206.373387,386.24733,1
1275.36686,402.211816,1
1004.212921,352.585269,1
716.613159,327.084112,2
1367.330444,404.310195,1
1009.455665,535.038808,1
1277.798833,408.266026,1
921.754139,348.05561,1
973.16054,714.854607,1
1162.373754,373.396552,1
1468.464198,414.117586,1
1353.655383,412.228092,1
1306.76565,385.447989,1
1059.004789,368.54196,1
1095.786447,385.773268,1
1160.236057,654.172381,1
1167.968105,476.125352,1
1322.959113,405.346654,1
886.410256,380.385031,1
1198.194297,425.795766,1
1406.713989,418.482701,1
784.272606,345.370931,1
1112.423488,365.183341,1
1030.570231,374.815795,1
771.507911,335.450956,1
973.173358,364.7699,2
1550.185473,869.489505,1
923.71915,370.164026,1
724.36374,319.829763,1
965.368217,350.413104,1
1630.292823,439.507892,1
1986.342713,793.060685,1
622.908517,319.106805,1
1093.553833,383.098115,1
1210.668181,370.44687,1
1421.011029,405.755765,1
877.346954,338.76385,2
966.195791,362.142899,1
999.353998,380.539357,1
1436.209428,426.120179,1
1371.269301,396.499166,1
1312.028487,410.149631,1
737.296963,320.522237,1
1063.976987,372.251494,1
575.513198,317.768277,2
1242.241388,404.217357,1
1291.340179,375.662594,1
812.851444,337.230292,1
1022.239932,498.913078,1
1336.844964,437.16512,1
677.033026,412.256498,1
674.229702,408.533108,1
563.231399,326.601736,1
969.948452,532.990485,1
1349.844872,367.656709,1
946.050828,343.929172,2
996.986805,420.50487,1
1303.667877,387.613052,1
1335.555452,377.51485,1
1387.642897,404.331499,1
1414.343326,385.99982,1
649.872564,330.609701,2
1498.066505,399.001459,1
1332.986302,377.240666,1
1050.574205,374.73283,2
829.322381,337.089996,1
818.428648,338.1656,1
1169.134295,393.175533,1
557.893565,326.179808,1
1083.232716,341.976977,1
1351.316249,384.887843,1
1193.158879,406.644826,1
730.834335,338.44879,1
1069.774508,489.171158,1
1346.155777,392.735246,1
558.435004,307.168472,1
1326.750919,384.515279,1
1711.82565,438.315375,1
849.227802,355.626057,1
1290.765658,387.055678,1
1017.023688,349.127922,1
1036.151245,373.930544,1
1170.051243,367.296616,1
792.831362,346.85807,1
1125.100194,365.795794,1
1197.60488,370.875379,1
1184.413928,405.111961,1
1639.415881,426.562371,1
1591.170645,442.21682,1
1243.927367,364.360443,1
624.328279,203.014541,1
928.974712,434.419993,1
1356.443119,422.290441,1
1615.340028,450.075308,1
1092.67655,352.781684,1
834.800338,329.330235,1
777.80634,341.098481,1
814.929905,356.58596,1
1329.782008,680.623741,1
1248.855917,419.309409,1
1411.140244,416.75065,1
876.236883,563.45085,1
909.153469,358.27471,1
829.479132,368.580412,1
1245.738226,363.258339,1
1291.243877,391.01047,1
1358.460612,396.239878,1
798.331142,444.848325,1
1131.302668,354.888031,1
956.721819,353.810695,2
1146.617635,433.878727,1
598.134821,303.969547,1
980.41385,352.435793,1
1195.676761,361.577384,1
987.720852,375.026585,1
1521.317902,411.6508,1
963.840548,411.179682,1
716.045566,296.259496,1
1677.862386,465.921667,1
1061.242079,382.259976,1
1609.581998,444.249901,1
1282.847241,379.771019,1
914.968137,329.13919,1
1049.229094,361.211402,1
529.661137,297.566329,1
1467.913059,409.630016,1
614.108313,323.893501,1
1235.429925,408.943085,1
648.407942,312.243034,1
885.727482,349.224744,1
1100.140996,357.957225,2
1134.965609,606.165302,1
1710.705879,440.806931,1
1246.804823,376.04174,1
787.687171,350.468183,2
820.54504,361.160479,1
671.073559,329.923636,1
657.189613,459.302808,1
1326.317906,372.823936,1
1072.055619,346.857204,1
1126.598418,406.326995,1
797.695999,411.968285,1
1043.916028,399.524019,1
1545.972259,441.204783,1
1254.004785,348.142212,1
750.720183,320.154523,1
1035.766383,342.413108,1
1169.738608,396.679992,1
1047.197918,363.037849,1
827.487273,403.423558,1
1515.17986,381.780544,1
1545.825381,405.538739,1
1403.105607,398.588192,1
1439.124643,395.645957,1
748.415863,331.534963,1
1451.738476,414.792913,1
927.94622,441.348196,2
1063.543282,326.459534,1
815.757825,360.266568,1
961.981019,341.733624,1
1262.482654,417.059648,1
881.397355,344.071893,1
875.675525,349.874263,1
2385.033962,1054.818942,1
920.601459,344.972213,1
933.431105,482.23187,1
1222.680992,395.054289,1
636.629304,315.877743,1
1234.230653,386.969076,1
1295.209407,437.798705,1
1295.574004,405.562295,1
638.549455,541.265877,1
1039.444912,366.382439,1
948.379916,573.290631,1
1425.817816,435.095493,1
1494.821335,418.72207,1
1070.198687,368.488613,1
1006.305584,364.260331,2
467.778945,307.76499,1
1048.389742,366.37274,1
1148.859255,353.440209,1
1060.509941,665.10751,1
1341.300145,372.655235,1
701.757705,375.092923,1
1553.237173,459.790727,1
1132.689002,366.761759,1
1378.18538,424.465378,1
1002.099645,338.50768,1
951.385371,360.981905,1
1367.454113,430.685172,1
537.705647,301.376841,2
881.549775,338.776321,1
1061.561642,367.998962,1
991.599087,387.113355,1
1099.694819,368.139605,1
876.379604,366.718977,1
577.146176,314.232814,1
1271.325293,378.344848,1
1434.571081,433.878727,1
1440.781869,435.752979,1
947.791192,357.554176,1
1335.90602,423.610091,1
980.340757,346.236956,1
1200.806057,377.751967,1
1284.863521,368.255133,1
884.762903,371.44609,1
1236.684277,384.515279,1
1321.554766,940.503589,1
511.509244,275.742489,1
771.491803,327.631093,1
1520.981191,445.185209,1
1021.359011,361.526289,1
1204.814542,371.223002,1
943.751184,360.266568,1
492.106119,301.071134,1
1022.776002,617.476113,1
1071.342014,368.157099,1
1173.464422,385.237025,1
725.143336,332.467499,1
1786.937073,462.911883,1
1497.054814,453.320998,1
938.944743,350.393878,1
1446.528814,376.321293,1
1058.090613,367.258857,1
928.379233,561.184462,1
928.379233,351.606314,1
975.015913,418.879167,1
1389.104748,393.175533,1
1097.011699,423.382499,1
740.789643,324.991794,1
1192.292507,372.64744,2
1179.290348,366.525507,1
1324.906458,431.469098,1
1449.341664,429.5486,1
947.179952,335.797367,1
1003.87621,393.277378,1
1195.278216,386.038791,2
1253.738049,384.126087,1
1131.111623,374.700267,1
1090.918518,357.622939,1
1005.975109,348.661828,1
923.925437,335.52301,1
1208.347059,384.597378,1
1258.885877,378.21685,1
1136.802622,395.384591,1
815.469439,326.730081,1
758.638254,330.475294,1
885.894971,400.855447,1
890.274115,350.839015,1
979.205917,498.173666,1
1280.233057,373.937472,1
743.11648,337.416834,1
881.173401,347.67248,2
1151.92204,384.515279,1
1603.423172,864.840335,1
1495.201347,397.488686,1
1000.943155,362.135278,1
1293.347106,416.929398,1
835.454707,308.478249,1
953.370128,323.398654,1
836.10821,350.945017,1
1282.064008,410.565323,1
1124.870697,381.90352,1
1310.689958,400.576067,1
818.121901,328.619575,1
1269.529156,380.987092,1
1378.712443,741.400191,1
1057.315173,440.19569,1
1246.994136,427.610435,1
1202.325931,443.758518,1
1012.064653,351.150438,1
1247.571428,366.452414,1
1212.002553,395.77361,1
875.483614,423.469448,1
1687.558752,447.410374,1
610.395143,277.179052,2
1811.725145,478.046023,1
1189.323426,405.218656,1
1658.149915,842.931451,1
1066.774249,399.343366,2
914.217119,341.214009,1
1156.625078,362.575911,1
991.184954,356.275403,1
802.632344,490.516789,1
1317.365628,413.799062,1
1299.412575,386.01333,1
882.796505,350.805414,1
1285.249596,375.07387,1
1009.188236,354.473204,1
1622.107497,430.847638,1
992.695995,363.037849,1
998.819834,490.568231,1
532.234618,297.912739,1
1251.725752,392.355061,1
1277.291169,395.100015,1
1268.265279,415.518989,1
1702.781574,465.26903,1
1320.916679,432.101124,1
1163.01444,583.354712,1
719.099864,341.870976,1
1236.782311,437.391846,1
1087.150615,352.876427,1
1418.357181,384.900141,1
926.965879,357.924835,1
930.111284,353.338365,1
938.771538,545.294801,1
1588.637001,437.862444,1
1781.514195,433.645593,1
1086.115368,357.937306,1
1014.311296,361.384087,1
512.284164,316.30071,1
1135.445907,397.895372,1
1213.197668,375.439333,2
825.755223,334.20336,1
1365.000316,373.978695,1
1336.362588,425.913718,1
934.874423,474.148909,1
1433.753207,386.24733,1
1140.955214,395.040779,1
1583.056853,429.096708,1
1178.119309,374.989,1
1186.379459,368.625618,1
1157.009939,344.554442,1
1040.636737,446.6914,1
734.389542,330.421947,1
1277.865343,426.174046,1
1056.358562,380.409626,1
675.779195,318.557745,1
954.316694,373.776564,1
816.565827,317.54259,1
1894.863583,479.778074,1
821.259685,340.489665,1
862.561302,345.977149,1
1049.563034,418.977201,1
826.652944,322.330498,1
1085.995856,378.626307,1
1629.612473,411.980582,1
1058.283043,501.139976,1
1210.487008,372.246644,1
1085.418564,356.225174,1
1343.725017,404.814915,1
978.262296,474.392955,1
916.54361,347.179885,1
1149.504444,396.062342,1
1174.948963,371.15372,1
1429.716836,423.577528,1
1169.3075,653.50277,1
1229.669471,366.242143,2
705.243804,335.498241,1
1329.060262,390.577457,1
919.430246,331.68773,1
900.233407,317.305473,1
860.895416,356.035687,2
1458.11606,423.526952,1
1563.175854,467.653718,1
1179.27909,372.143414,1
1235.657863,380.281454,1
1117.605784,422.014179,1
794.3185,341.214009,1
1569.840612,437.305243,1
1156.280573,405.846871,1
956.175877,365.965535,1
931.019744,432.263936,1
1035.766383,350.740289,1
506.957935,293.942359,1
1167.087357,415.272345,1
1042.092006,344.90397,1
922.440723,360.761415,1
748.678962,347.276187,2
1268.531668,364.345201,1
846.351905,348.763153,2
711.786279,316.488984,1
1080.799704,379.319127,1
1482.635491,439.940905,1
1167.080083,365.30164,1
651.11254,313.870643,1
1371.737301,375.527321,1
1475.656366,478.046023,1
1157.612347,329.541545,1
805.345255,353.143682,1
1186.193783,411.350289,1
1370.376775,387.979381,1
973.812138,408.364233,1
1020.0236,510.783515,1
1545.586185,438.660054,1
1271.272812,385.197534,1
1315.616257,390.948636,2
1169.134295,392.020775,1
870.438496,364.039148,1
1726.754023,460.544169,1
1166.412377,369.669179,1
1955.485362,473.911444,1
944.601448,404.159334,1
1193.883396,425.968971,1
1301.780462,388.556673,1
994.389768,392.117077,1
1021.274141,394.863763,1
1023.459642,597.679119,1
973.767797,394.063729,1
1145.432565,382.600844,1
1109.898157,362.691439,1
1126.179435,366.271069,2
1742.096702,969.255632,1
1194.813854,383.084432,1
930.111284,393.367964,1
1367.851272,397.137253,1
1574.735388,453.34542,1
1248.808632,346.987454,1
571.624918,317.687043,2
1069.665042,383.772922,1
1129.544637,369.421669,1
1402.233693,400.363544,1
1101.199452,382.975659,1
1055.043589,388.52463,2
943.440627,424.277104,1
1377.774191,405.299889,1
624.752458,311.88883,1
1215.566594,389.711432,1
2618.153971,1655.345725,1
1175.016859,363.076994,1
671.664708,331.522838,1
881.696307,448.188758,1
897.202318,347.409382,1
1382.176544,384.515279,1
1159.608016,345.977149,2
903.730764,351.739509,1
1319.422958,388.91209,1
1106.907079,351.268391,1
1013.414787,370.37014,1
1376.258646,805.999105,1
1308.110761,408.351589,1
1278.253496,403.134825,1
928.105742,347.412846,1
1244.16587,384.779937,1
1282.075786,371.07699,1
1539.975553,411.073334,1
795.619097,346.884743,1
371.723045,298.671204,1
1108.01767,374.617821,1
929.028752,344.966844,1
1007.063876,348.822735,1
1141.986304,801.600562,1
659.141461,329.715097,1
1919.583413,625.228772,1
1457.479532,397.794393,1
1555.194391,404.2856,1
1458.38678,426.084499,1
796.699031,321.228741,1
555.937387,303.261658,1
1518.761048,399.237711,1
710.669973,337.84621,2
1219.638299,419.684398,1
1023.87291,354.575569,1
1405.401787,385.617556,1
1247.726101,370.875379,1
1485.10453,571.171467,1
1717.220123,571.793273,1
854.081874,463.414004,1
778.556838,357.482989,1
1732.375567,437.884095,1
1384.670698,411.673836,1
926.152335,342.50075,1
1078.820316,387.670037,1
976.876655,381.051178,1
848.270151,353.117528,1
856.499124,452.671479,1
1314.626563,392.020775,1
1510.611922,373.445223,1
935.827051,359.227337,1
1150.659202,422.111001,1
1167.85812,368.197455,2
873.819632,365.670566,1
1134.348999,369.143328,1
1292.279297,416.671149,1
1063.93767,371.473976,1
2205.822129,929.005716,1
890.783511,404.841415,1
1497.044768,408.5797,1
1175.165989,404.301362,1
626.76181,309.940793,1
847.30869,339.057779,1
1181.585489,406.705102,1
1036.647997,440.469873,1
1282.696553,388.130069,1
1171.067783,420.445288,1
996.586181,378.721916,1
1656.521614,416.54852,1
1026.678832,411.177257,1
868.928321,462.872219,1
753.730834,415.475687,1
1042.187268,445.023262,1
1258.475901,386.408411,1
1393.571707,445.95753,1
983.338591,349.940947,1
1369.486674,401.729786,1
915.879195,343.279999,1
1439.744544,399.237711,1
733.723396,344.544916,1
1714.730299,429.5486,1
1062.61317,346.410162,1
1239.900868,390.86619,1
1399.999867,430.070121,1
1402.16545,391.583952,1
1199.445184,417.25485,1
640.858799,321.346347,1
877.464041,497.766114,1
1052.864322,380.110847,1
1535.27494,413.809455,1
1280.762025,431.997374,1
996.145721,340.780996,1
1232.230481,446.374261,1
838.151337,338.112426,1
939.314536,501.157296,1
1444.777884,377.463408,1
1017.728633,444.589037,1
955.354019,350.424016,1
1072.659065,435.783983,1
1265.840581,639.126748,1
1057.90511,367.02936,1
1208.798259,361.045991,1
877.514616,467.076426,1
854.890742,370.906383,1
1449.096752,412.333054,1
1068.097883,426.661791,1
1085.067997,357.111811,1
1230.861641,667.208141,1
1251.634646,368.288734,1
1080.418653,403.394633,1
751.168785,332.409475,1
1182.498972,410.845742,1
1050.715194,373.190265,1
950.27045,392.906026,1
1307.226029,377.429633,1
809.31373,343.529068,2
1338.142444,390.111189,1
2191.182143,853.395289,1
1609.0752,429.5486,1
1290.639391,412.620229,1
1095.128614,451.514122,1
2211.395869,904.347028,1
959.478552,365.385125,1
1069.16396,342.457448,1
760.217538,392.818904,1
845.125266,372.852862,1
1044.210131,365.679227,1
1016.713824,360.79952,1
1204.105267,432.930256,1
1232.580182,522.100389,1
846.004975,333.41978,1
1453.190628,377.587076,1
1167.286717,378.395424,1
957.824097,352.793981,1
1151.4989,348.142212,1
1739.638922,926.317226,1
1487.121676,402.488771,1
1565.616487,409.472573,1
1022.342989,358.201444,1
726.736996,323.767581,1
811.807017,352.568641,1
1343.371851,432.879507,1
1365.388988,382.383471,1
1202.909286,370.702174,1
419.379903,277.146835,1
1243.533672,365.935051,1
810.723446,339.976805,1
1084.599131,364.624581,1
1500.562217,416.558219,1
1476.020789,416.498463,1
1205.972245,518.522491,1
1256.121697,386.24733,1
754.536065,316.691807,1
839.942797,306.572993,1
1072.716916,378.934265,1
1183.417132,402.102177,2
1066.549602,341.922591,1
1121.827657,398.479939,1
872.910306,366.415348,1
716.629093,310.14708,1
1213.116088,377.587076,1
1045.213854,355.385302,1
1434.282348,392.959027,1
970.567141,349.68876,1
1691.398536,453.186071,1
1106.656624,527.904318,1
985.652437,352.414662,1
1241.436331,373.789901,1
987.014176,336.170624,1
1531.9617,627.522008,1
1013.827188,346.987454,1
1514.127293,420.573459,1
1370.141043,441.806151,1
1501.68805,383.552952,1
904.148535,413.098621,1
1387.48095,404.000851,1
1367.091075,571.744429,1
1093.501525,559.452411,1
1054.045062,368.632027,1
1073.992398,375.613404,1
867.757455,334.978626,1
1236.337866,383.476049,1
1051.447159,389.734468,1
967.213544,380.002767,1
889.191583,360.158315,1
1366.380241,415.830758,1
1290.288997,463.478956,1
1107.78748,409.36813,1
