@relation 'R_data_frame_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.645V2-0.63V3-0.295V5-0.278V4+0.149V1 numeric
@attribute '-0.772V1+0.45 V4-0.281V3+0.271V5-0.221V2' numeric
@attribute 0.608V1+0.546V5+0.523V4-0.197V3-0.142V2 numeric
@attribute 0.736V5-0.663V4-0.107V1-0.08V2+0.006V3 numeric
@attribute Class {1,2}

@data
-0.084524,1.511582,0.161341,0.1219,1
-0.415531,0.227754,-0.802994,-0.40608,2
-0.547997,1.009444,1.436907,-0.505479,1
0.352799,-1.68571,0.959994,-0.64375,1
-0.46923,1.750665,-0.172217,0.191195,1
1.248171,-0.820988,-0.431913,0.487898,1
0.560129,-1.807554,0.32071,-0.105095,1
0.843293,-0.458936,-0.040875,0.596016,1
-0.884101,0.759985,1.373156,-0.593845,1
0.252716,0.462353,0.477636,0.714978,1
1.254158,-1.020019,-0.097631,-0.040971,1
-0.613551,0.360305,0.542443,-0.740763,1
-2.081423,-2.937363,0.526848,0.950364,1
-0.01767,0.009444,-0.377375,-0.093613,2
0.534585,-0.720901,1.173146,-0.220686,1
-0.533675,1.226568,1.782848,2.105735,1
1.630804,-1.703793,-0.101471,-0.163193,1
-0.030384,1.743599,-0.995316,1.092461,1
-2.630215,-1.498917,-0.783274,1.261517,1
1.174494,-1.277706,0.042469,-0.257037,1
0.419187,0.641035,-0.162847,0.400123,1
1.060968,1.646576,-3.055546,0.189734,1
0.100704,-0.075369,0.269905,-0.888218,1
-0.162752,0.736534,-1.608103,0.146226,1
0.026571,0.976588,-0.35123,-1.251333,1
0.504198,0.294546,0.023274,0.843156,1
-11.257388,0.977159,0.685538,4.031081,1
0.07686,-0.081928,0.797697,-0.089199,2
-4.192184,-1.084653,-0.398129,1.72574,1
0.214561,0.356132,-1.177988,-0.619394,1
-0.356548,0.536213,1.449578,0.730379,1
-0.417656,0.325386,1.314235,-0.443386,1
0.244893,-0.946133,-0.71171,0.937589,1
-0.253409,0.594576,1.39146,1.149382,1
-0.46243,1.172014,0.826668,-0.694466,1
0.579652,0.761477,-0.096443,0.286925,1
-0.633483,0.089638,0.92371,1.02775,1
1.14472,-0.543349,-0.191556,0.799891,1
1.919481,-0.576631,-1.437569,0.634888,1
0.095871,0.978921,-0.517798,-0.558662,1
-0.088111,0.590613,-0.021986,0.008646,1
2.122292,-1.334414,-1.637464,0.242921,1
0.225697,0.150908,-0.970987,0.578852,2
-0.436462,1.405028,0.249464,-0.755421,1
-1.31919,-0.308764,-0.251385,-0.350322,1
-0.280007,-0.168415,1.447396,-0.930495,1
0.393907,0.826023,-1.080676,0.059689,1
0.27956,0.757393,0.318829,0.343747,1
-0.768949,1.450472,0.336249,-0.196558,1
-0.563974,0.693757,-0.600295,0.166195,1
0.468673,1.208283,-0.820534,0.184686,1
0.875895,-0.076672,-0.430018,-0.162987,1
-0.186751,1.335253,-1.550514,-0.80765,1
0.025877,-0.962939,-0.989712,-0.596509,1
1.90405,-0.880797,-1.426254,0.461813,1
1.439583,-0.930353,-1.041413,0.573759,1
0.704124,-0.880549,-0.276046,0.826108,1
0.228805,0.819638,-0.22984,-0.056834,1
1.425792,-0.873006,-0.793332,0.304529,2
-0.910073,1.790195,-0.306947,-1.707597,1
0.090877,-0.624915,0.525855,0.551918,1
0.252433,-0.316343,-0.012993,-0.408166,2
0.378791,-0.066492,0.427229,-0.294124,1
0.83261,-0.432538,0.29978,0.7804,1
0.111073,1.01212,-0.238648,-0.467864,1
-0.662361,-0.636942,0.188414,0.120757,1
-0.085152,0.317666,-1.5015,-0.489811,1
1.513802,-0.470298,-1.033411,-0.149825,2
1.368296,-0.476507,-0.218334,0.369163,1
0.499844,0.459867,-0.279653,0.473936,1
1.141802,-1.769781,0.189309,-0.185024,1
-0.357882,0.19539,0.799526,-0.601683,1
1.081942,-0.499851,-0.063341,0.982931,1
-2.013962,-1.283832,-1.222471,0.965396,1
0.186166,0.652178,0.022128,0.050542,1
-0.091128,0.791076,0.443858,-0.27825,1
-0.759369,0.631786,1.854691,0.74806,1
0.88495,-0.018039,0.079942,-0.587525,1
0.857485,-0.11738,0.344754,-0.268917,1
0.719569,-0.385508,-0.048695,0.762463,1
0.509122,1.495954,-0.393412,2.173345,1
-0.752536,0.183731,1.03176,0.971831,1
-1.382151,0.143965,-1.877347,0.720928,1
0.956653,-0.361396,-0.263173,-0.335356,1
-0.248429,1.215198,-0.038772,-1.832457,1
-0.384345,-0.338504,2.71127,-0.783539,1
0.958686,-1.776433,1.609571,-1.267711,1
-0.194576,1.029166,1.128934,0.929143,1
0.078351,-1.019482,0.543201,0.727377,1
-4.87684,-0.934086,-0.073321,0.022304,1
-1.841856,-0.888206,-1.512999,0.256737,1
-1.078236,1.250766,1.460716,-0.17028,1
1.012515,-0.369951,-0.469249,0.550806,1
1.140225,-1.252498,0.009145,0.121867,1
-0.365989,0.440638,0.084017,-1.72496,1
1.564072,-0.940937,-1.167622,0.502652,1
0.384119,0.33838,0.233763,0.418598,1
0.159018,0.268597,0.68868,-0.520498,1
0.159003,1.130386,0.239733,-0.205962,1
-0.349182,1.760109,-0.497316,-1.045961,1
0.632197,-0.618122,0.642848,-1.097215,1
-0.008137,-0.690653,0.848735,0.370872,1
-0.130252,0.073003,0.207726,-0.971968,1
-0.328134,1.351247,0.375224,-0.491319,1
-0.512586,0.804335,0.383452,-1.071451,1
0.528393,0.010221,0.339145,-0.772734,1
-0.178691,-1.663553,0.258689,0.936078,1
0.115665,-0.098905,0.686684,-0.203371,1
0.112308,1.041683,0.142286,-0.122288,1
0.5957,-1.349799,-0.57007,0.04981,1
0.622337,-0.24872,0.016857,-0.16347,1
-0.96469,0.458663,0.194944,-1.185143,1
-0.481173,1.005616,-0.418538,-0.349754,1
0.890812,0.438336,-0.79678,-0.343999,1
-0.296047,1.982548,-0.245552,-0.325552,1
0.461835,0.70262,-0.616921,1.137096,1
0.269054,0.7495,-1.208507,-0.5022,1
0.766153,0.414457,-1.232444,0.207758,1
-4.454392,-0.73943,0.233186,2.275157,1
0.020058,-0.105672,-0.373027,0.420733,1
-0.803354,-0.817344,-1.262086,0.921204,1
0.115909,-0.570925,1.912561,0.311536,1
1.968174,-1.141457,-1.438262,0.501412,1
0.791299,0.886665,-0.562132,-0.087728,1
0.902234,-0.199561,0.17989,-0.885525,1
-0.059837,-0.427206,-0.334783,-0.35624,1
1.314438,-1.20844,0.227676,-0.182961,1
-0.303387,0.832451,0.280406,-0.802468,1
-0.650037,0.398166,2.250439,0.122026,1
-0.049651,0.770965,0.316963,0.391228,1
1.857666,-0.865641,-1.126881,0.502472,1
-0.292224,-0.100168,1.350688,0.528805,1
0.079233,0.234793,0.795649,0.484657,1
-9.09443,-0.878119,1.961501,2.961587,1
0.458927,0.060781,0.456611,1.144469,1
-0.3751,1.539962,-0.286158,-0.830607,1
-2.290567,5.654088,-7.818949,-0.300262,1
1.172044,-0.651186,-1.356777,0.430099,1
-0.433948,0.950799,0.318765,-0.514399,1
-0.148981,0.065494,0.23429,-2.050878,1
0.758575,-0.875607,0.531179,0.710586,1
-2.136381,1.050822,-1.760328,1.754269,1
0.147742,0.173573,0.054159,0.004162,1
0.826624,-0.466354,0.575572,0.303258,1
-0.359838,0.948096,0.272093,-0.429976,1
1.868834,-1.519806,-1.648556,0.705462,1
0.45717,-0.297432,-0.851378,-0.666679,1
0.822031,-0.290439,-1.222263,0.211654,2
0.424803,-2.544047,-0.574575,-0.605569,1
0.105463,-0.240098,-0.048985,-1.762041,1
-0.163464,0.578735,0.550176,-0.239641,1
0.263955,0.874056,-0.199763,-0.614065,1
-0.200809,0.074856,0.444376,-0.291544,1
0.087104,1.007126,0.300285,0.467918,1
0.07828,0.893989,0.476774,0.292332,1
1.173952,0.722725,-1.883289,0.229946,1
-0.498049,0.198065,0.814829,0.180592,1
0.62461,1.09857,-1.01327,0.170843,1
0.673596,-0.048051,0.382525,-0.154938,1
-0.410349,0.455683,2.040548,0.698207,1
-0.508617,1.755453,0.108676,-1.973275,1
0.971861,-1.394736,0.281632,-0.479089,1
0.715346,0.018296,-0.065359,-0.482048,1
0.494216,-0.79743,1.55969,-0.297706,1
0.546361,0.658758,-0.396392,0.354116,1
0.741034,0.369794,-0.258898,1.454103,1
1.265583,-0.880013,-0.856895,0.695995,1
-0.482843,0.098739,1.569166,-0.137381,1
0.404327,0.391481,0.934054,-0.182585,1
-0.612562,0.793947,-0.049301,0.264062,2
-0.572173,-0.829703,-0.194754,0.69518,1
-1.005138,-1.553559,-1.795726,0.440655,1
-0.335977,0.534298,0.557763,-1.963043,1
0.854631,-0.35326,-0.655929,-0.100619,1
-0.898477,-0.93933,-1.78984,-0.592321,1
1.539962,-0.283575,-0.876646,-0.16569,1
0.799755,-0.605606,0.576894,0.460966,1
0.296622,0.894001,-0.267003,1.022408,1
-0.698808,0.194359,-0.087606,-0.811486,1
-0.102885,0.6511,0.59123,-0.233686,1
0.151601,0.698458,0.747171,0.494664,1
-0.151545,-0.251849,-0.141664,-0.668519,1
0.487002,-0.328584,0.685331,-1.792916,1
0.639715,-0.016476,-1.04103,-0.501834,1
1.656414,-1.30377,-0.044033,-0.624615,1
-9.850485,-2.111054,-0.97701,0.147519,1
0.049378,-0.393972,-1.182452,-0.224877,1
1.061989,0.50381,-1.301597,0.155251,1
0.512972,0.219607,0.259999,0.191479,1
-0.226104,0.07922,0.524211,-0.972629,1
0.114479,0.591251,0.233071,-0.401609,1
0.493571,0.557654,-0.229498,0.020898,1
-0.017663,1.979269,-1.94856,-0.199162,1
0.893233,-0.048378,-0.669797,0.658172,1
0.421308,-1.371858,1.042304,-0.851825,1
0.648726,0.550223,0.218204,1.041657,1
0.097368,0.91672,0.6719,1.021542,1
0.240916,1.29181,-0.392806,-0.730171,1
1.063152,-0.194189,-0.546935,-0.003448,1
-0.054629,0.702556,0.687972,-0.365877,1
0.343419,1.325842,-2.583452,0.466332,1
-0.350537,3.000506,-1.577162,-0.406866,1
1.084865,-0.524966,0.433971,0.06178,1
0.811133,-0.782357,0.320723,0.300574,1
0.052625,1.159656,-0.3165,-0.208293,1
0.699439,1.843661,-2.451686,-0.289103,1
-0.403972,1.171679,0.267185,-1.230124,1
0.290159,-0.458729,-0.034346,0.175767,1
0.515911,-0.093598,-0.335332,-0.338896,1
1.769978,-1.379995,-0.486782,-0.052735,1
0.500496,0.410568,-0.330711,0.808128,1
1.146632,-0.837065,-0.064972,0.018295,1
-0.040224,0.962719,0.514984,0.521892,1
1.069232,-0.973449,0.000007,-0.612864,1
-0.765832,1.082942,1.920107,0.941251,1
0.594986,-0.674638,0.876745,-0.18507,1
1.95627,-1.283045,-1.563575,-0.079939,1
-0.805055,0.67213,0.252891,0.154178,1
0.001783,1.238168,-0.08787,0.348547,1
-0.091207,1.710703,-0.646821,0.299104,1
-0.02017,0.885732,0.546668,1.464551,1
0.623517,-0.705458,0.152777,0.219727,1
0.199891,-0.2998,0.522753,0.141607,1
-0.162792,1.688823,-0.401344,0.072757,1
-0.403054,0.403257,0.053067,0.265269,1
-1.023248,0.662454,-1.289905,1.199861,1
0.24273,-1.558728,0.787701,-0.480105,1
1.880321,-3.539883,1.400771,-1.750763,1
0.258603,-0.07587,0.576824,0.250924,2
0.152707,-1.604502,-0.266559,-0.327741,1
-0.31201,0.735262,0.986214,0.689942,1
1.073546,0.910872,-2.281458,-0.279691,1
-0.521807,-0.757803,-0.399307,-0.393329,1
1.651611,-1.238199,-0.211416,-0.207593,1
0.440782,-0.034371,0.912425,0.70983,1
-0.284607,-0.181669,0.653675,-0.29126,1
-0.738835,1.657936,0.708732,-0.147617,1
-0.228203,1.838266,-0.355123,-0.548057,1
-1.632504,-0.814522,-1.435319,1.026627,1
0.129323,1.31245,-0.248654,-0.403905,1
0.437993,0.190982,-0.491343,0.12075,1
-0.265919,-0.575454,2.167668,-0.847421,1
-0.084226,0.045019,0.067379,1.853883,1
-0.040957,1.047093,0.283244,-0.156792,1
-0.258143,0.279371,1.435257,-0.797358,1
1.791283,-1.024706,-0.847667,0.295724,1
0.628035,-0.104901,-0.240278,-0.620659,1
1.086742,-1.567003,0.857697,-1.063713,1
0.369601,-1.016298,0.603049,0.032593,2
0.33426,-0.061265,0.812128,-0.231502,1
0.789382,-0.793025,0.21845,0.521833,1
0.983106,0.205689,-1.116774,0.313235,1
0.233909,0.952729,0.331668,0.772319,1
0.03763,1.491998,-0.004107,0.317221,1
0.947366,-1.76554,0.745465,-1.29528,1
-0.796245,-0.275006,-1.196715,0.623105,1
0.205865,-0.742972,-0.561694,0.761827,1
-1.175251,1.644967,0.001919,-2.170789,1
1.272199,0.003033,-1.815251,0.514453,2
-0.618912,1.902115,0.039607,-0.629203,1
1.771716,-0.679996,-1.081281,0.745966,1
-0.844477,-1.747171,-1.974757,-0.222251,1
-0.186077,-0.172894,0.863279,-0.156449,1
0.318373,0.63232,0.226622,-0.147012,1
-0.215126,-1.220418,-0.401063,-0.499517,1
0.69588,0.270806,-1.213891,0.352008,1
-0.166454,0.006621,0.645814,-0.249284,1
0.66903,0.588989,-0.320151,-0.061548,1
-7.668191,0.228527,2.993235,2.808347,1
0.254503,1.424422,0.221117,2.618836,1
-0.265095,1.46957,-0.198553,-1.16327,1
-0.731228,-0.716893,-0.037712,-0.115778,1
-0.297996,1.506403,-0.264111,-1.463856,1
1.239078,-0.089075,-1.015743,1.624561,1
0.685012,-1.148332,-1.103703,0.941553,1
-0.673271,1.440351,-0.493973,0.051513,1
0.628787,0.19992,-0.415935,0.494998,1
0.686613,0.408804,0.153179,1.346739,1
-0.067194,-1.343788,1.70546,-1.393676,1
-1.021479,-1.346245,-1.34615,0.460122,1
1.525124,-0.531232,-0.819173,1.106423,1
-0.901169,2.149805,-0.364229,0.402948,1
-0.239439,0.777127,0.260462,-0.392124,2
2.296444,-1.2915,-1.433203,0.385836,1
1.404018,-0.780446,0.093137,0.460307,1
2.158007,-1.145677,-1.41818,0.224401,1
0.085158,-1.260214,-0.253049,-0.631915,1
1.798759,0.34197,-2.115204,0.950038,1
-0.200546,0.893301,0.018602,-0.547952,1
-0.002813,-0.344715,0.51933,-0.096382,1
-0.19105,1.260045,-0.074909,-1.746284,1
-0.506755,-0.271275,1.622297,0.046085,1
-0.389148,0.668051,0.91886,-0.089462,1
1.538833,-1.046004,-0.214586,0.023252,1
0.56119,-0.424823,0.545261,0.578891,1
0.584933,0.283065,-1.007178,0.234583,1
-0.136065,1.41791,-0.839353,-1.118851,1
0.83191,1.175788,-1.913077,0.759564,1
-0.128349,0.828631,0.976372,0.087604,1
0.677869,0.364135,0.068326,1.949141,1
-0.753471,-0.859027,-0.959867,-0.302441,1
0.316201,-1.870512,-0.063461,-1.029488,1
-4.590775,-1.899242,-2.353829,-0.573621,1
-0.745742,1.334679,0.330309,-0.305601,1
0.507495,-0.702601,0.775676,-0.708129,1
0.574436,-0.681811,1.079608,-0.493609,1
1.855853,-0.941529,-1.003349,0.40064,1
0.355654,-0.025864,0.647165,-0.370443,1
0.290756,0.328014,0.429192,0.367955,1
0.141477,-0.465308,-0.819698,-0.154152,1
0.976631,-1.280896,0.539433,0.041233,1
0.544735,-0.047096,0.585261,0.594429,1
1.74994,-2.079746,-0.67227,0.172139,1
-0.962241,1.611546,0.163329,-0.687087,1
0.334189,-0.35812,0.373266,-0.132112,1
-2.642179,6.118782,-7.272309,-1.021492,1
0.808019,0.345541,-1.858101,1.072001,1
-0.134317,1.306651,0.203419,0.336671,1
-0.14223,-0.376176,-1.207792,-0.193973,1
0.641914,-0.199953,0.023507,0.864662,1
-1.382372,1.928514,1.310625,0.242981,1
0.048099,-0.676396,-0.861122,-0.298676,1
1.073102,-1.361998,-0.989268,0.49475,1
1.184184,-0.428221,0.227052,0.548748,1
-0.345398,1.37952,-0.233995,-1.189288,1
0.016617,0.318865,0.903997,0.390434,1
-5.966025,-0.964381,-1.333692,-1.522778,1
0.837317,-0.480603,0.711336,0.416543,1
0.378623,1.602835,-1.616362,-0.114563,1
0.747646,-1.853505,-1.417402,-0.09848,1
-0.334682,1.341362,0.444463,-0.378763,1
0.270638,0.017402,0.616458,-0.13287,1
-0.948742,2.343079,-0.132607,-0.427771,1
0.656129,-0.771801,1.125726,0.201831,1
0.645084,0.640681,-0.40877,-0.535532,1
0.704489,-0.9714,0.383435,0.062862,1
-0.279237,0.268476,0.848829,-0.926643,1
1.065037,-1.62365,0.813328,-0.680278,1
0.376796,-1.327188,0.096176,-0.224896,1
0.801953,-0.437124,0.297067,0.854902,1
-0.177891,0.301116,2.255869,0.171171,1
-0.119078,2.080773,-0.896204,1.064967,1
0.426626,-0.127131,-0.617426,1.246096,2
-0.278916,0.67887,0.379884,-0.882033,1
-0.440725,0.514366,1.839856,0.6492,1
0.795601,-0.651083,-0.68065,-0.246491,1
0.188761,0.663126,0.772277,-0.836133,1
0.433719,-0.236545,-0.502755,-0.031264,1
0.579424,0.976406,-1.947905,-0.354364,1
0.215692,0.676865,-0.754729,-1.091566,1
0.052739,-0.061526,0.061099,1.048748,1
0.832671,0.470927,-1.03685,0.050189,1
0.67168,0.086549,-0.550576,-0.342316,1
-0.561078,0.766355,0.667975,-1.338221,1
-1.021477,-0.985414,-0.037525,0.338114,1
-0.033206,0.301257,-0.161792,-0.821357,1
-0.271242,-0.203886,1.565567,0.557234,1
-0.626616,0.796665,0.417845,1.26301,1
1.069006,-0.65013,-0.278674,0.435596,2
0.250396,-0.524684,1.378917,0.865833,1
1.26938,-1.375872,0.238789,0.391902,1
0.696736,0.181561,-1.104922,0.118584,1
1.630551,-2.09006,-0.043886,-1.431423,1
-0.427562,2.133654,-0.398631,0.216713,1
-0.645352,0.847536,0.795217,-1.19321,1
0.668811,-0.916985,0.095634,-0.018785,2
1.273866,-0.478321,-0.36029,0.327521,1
-0.576877,0.718334,-0.201308,-0.586676,1
0.626136,-4.029505,0.416689,-0.656632,1
1.484904,-0.81572,-0.439055,-0.051432,1
0.286296,0.024834,1.108549,1.336915,1
0.409837,-0.731342,1.439042,0.369157,1
0.59323,-0.668668,0.610883,-0.051912,1
1.771383,-1.090763,-0.710268,-0.149819,1
-4.961958,-1.601082,-0.718984,0.179914,1
1.517995,-1.165737,-0.033083,0.268368,1
-2.07914,-0.101151,-2.833595,-0.16239,1
0.104976,-0.830304,0.831557,0.249002,1
0.782856,-0.404555,0.11834,-0.859923,1
-0.066316,1.165845,0.217462,0.626442,1
0.390232,1.997111,-1.879385,0.304343,1
-0.981569,-1.130231,-0.676376,1.099401,1
-0.193512,-0.473679,-1.459467,0.816378,1
0.255893,-0.267466,1.228513,0.240644,1
-0.823216,0.36824,0.869506,-1.802771,1
0.980806,-0.554398,-0.19668,-0.377162,1
0.562247,0.213812,0.303506,0.334254,1
0.385943,-1.357845,0.73354,-0.032635,2
0.941608,-0.882182,0.087794,0.251484,1
-0.320928,0.48598,0.833015,-1.391712,1
-0.155842,1.742174,-0.638977,-0.811383,1
0.999234,-0.501015,0.1686,0.629588,1
-0.407103,0.389396,-0.669837,-0.093469,2
0.854342,-0.790845,0.165852,0.679048,1
0.718411,0.121806,-0.695049,0.124939,2
-0.024694,0.120434,0.544387,-0.272393,2
0.658625,0.300571,-0.161821,1.353267,1
-0.106317,1.502929,-0.627402,-1.06472,1
-0.654059,1.195281,0.011962,-2.792233,1
-2.012527,-0.694586,-0.825935,0.234233,1
-0.288893,0.72222,0.535071,0.782717,1
-0.542596,-0.126012,-0.970978,-0.834381,1
0.533338,0.563652,-0.531065,0.114638,1
1.15412,-0.727276,-0.399354,0.161396,1
-2.646852,-1.410634,-1.562449,-0.12727,1
0.531398,0.052532,-0.216123,0.523146,1
-0.610853,0.359711,-0.050665,-1.936356,1
1.847244,-1.606112,-1.53493,0.54578,1
0.459744,0.03984,-0.803401,0.28638,2
-7.565734,-0.810188,0.120972,-0.1569,1
-0.386893,1.208349,0.47993,0.333164,1
-0.032027,1.045954,0.067033,0.080347,1
-3.690427,-0.804665,-1.085776,0.845634,1
0.164832,0.153414,0.699207,-1.252289,1
-0.479706,0.726408,0.242075,-0.182888,1
0.540335,-0.005095,-0.309379,0.29356,1
-0.761316,1.373347,0.341264,0.048367,1
0.173194,0.724883,-0.263008,0.083751,1
-3.157394,-2.363766,-2.239717,-0.311194,1
1.013496,-0.600067,-0.091923,-0.801272,1
-0.660929,-0.07272,1.477628,-0.843891,1
0.054676,1.119424,0.284824,0.160941,1
0.201124,1.327245,-1.348156,-0.932573,1
-0.244106,0.486941,0.581186,-0.10348,1
0.737541,-0.330757,0.321375,0.050783,1
1.279752,-0.836554,-0.869466,0.272945,2
-0.291321,2.383288,-1.881703,-1.24079,1
-0.996887,-1.910633,-1.299025,-0.436277,1
-0.34287,0.82522,0.13034,-0.166421,1
0.874457,-0.865554,0.740991,0.397834,1
-2.015843,-1.776511,-1.908595,-0.464663,1
0.03984,0.077509,1.317002,0.593121,1
-0.495718,1.649045,-0.672688,-1.182105,1
-1.039403,1.445026,1.504399,1.187171,1
-0.241008,0.58072,0.917957,0.046964,1
0.443556,0.615858,-0.68626,-0.214532,1
0.277119,-0.307022,0.384412,-0.046941,1
-2.961067,-1.244313,-1.315417,0.585382,1
-0.754551,-0.671863,-0.112351,-0.146203,1
-0.245296,0.923161,-0.199135,-0.646949,1
1.096098,-2.007145,0.265238,-0.519665,1
-0.017111,-0.403081,-0.272567,-0.870257,1
-0.431745,0.250694,1.281424,-0.375977,1
1.427185,-1.61186,-0.124042,-0.235437,1
0.277403,-0.234616,1.23514,0.476198,1
0.24979,1.126894,-0.64519,0.316485,1
0.936485,0.040597,-0.470811,0.842698,1
0.453643,-0.741493,-0.120909,0.110915,2
-5.088133,-1.380093,-1.687211,-0.529903,1
0.384706,-0.129066,0.365169,0.876157,1
1.38913,-0.773051,-0.299866,0.470486,1
0.688055,0.311772,-0.423144,0.140825,1
-0.969969,2.443112,-1.009724,-1.545077,1
-6.11769,-1.515332,-0.237453,-0.343529,1
1.520476,-0.842284,-0.523812,0.707282,1
0.849142,-1.057832,0.199178,-1.054214,1
0.20357,-0.110483,0.418502,-0.379437,1
-0.617608,0.273398,2.029032,0.263248,1
0.753001,-0.647582,-0.183068,0.418241,2
0.490137,0.465399,-0.492046,0.313251,1
-0.39438,0.795723,1.345998,2.178609,1
-0.598288,0.887371,0.229341,-0.732677,1
-0.323657,1.134946,0.208106,-0.462514,1
-0.176598,1.143695,-0.785276,-0.945049,1
1.171951,0.293186,-1.130545,0.564587,1
0.369758,-0.010421,0.247936,0.119428,1
1.471593,-1.145773,-0.795531,0.781753,2
-0.831371,1.754759,0.603371,1.192977,1
-0.169283,1.540735,-0.104549,-0.128848,1
1.162459,-0.848704,0.216271,0.417252,1
-1.31669,0.057767,-1.027808,0.902468,1
-0.283938,0.102523,0.077404,-0.99935,1
0.442224,-1.402676,-1.291264,0.533897,1
0.520896,-0.616376,-1.546383,0.595929,1
1.599383,-1.068279,-1.149173,0.470079,1
-1.708873,-0.556376,-0.606553,1.456532,1
0.10213,1.567233,-0.634974,-0.987545,1
0.161618,0.534677,-0.170975,1.130763,2
0.238112,-0.37391,-1.080711,-0.508925,1
0.133633,0.53191,0.251877,-0.776469,1
-0.140351,1.696786,-0.189667,-0.403352,1
-0.213726,0.942359,0.003655,-0.904502,1
0.145761,0.322829,0.249398,-1.431324,1
1.356144,-1.262645,-0.870626,0.369419,2
-0.384477,1.076319,0.643284,-0.858765,1
0.445638,-1.466335,2.233314,-0.833483,1
0.152878,0.26814,-0.53771,0.109085,2
0.918659,-0.309918,-0.147471,0.608491,1
1.033928,-0.721282,0.229312,0.586153,1
0.085592,2.148906,-2.280536,-0.872301,1
1.63468,-0.776288,-1.351274,0.444875,1
0.803569,-0.523487,0.682715,-0.245397,1
-0.190805,1.133548,0.424755,-0.328247,1
-0.353993,0.333272,0.777141,0.487739,1
1.208088,-0.653301,-0.496812,0.46857,1
-1.006036,-0.716706,-1.07011,0.06585,1
-0.09801,0.411044,0.741945,-0.530067,1
1.717784,-0.709919,-1.057586,0.6432,1
-0.593907,0.52656,2.498641,1.20068,1
-0.571213,0.140675,1.280225,-1.976168,1
