@relation 'R_data_frame-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@attribute V3 numeric
@attribute V2 numeric
@attribute Class {1,2}

@data
109.5319,227.0851,1
73.9553,179.8946,1
127.75,214.5625,2
107.3333,229.2778,1
185.35,284.05,1
107.3077,242,1
103.4583,209.2917,1
90.6944,202.375,1
110.2917,247.3333,1
132.2593,250.7037,1
89.3529,199.3529,1
88.4706,201.5882,1
117.8421,239.5789,1
146.1135,253.5502,1
72.6757,178.7973,1
87.2,194.2333,1
104.5926,216.6481,1
94.5263,214.3421,1
91.4265,184.9706,2
119.7826,259.1304,1
114.8627,231.5882,1
125.4444,213.6667,2
97.8571,214,1
86.2727,198.5455,1
95.6389,218.7222,1
157.3514,258.4595,1
131.8966,246.8276,1
85.1111,178.7778,2
78.569,177.5,1
94.8,202.1,1
98.4,210.7,1
113.7609,242.4348,1
83.9222,189.7611,1
239.8571,330.1587,1
97.3548,214.2742,1
99.6066,222.459,1
104,242,1
84.4815,194.037,1
85.0833,191.5833,1
92.6522,207.2609,1
76.75,181.25,1
127.0769,248.6239,1
208.125,281.125,1
88.0667,201.7778,1
106.1591,232.6364,1
100.8,234.6,1
89.8571,209,1
98.3611,203.9167,1
127.3636,231.0606,1
348.6846,418.3557,1
223.2857,330.3429,1
119.0648,245.2593,1
85.6883,200.2727,1
90.625,204.75,1
116.7938,252.9047,1
82.4419,192.4651,1
94,205.3871,1
97.4,217,1
89.8036,205.4464,1
105.4688,230.2812,1
96.25,211.875,1
119.4828,230.7931,1
113.9645,242.2128,1
100.7619,225.0476,1
114.4444,246,1
94.5455,206.9545,1
158,246,1
100.6364,227.5455,1
90,213.6364,1
121.7241,232.7931,1
94.9737,211.3158,1
134.0213,278.234,1
114.8056,250.6111,1
85.8,195.4,1
102.3333,213.1667,1
91.625,204.9,1
100,231,1
92.1556,206.5778,1
295.3472,415.9948,1
116.3704,239.2407,1
176.0769,284,1
95.8,218.68,1
76.1824,178.3739,1
81.8667,186.8667,1
85.2931,196.8621,1
129.5,245.25,1
88.8333,187.6667,1
105.8837,237.9302,1
106.8824,231.9412,1
100.2051,218.6923,1
73.331,174.7042,1
111.6923,231.4231,1
98.9727,215.8798,1
512.4167,531.625,1
92.1429,201.8857,1
107.4444,231.8148,1
207,313,1
100,201.2464,1
110.3782,237.8824,1
114.8615,247.5692,1
89.619,210.6667,1
189.3333,325.6667,1
109.0436,220.1464,1
86.7262,195.9048,1
110.3333,232.5833,1
89.3151,188.5685,1
110.9216,230.9804,1
118.023,197.4713,2
147.5,261.5,1
112.5727,243.8364,1
104.2296,227.8815,1
93.3908,212.8851,1
111.4062,242.2188,1
90.5731,209.9805,1
92.75,209.0625,1
82.4667,187.5333,1
121.1133,242.0788,1
93.2,190.4,1
95.9,191.7,1
101.8824,217.5882,1
105.3529,234.7647,1
97.6667,212.6333,1
91.407,202.1395,1
94.8333,206.6667,1
90.3158,199.6842,1
84.8,190.675,1
84.9565,204.5652,1
112.5,238.125,1
83.2222,200.8889,1
143.9394,226.7879,2
155.5,264.8654,1
198.6031,314.5496,1
112.25,243,1
97.6735,207.2449,1
192.4286,297.254,1
79.1333,173.5333,1
86.5455,202,1
89.875,206.975,1
130.8125,272.7812,1
98.5333,225.6333,1
92.7381,202.5506,1
128.8333,245.0556,1
96.5,216.5,1
104.0667,217.5333,1
81.1429,178.8571,1
533.4,688.4,1
136.4622,245.8151,1
80,194,1
89.5,203.9,1
116.9016,239.8852,1
99.8547,217.0256,1
89.9444,205.5833,1
101.8182,227.5455,1
87.6552,201.4483,1
109.2,230,1
79.5038,189.4962,1
89.5278,202.4444,1
92.125,207.375,1
87.35,193.05,1
98.9286,218.1429,1
110,221.25,1
98.6667,218,1
80.3077,187.641,1
87.8235,211.7647,1
99.6296,215.037,1
82.5714,204.8571,1
103.24,240.28,1
109.7179,229.3077,1
98.8889,219.4074,1
75.8704,184.4815,1
92.3889,205.6852,1
87.8077,195.8846,1
95.4545,211.7792,1
100.0714,195.3571,1
103.6667,226,1
93.2857,210.4286,1
81.4,183.9333,1
131.3175,253.5556,1
97.1579,211.6316,1
98.25,215.25,1
98,204.8182,1
98.1765,217.8235,1
107.444,221.9691,1
97.5238,218.2857,1
123.2893,241.6142,1
156.5,274,1
122.25,240.75,1
88.6667,198.6667,1
109.2593,206.3704,2
143.25,249.8571,1
96.9091,228.7273,1
82.1111,201.1111,1
166.6831,256.3521,1
75.9394,184.2424,1
89.7024,201.119,1
116.9405,246.9892,1
105.125,235.25,1
98.6842,219.5263,1
198.8846,331.0385,1
92.2174,211.0435,1
94.9706,221.9118,1
112,233,1
114.3333,228.6667,1
99.2759,213.3793,1
104.8065,228.0323,1
77,176.3182,1
94.2667,214.7111,1
91,206,1
124.4545,212.2045,2
94.8182,211.9697,1
91.8824,210.8235,1
88.5517,196.3448,1
87.0714,201.2857,1
91.75,204.5,1
98,220,1
170.7568,271.4865,1
127,236,1
135.6667,264.3333,1
100.12,181.44,2
110.9412,228.3529,1
71.1477,175.875,1
215.5786,296.9711,1
114.3119,236.211,1
91.7907,206.4186,1
142.4706,272.0588,1
95.8046,212.046,1
110.7333,237.7333,1
87.3636,195.3091,1
423.4,450.8,1
80.2727,185.1818,1
101.6316,230.8421,1
170.3413,259.127,1
101.3333,235.5,1
98.6522,166,1
129.7931,217.977,1
123.8571,242.5714,1
92.2,205.5333,1
80.5889,189.8,1
116,250,1
188.5159,309.8651,1
75.8,178.9429,1
116.7778,241.2222,1
121.6667,216.5,2
68.6829,164.6829,1
75.0625,180.8333,1
69.1418,171.2411,1
130.25,259,1
73.5385,159.7692,1
101.9231,236.2051,1
112.7895,235.5789,1
104.375,228.75,1
113.557,248.8734,1
102.5,236.5,1
78.7727,183.2727,1
93.5263,208.4868,1
99.6,212.8,1
107,230.1,1
85.087,196.2609,1
98.525,212.1,1
81.5,190,1
179.2694,277.1451,1
133.5,254.1667,1
305.4452,523.7161,1
116.834,242.9811,1
101.0417,215.0417,1
87.4286,215.5,1
74.6087,173.7565,1
95.0392,213.098,1
93.0571,210.3143,1
128.8293,240.3415,1
94.9412,203.3529,1
97.5,192.5625,1
89.6842,197.2105,1
118.6154,255.3077,1
101.5862,223.5517,1
190,336,1
107.0667,199.3333,1
93.8,217.76,1
138.3333,259.3333,1
92.7381,205.4762,1
118.8889,249.7407,1
137.1429,247.6667,1
105.4143,218.2714,1
77.4211,181.6316,1
113.4,228.9,1
97.5702,217.8347,1
437.0612,450.6531,1
84.0417,194.8056,1
91,211,1
133.2222,243.75,1
100.2418,224.4052,1
98.0769,215.0154,1
111,243.8,1
92.6364,202,1
86.2692,200.9103,1
99.9706,213.6324,1
110.3333,237.7037,1
91,208.75,1
123.6857,234.6857,1
88.3099,198.7746,1
90.7778,213,1
95,210.8,1
128.825,195.15,2
109.2857,235.5397,1
102.3636,222.2727,1
103.358,216.9506,1
93.8182,205.2727,1
108.75,222.6111,1
97.4286,216.4286,1
100.2,230.4,1
114.4852,224.7041,1
87.2308,200.9615,1
94.7321,209.9286,1
113.25,247.5,1
183.4831,275.5955,1
118.3103,229.7241,1
112.2727,227.6364,1
117.5385,240.5385,1
96.4324,189.8649,2
95.0714,215.9643,1
85.1667,197.6111,1
96.8429,212.5,1
87,204,1
95.7143,226.7143,1
117.2059,244.1765,1
118.5373,202.0448,2
81.814,185.1628,1
125.7652,252.6261,1
154.8889,263.8889,1
78.2857,186,1
91.7636,202.4364,1
92,213.8571,1
86.7778,222.3333,1
74.8095,181.4762,1
321.5,488.5,1
81.5,180.875,1
250.6,326.5333,1
109.7143,237.2143,1
94.0606,205.2727,1
95.6316,213.1579,1
93,199,1
198.6613,271.4516,1
144.2273,261.2045,1
90.8571,217.8571,1
127.2,264.9667,1
90.4561,202.2807,1
87.3852,200.6519,1
123.7222,220.1111,2
93.7838,203.4054,1
111.0385,235.9038,1
100.6667,222.0667,1
83.3945,193.7248,1
149.6,232.3333,2
91.9615,205.7692,1
108.4681,191.5638,2
114.7576,220.6061,2
86.1636,196.5727,1
102.3182,224.9545,1
118.4348,257,1
215.9167,330.8889,1
106.0669,227.0724,1
154.4304,265.0127,1
91.6,206.5333,1
88.8462,197.25,1
271.9153,364.9831,1
94.4,211.4538,1
130.8,264.8,1
89.4318,191.2727,1
119.3953,205.5,2
483.6944,489.4444,1
103.1429,225.7857,1
97.3684,218.2632,1
282.8,404.3,1
99.4198,221.358,1
116.1636,242.9069,1
95.3056,214.75,1
111.8936,246.2553,1
99.1458,217.1667,1
293.6458,430.2812,1
90.8056,200.4444,1
122.4231,253.1538,1
91.381,209.9524,1
100,223,1
107.9505,232.2171,1
88.6087,203.5652,1
99.7368,188.8421,2
108.4286,233.4286,1
208,308.9048,1
111.5625,235.7125,1
86.6,200.95,1
196.9304,412.7215,1
95.8387,215.5806,1
116.1818,239.0909,1
109.9333,238,1
106.3846,222.5385,1
95.75,212.7778,1
104.6421,222.7263,1
270.8063,377.6866,1
157.3762,274.8911,1
111.5676,234.027,1
100.6923,219.6154,1
125.8889,245.8333,1
107.5556,241.6111,1
88.8,199.4,1
93.6774,210.8387,1
88.4,216.4,1
83.9939,193.6727,1
125.6714,210.6,2
335,502,1
95.5952,213.7143,1
80.4808,184.6538,1
88.9556,202.3111,1
123.375,253.75,1
430.8252,457.8738,1
76.3455,184.2364,1
93,221.1818,1
113.5918,213.8776,1
109.9474,234.2632,1
113.6585,195.5854,2
93.8542,209.0833,1
95.8864,219.7045,1
120.2371,246.0206,1
106.7297,228.9189,1
110.3,236.8,1
81.0536,185.0536,1
97.8161,214.9195,1
95.5909,183.4636,2
107.2917,233.375,1
98.6667,216.8889,1
80.4,194.7,1
180.5238,288.0476,1
118.1523,252.3974,1
143.1803,238.0164,1
119.8667,235.8667,1
87.1091,188.5636,1
200,307.7222,1
96,212.2667,1
117.0676,198.5676,2
123.1679,242.7786,1
95.0192,223.7885,1
93.5833,217.9583,1
106.0108,233.4409,1
104.4286,222.8571,1
104.551,190.8776,2
104.6364,230.3636,1
97,217.8,1
121.2113,216.3521,2
89.619,194.619,1
84.96,195.24,1
99,227,1
79.9,188.32,1
89.0714,197.4405,1
97.6882,222.2151,1
112.0706,234.7765,1
84.7544,195.4035,1
190.1923,282.4231,1
102.6949,226.7458,1
74.8507,177.3438,1
98,222,1
118.1538,253.0615,1
91.0566,205.3208,1
103.381,223.4667,1
91.7561,201.5691,1
98.8889,215.8889,1
90.2353,212.0588,1
90.2931,200.2586,1
94.4615,211.1923,1
91.1875,214.125,1
110.8372,233.8915,1
122.3448,246.2759,1
122.3837,255.314,1
92.8182,210.3636,1
50.5789,117.2105,1
140.5938,250.8125,1
113.8095,243.8095,1
123.4468,259.8511,1
82.75,203.6786,1
84.6944,190.1389,1
87.4667,196.9333,1
86,205.875,1
306.5,392.9583,1
112.4014,242.0884,1
110.1111,240.6111,1
207.806,325.3085,1
88.05,206.85,1
89.55,212.8,1
92.0909,209.7273,1
107.25,225.75,1
98.1538,228.7692,1
132.375,256.8333,1
93.1053,204.8947,1
119.0909,204.2727,2
135,250.5,1
71.6541,175.4969,1
86.8028,203.4789,1
93.9189,208.7568,1
96.9783,216.5217,1
107,237.6667,1
140.8947,237.3947,1
79.2727,171.0455,1
122,269,1
94.4167,220.6979,1
123.3902,256.4878,1
108.6087,219.2609,1
82.2857,190.0286,1
93.8182,208.5455,1
74.2,171.8,1
106.5,236.5,1
77,187,1
113.9655,236.1034,1
74.8113,180.2736,1
89.4167,201.625,1
111.2778,206.6667,2
248.7879,349.9697,1
116.5294,254.5,1
99.3431,217.1078,1
132.4857,202.3429,2
95.9677,208.5161,1
80.6667,190.4815,1
147.5,265.1786,1
103.25,215.25,1
88.6935,200.2581,1
116.3605,234.593,1
185.35,237.85,1
116.7052,230.6653,1
116.1351,254.7297,1
94.5,201,1
81.9841,184.8413,1
87.4615,197.6923,1
106.6977,229.0233,1
96.2,209.6,1
125.8333,232.9167,1
107.7895,220.4211,1
113.5172,234.1379,1
102.5417,230.125,1
103.4474,228.4263,1
83.9216,191.4118,1
110.5385,239.4808,1
147.5,254.8125,2
87,188.4815,1
104.9231,208,1
82.85,197.3,1
116.7105,240.7895,1
86.9333,198.65,1
91.1429,202,1
599,609,1
89.8491,199.1698,1
160.4167,278.4167,1
106.4576,228.0847,1
74.8837,182.3721,1
102.1667,223.4167,1
121.7895,252.7632,1
117.3636,234.1515,1
187,312.5,1
96.0619,211.531,1
201.4737,330.9895,1
118.6196,251.2025,1
113.545,241.7493,1
94.8193,212.747,1
118.422,210.3058,2
73.9075,177.6882,1
96.7627,211.5254,1
91.4118,204.0588,1
220.5714,384,1
98.4842,215.1526,1
98.98,216.56,1
122.8889,265.4603,1
96.4583,211.75,1
115.087,245.0652,1
86,195.4375,1
88.4565,208.413,1
120.375,248.6562,1
92.6667,174,2
86.963,195.5926,1
97.3929,212.4643,1
106.5,223.5,1
88.2727,212.5455,1
98.6923,211.7253,1
89.681,181.4224,1
96,218.4375,1
122.25,250.5,1
124.0448,251.5821,1
94.4528,206.434,1
115.0952,244.5714,1
89.9,199.9,1
97.4286,218.0952,1
91.2041,212.6122,1
95.4848,214.4545,1
106,222,1
367,543,1
70.88,159.2,1
78.8421,189.1579,1
121.7778,257.0278,1
93.8864,208.7273,1
100.0571,214.3257,1
86.625,208,1
76,173.8235,1
231.5,356.5,1
95.3333,212.5556,1
112.25,222.4167,1
85.3383,191.9502,1
126.082,267.2623,1
141.45,261.725,1
84,202.3,1
101.5,217.2692,1
98.0741,212.037,1
191,324,1
84,203,1
127.6171,241.84,1
105,227,1
110.72,244.44,1
82.4878,187.6341,1
115.0926,215.1481,2
100.2727,211.6136,1
117.2803,249.1088,1
111.5556,248,1
84.5273,193.8727,1
111.8235,227.0588,1
122.2356,222.8796,2
101.9091,221.7753,1
101.5714,216.3333,1
90.5789,206.4737,1
88.8,201.3,1
59.1429,193.7143,1
102.1594,222.0474,1
99.3636,218.3636,1
111.3913,228.2754,1
83.5072,188.6377,1
83.2,190.8,1
118.9434,231.434,1
89.4937,202.557,1
212.0115,287.6207,1
93.4643,215.8929,1
88.3462,194.8077,1
119.3559,200.7288,2
106,222,1
351.3684,499.3158,1
101.4118,229.4902,1
92.2895,209.0789,1
114.3333,240.7143,1
77.8,178.1,1
82.8571,186.7143,1
94.7091,202.6182,1
112.88,237.04,1
102.9206,220.4921,1
107.2727,231.2727,1
79.5,189.7286,1
98.4074,219.963,1
278,428.0476,1
147.7353,254.1471,1
120.5476,246.881,1
134.3469,256.2041,1
89.3158,202.7368,1
94.1905,211.5714,1
105,228.5,1
153.6176,244.4902,1
117.8125,258.3125,1
73.4118,160.0294,2
123,276,1
104.2656,233.9531,1
375.3333,486.6667,1
142.1951,230.561,2
86.1176,197,1
96,209.3333,1
91.1739,205.6957,1
186.8,283.2,1
117.1783,238.907,1
97.9189,222.8649,1
91.457,202.5376,1
97.1961,216.549,1
89.3103,204.6552,1
120.1532,248.75,1
98.7333,209.6,1
179.0135,283.2297,1
68.1429,172,1
103.8421,226.5263,1
105.2222,228.1111,1
121.9,239.9,1
127.5652,268.6232,1
127.1579,249.4737,1
228,336.8,1
80.4828,197.3793,1
131.566,252.5283,1
95.8,203.7333,1
104.2222,222.2222,1
93.648,206.648,1
88,204,1
205.2609,314.8261,1
115.8,252.8,1
115.75,250.3654,1
102.1724,206.6552,1
95.4194,208.6452,1
78.3372,182.6163,1
117.8,229.725,1
132.72,216.76,2
80.1905,192.9524,1
97.25,215.9167,1
114.831,245.9014,1
170.25,273.75,1
108,223,1
107.3846,228.0769,1
112.2609,247.7391,1
91.0625,216.5,1
100.6087,212.8261,1
89.5,198.9286,1
161.3162,257.8974,1
80.3846,190.7692,1
115.4828,246.0517,1
102.2593,219.6296,1
75,183.9194,1
94.925,215.8,1
80.6667,183.3333,1
129,277,1
87.8636,196.5818,1
83.25,199.75,1
128.3793,241.8966,1
79.8293,186.0976,1
93.8,218.6,1
112.7143,237.8571,1
179.5556,289.3333,1
99,214.9167,1
98,205.6667,1
106.04,233.72,1
166.3636,273.8909,1
87.7778,200.4444,1
101,228.6667,1
96.3571,214.2857,1
116.0263,244.5526,1
289.1,377.3,1
111.45,211.45,2
83.9,193.7,1
97.5,225.5,1
81,191.5,1
79.4821,183.1964,1
116.9924,205.5573,2
113.4062,244.5234,1
123.5,270,1
99.3571,214.8571,1
102.3704,219.5556,1
118.85,243.65,1
83.6,197,1
114.087,252.4783,1
97.7368,234.3158,1
98.6452,211.2903,1
150.5274,249.5677,1
88,202.5,1
69.6769,169.7077,1
124.2727,239.7576,1
89.3478,199.1304,1
94.5,208.2857,1
104,200.5,2
95.129,210.3548,1
116.5094,201.3585,2
76.15,182.725,1
101.75,219,1
119,254,1
93.2093,210.907,1
81.16,181.2133,1
99.5405,216.8108,1
133.4412,276,1
92.0435,190.2609,1
92.3708,203.8876,1
113.9726,237.4932,1
104.7812,224,1
129.0769,235.7692,1
193.703,294.901,1
117.1723,253.2605,1
98.8182,222.3939,1
137.2857,225.7143,2
107,226.3333,1
94.5205,210.1781,1
119.1977,265.8953,1
94.5714,213.4286,1
123.4839,273.6129,1
114.8293,233.3415,1
127.1111,245.9333,1
93,224.3333,1
112.8056,226.3889,1
112.8987,227.9747,1
232.4561,345.0702,1
107.0769,227.5128,1
100.6842,220.8947,1
88.8667,209.4,1
119.3667,211.4667,2
396,559.6,1
105.2609,221.1739,1
118.2222,227.1111,1
107.4696,229.2873,1
123.5652,261.7391,1
90,200.3333,1
89.7639,183.4167,2
107.5,221.5714,1
95.1429,213.2857,1
105.53,231.15,1
97.5556,221.1111,1
144.0741,224.3148,2
154.8261,244.9565,1
117.5833,234,1
76.9986,180.0691,1
114.9615,225,1
737.449,955.7143,1
89.9623,209.6226,1
92.6429,191.4048,1
183.5238,258.7619,1
86.9615,200.5769,1
101,222,1
102.75,199.75,2
90.4615,203.0769,1
103.0769,224.5385,1
91.878,202.8049,1
96.6429,213.8333,1
295.3333,465.3438,1
125.0952,235.7619,1
101.25,232.75,1
85.1053,200.5789,1
100.4028,222.1528,1
102.1034,214.2414,1
113.9649,237.3333,1
95.3221,200.274,1
69.7386,172.4379,1
102.5714,216.2857,1
91.7917,199.1667,1
95.5357,201.3929,1
261.6739,462.8043,1
91.3611,190.3611,1
323.688,360.976,1
112,229.6667,1
108.6847,233.4144,1
114.5455,246,1
77.8718,185.4615,1
76.9412,175.0882,1
102,230.5,1
106.5833,195.0556,2
116.4146,242.3049,1
95.1619,204.7143,1
102.4697,222.6364,1
94.875,214.125,1
264.5319,329.766,1
267.5417,330.125,1
154.6119,267.5522,1
92.8333,206.3929,1
115.5,252.8125,1
105.48,237.68,1
85.3429,197.7429,1
102.0536,223.8214,1
98,220,1
91.6574,203.8725,1
154.55,261.35,1
103.3333,226.3333,1
95.6087,215.6087,1
92.6,207.4,1
117.4118,243.7059,1
127.9474,212.5789,2
99.04,211.12,1
93.7917,213.125,1
113.8587,240.5652,1
111.1176,214.4706,1
511.6809,536.3617,1
122.6176,233.7353,1
107.1064,235.8936,1
116.0471,233.4235,1
76.8472,178.9444,1
87.9796,195.7551,1
133.4717,234.8113,1
139.6527,254.3054,1
102.6522,224.087,1
119.407,242.7442,1
100.1954,218.6552,1
109.6966,240.4944,1
110.92,237.3933,1
162.0915,267.2394,1
146.125,239.875,1
166.0202,256.9343,1
100.4884,223.093,1
116.9474,257.4737,1
90.3846,202.0385,1
102.5306,231.9388,1
98.7831,198.1928,1
106.3158,230.5,1
79.2308,198.9231,1
114,248,1
95.5,200,1
92.0476,225.6667,1
120.1505,248.3011,1
105.3784,226.0811,1
116,240.9022,1
76.5882,185.5294,1
174.4479,287.3854,1
95.4286,219.4571,1
108.6957,238.913,1
137.5862,249.4138,1
94.125,196.75,1
136.2857,257.7143,1
84.0581,195.2093,1
181.2239,289.3433,1
94.9286,217.9286,1
146.207,256.6836,1
96.8913,202.3174,1
128.5,251.6,1
258.1667,369,1
94.6909,211.9045,1
90.75,208.45,1
158,269.6667,1
98.7143,214.1429,1
105.9394,238.0606,1
129.3333,246.3333,1
98.6429,206.1786,1
287.1489,385.2128,1
99.6316,212.6316,1
120.42,232.9,1
79.7708,191.9167,1
112.0789,237.2019,1
98.5692,215.4615,1
116.4722,226.8444,1
101.0909,217.9091,1
104.6337,198.3366,2
103.6154,225.2308,1
487.8407,492.708,1
115,248,1
101.2642,238.2264,1
152.7273,260.6818,1
504.375,522.125,1
94.3433,210.9552,1
81.4103,197.7179,1
115.5294,226.7941,1
92.6,215.2667,1
94.6875,211.125,1
93.9231,208.3077,1
118.7143,249.9524,1
183.7609,301.4348,1
86.6765,192.5,1
107,218,1
102.4,218.4667,1
92.6286,203.6857,1
85.8182,201,1
398.4286,534.8095,1
103.9508,232.377,1
107.6818,236.4091,1
91.0769,206.8077,1
82.5818,186.9273,1
90.0808,203.5556,1
124.9615,249.9231,1
101.7692,220.7692,1
91.45,214.025,1
68.0269,160.0108,1
94,211.2727,1
83.0714,196.2857,1
96.7097,210.5161,1
113.1,240.5,1
115.2241,240.4655,1
182.4966,299.3691,1
102.1111,223,1
85.4737,182.8421,1
78.5,177,1
91.6667,218.7778,1
137.5231,232.1538,2
93,197.4091,1
103.875,230.0625,1
94.3,211.55,1
77.5238,179.0635,1
97.2143,218,1
88.4242,205.1818,1
103.0833,226.875,1
88.4286,201.8929,1
105.8235,261.6471,1
194.8571,304.7857,1
92.6667,203.4667,1
96.7308,215.8077,1
86.7941,194.0882,1
273.5714,362.3,1
99.1667,200.3333,1
112.1818,242.8182,1
131.4103,255.0769,1
103,221.4444,1
130.3731,238.5026,1
101.4375,233.25,1
242.4839,330.0968,1
230.6667,323,1
96.0213,212.8298,1
97.2558,216.8605,1
83.5,193.4,1
100,221.4,1
105.44,225.0133,1
100.8684,219.3947,1
92.1875,207.9375,1
110.24,240.08,1
132.1538,267.5897,1
121.2558,236.3488,1
102.9064,220.6316,1
87.1429,202.2857,1
91.6512,190.4419,1
134.9438,283.6629,1
96.375,208.25,1
103.55,195.425,2
92.1273,212.2545,1
113,233,1
115.9398,250.7639,1
83.6228,187.2332,1
95.8,211.36,1
84.4167,198.4167,1
97.703,216.1485,1
73.4889,182.0667,1
107.8,215.1875,1
117,210.8333,2
115.9333,243.1889,1
82.2,189.2,1
119.85,250.9333,1
100.7857,217.3214,1
129.4074,262.7778,1
97.2857,215.7143,1
160.1667,280.5,1
83.375,209,1
93.5435,193.4565,1
108,221,1
107.4138,236.5517,1
86.1875,197.1875,1
156.7778,284.5,1
93.0669,209.2609,1
99,214.3333,1
83,192.7647,1
78.4545,170.3636,2
91.9412,213.0588,1
84.4375,167.4375,2
207.5862,316.8276,1
105,222,1
98.5,225.1667,1
98,222.2308,1
109.3478,228.4783,1
86.9375,195.0625,1
103.4706,229.8235,1
94.75,226.25,1
91.1912,207.3088,1
210.8182,297.9091,1
140.4039,248.4476,1
115.5312,245.3646,1
78.1832,183.8261,1
77.0465,180.6337,1
79.25,190.75,1
101,226,1
111.2931,232.7155,1
120.1765,236.0784,1
95.5806,212.871,1
99.2,223.8,1
100.4,217,1
95.0804,212.1696,1
94.3014,211.5068,1
87.2344,199.7812,1
94.5,208.5,1
100.8571,224.5714,1
92.7083,209.1875,1
92.6567,211.1045,1
78.8571,185.5952,1
466.3913,486.3261,1
130.3846,241.2308,1
138.8846,226.6154,2
91.75,207.3125,1
101.2299,202.8851,1
107.5833,238.9167,1
114.6667,216,1
97.5667,208.9667,1
113.4062,228.6875,1
97.7794,215,1
122.9851,255.0896,1
103.5,232.5,1
83.5556,201.2222,1
112.1111,241.7778,1
99.5034,212.6966,1
196,370,1
76.75,179.8125,1
211.25,315.875,1
80,184.3906,1
92.6923,214.6154,1
132.1111,249.3333,1
93.6727,176.9091,2
79.7193,184.4035,1
82.4857,188.8143,1
90.3,210.95,1
117.9868,246.2895,1
96.7273,208.6,1
94.6418,200.3134,1
97.4419,214.4186,1
85.5385,187,1
91.1739,197.5652,1
128.3571,243.9643,1
97.0909,219.1818,1
91,215.6364,1
80.3462,187.8462,1
138.1852,258.8148,1
91.3647,208.3882,1
82.8421,196.9474,1
112.3913,241.7826,1
173.3333,288.75,1
83.8,186.8,1
91.1667,209.6667,1
93.1389,212,1
113.4737,242.2237,1
114.8,239.1478,1
77.2896,182.6561,1
106.5417,221.0833,1
94.2692,218.1154,1
118.713,245.2722,1
131.1918,240.4795,1
88.5,203.1,1
113.8571,262.8571,1
84.4494,195.2135,1
97.1667,218.8333,1
125.2606,265.4859,1
108.6692,230.4737,1
94.5,209.1,1
87.7059,201.2941,1
115.9333,257.2,1
113.5676,214.0811,2
77.6842,180,1
76.5614,182.8421,1
100.7895,236,1
159.2,258,1
97.4819,212.747,1
94.175,208.2,1
141.65,245.35,1
100.1579,219.1579,1
98.3846,212.2308,1
103.6667,212.6667,1
99.2887,224.8351,1
73.8158,178.5,1
103.4722,220.3333,1
83.5082,186.4918,1
90.5,206.3,1
72.1579,173.0877,1
132.9833,236.7833,2
84,195,1
104.5763,229.9492,1
