@relation 'R_data_frame_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R1.0-A5-M-1'

@attribute -0.645V2-0.63V3-0.295V5-0.278V4+0.149V1 numeric
@attribute '-0.772V1+0.45 V4-0.281V3+0.271V5-0.221V2' numeric
@attribute 0.608V1+0.546V5+0.523V4-0.197V3-0.142V2 numeric
@attribute 0.736V5-0.663V4-0.107V1-0.08V2+0.006V3 numeric
@attribute -0.713V2+0.696V3+0.083V4-0.009V5-0.004V1 numeric
@attribute Class {1,2}

@data
0.316377,-0.357275,0.396739,0.608789,0.176144,2
1.000496,-1.388269,1.138057,-1.628812,0.016221,1
0.872995,-0.742927,-0.30036,-0.0353,0.387065,2
-0.581567,1.063779,0.741011,-0.351189,-0.049084,1
-0.53429,0.373607,0.05407,-0.876026,0.342318,2
0.909126,-1.282459,0.16746,-0.85088,0.000017,1
0.061851,0.240059,-0.27443,-0.052964,0.326279,2
0.314399,0.334151,1.08685,0.294158,0.095616,1
-0.184222,0.698412,0.648792,-0.118827,-0.032629,1
1.125191,-1.054835,-0.877497,-0.012687,-0.077994,1
-0.550386,1.056998,0.388562,-0.858764,-0.029929,1
0.810356,-0.387271,-1.289052,0.227949,0.320918,2
0.989,0.700467,-1.771223,-0.607617,0.07284,1
0.890616,2.079727,-3.13364,0.195036,-0.040599,1
-4.917163,0.103745,0.245824,0.102627,0.559363,1
-0.04845,1.305948,-0.521584,-0.898514,0.093092,1
0.582,-0.810113,0.56219,-0.122881,-0.074629,1
0.120545,-1.190781,0.40865,-0.918035,0.114431,1
0.403041,-0.542215,-0.851894,0.07047,-0.034593,1
-0.497418,0.722542,-0.133506,-0.572143,-0.096344,1
-0.066196,0.49525,0.650738,-0.512343,-0.031976,1
0.882644,1.177528,-1.687302,1.080858,-0.033056,1
0.83496,-1.648112,-0.004069,-1.275615,-0.08349,1
-0.47755,-1.228551,-0.966754,0.259996,0.17377,1
-0.373809,1.391167,-1.271465,-0.943945,0.026654,1
-0.174296,0.300074,-0.081836,0.400768,0.015162,1
0.178328,0.173137,0.777162,-0.806813,-0.00307,1
0.686646,-0.541205,-1.28892,0.339351,0.410458,2
0.069257,0.381563,-0.437798,-0.798585,-0.058973,1
1.785778,-1.354548,-0.870766,0.234294,-0.038395,1
1.109349,-0.795267,-0.133374,-0.017131,-0.009523,1
1.087323,-0.177127,-0.207493,-0.060649,0.059871,1
-1.149906,1.341842,1.496513,-1.172897,0.013645,1
-0.084524,1.511582,0.161341,0.1219,0.04827,1
-0.415531,0.227754,-0.802994,-0.40608,0.398885,2
-0.547997,1.009444,1.436907,-0.505479,0.037616,1
0.352799,-1.68571,0.959994,-0.64375,-0.05199,1
-0.46923,1.750665,-0.172217,0.191195,-0.054506,1
1.248171,-0.820988,-0.431913,0.487898,-0.032201,1
0.560129,-1.807554,0.32071,-0.105095,-0.254563,1
0.843293,-0.458936,-0.040875,0.596016,-0.027833,1
-0.884101,0.759985,1.373156,-0.593845,-0.060742,1
0.252716,0.462353,0.477636,0.714978,0.006477,1
1.254158,-1.020019,-0.097631,-0.040971,0.010723,1
-0.613551,0.360305,0.542443,-0.740763,-0.041207,1
-2.081423,-2.937363,0.526848,0.950364,0.485865,1
-0.01767,0.009444,-0.377375,-0.093613,0.307265,2
0.534585,-0.720901,1.173146,-0.220686,0.065777,1
-0.533675,1.226568,1.782848,2.105735,-0.016743,1
1.630804,-1.703793,-0.101471,-0.163193,0.002645,1
-0.030384,1.743599,-0.995316,1.092461,-0.044971,1
-2.630215,-1.498917,-0.783274,1.261517,-0.063219,1
1.174494,-1.277706,0.042469,-0.257037,-0.108515,1
0.419187,0.641035,-0.162847,0.400123,0.029518,1
1.060968,1.646576,-3.055546,0.189734,-0.119556,1
0.100704,-0.075369,0.269905,-0.888218,-0.049363,1
-0.162752,0.736534,-1.608103,0.146226,-0.068271,1
0.026571,0.976588,-0.35123,-1.251333,-0.033026,1
0.504198,0.294546,0.023274,0.843156,-0.02499,1
-11.257388,0.977159,0.685538,4.031081,0.852114,1
0.07686,-0.081928,0.797697,-0.089199,0.276743,2
-4.192184,-1.084653,-0.398129,1.72574,0.008879,1
0.214561,0.356132,-1.177988,-0.619394,-0.02136,1
-0.356548,0.536213,1.449578,0.730379,-0.014798,1
-0.417656,0.325386,1.314235,-0.443386,-0.022398,1
0.244893,-0.946133,-0.71171,0.937589,0.068513,1
-0.253409,0.594576,1.39146,1.149382,-0.0551,1
-0.46243,1.172014,0.826668,-0.694466,-0.013019,1
0.579652,0.761477,-0.096443,0.286925,-0.000953,1
-0.633483,0.089638,0.92371,1.02775,0.057996,1
1.14472,-0.543349,-0.191556,0.799891,-0.048467,1
1.919481,-0.576631,-1.437569,0.634888,-0.001085,1
0.095871,0.978921,-0.517798,-0.558662,-0.002161,1
-0.088111,0.590613,-0.021986,0.008646,-0.004329,1
2.122292,-1.334414,-1.637464,0.242921,-0.063963,1
0.225697,0.150908,-0.970987,0.578852,0.251148,2
-0.436462,1.405028,0.249464,-0.755421,0.041277,1
-1.31919,-0.308764,-0.251385,-0.350322,0.212085,1
-0.280007,-0.168415,1.447396,-0.930495,-0.113185,1
0.393907,0.826023,-1.080676,0.059689,0.086606,1
0.27956,0.757393,0.318829,0.343747,0.053252,1
-0.768949,1.450472,0.336249,-0.196558,-0.152691,1
-0.563974,0.693757,-0.600295,0.166195,-0.031774,1
0.468673,1.208283,-0.820534,0.184686,0.054572,1
0.875895,-0.076672,-0.430018,-0.162987,-0.003164,1
-0.186751,1.335253,-1.550514,-0.80765,-0.026079,1
0.025877,-0.962939,-0.989712,-0.596509,0.049684,1
1.90405,-0.880797,-1.426254,0.461813,-0.049902,1
1.439583,-0.930353,-1.041413,0.573759,-0.045989,1
0.704124,-0.880549,-0.276046,0.826108,-0.074297,1
0.228805,0.819638,-0.22984,-0.056834,-0.030764,1
1.425792,-0.873006,-0.793332,0.304529,0.13488,2
-0.910073,1.790195,-0.306947,-1.707597,-0.093246,1
0.090877,-0.624915,0.525855,0.551918,-0.059288,1
0.252433,-0.316343,-0.012993,-0.408166,0.311938,2
0.378791,-0.066492,0.427229,-0.294124,0.011862,1
0.83261,-0.432538,0.29978,0.7804,-0.038131,1
0.111073,1.01212,-0.238648,-0.467864,-0.033026,1
-0.662361,-0.636942,0.188414,0.120757,0.14617,1
-0.085152,0.317666,-1.5015,-0.489811,-0.008339,1
1.513802,-0.470298,-1.033411,-0.149825,0.166671,2
1.368296,-0.476507,-0.218334,0.369163,0.107303,1
0.499844,0.459867,-0.279653,0.473936,0.057262,1
1.141802,-1.769781,0.189309,-0.185024,-0.041164,1
-0.357882,0.19539,0.799526,-0.601683,-0.073059,1
1.081942,-0.499851,-0.063341,0.982931,0.001622,1
-2.013962,-1.283832,-1.222471,0.965396,0.166716,1
0.186166,0.652178,0.022128,0.050542,-0.001096,1
-0.091128,0.791076,0.443858,-0.27825,-0.021949,1
-0.759369,0.631786,1.854691,0.74806,-0.198587,1
0.88495,-0.018039,0.079942,-0.587525,0.083907,1
0.857485,-0.11738,0.344754,-0.268917,0.105207,1
0.719569,-0.385508,-0.048695,0.762463,-0.072093,1
0.509122,1.495954,-0.393412,2.173345,0.020476,1
-0.752536,0.183731,1.03176,0.971831,-0.0734,1
-1.382151,0.143965,-1.877347,0.720928,0.397181,1
0.956653,-0.361396,-0.263173,-0.335356,-0.005893,1
-0.248429,1.215198,-0.038772,-1.832457,0.034641,1
-0.384345,-0.338504,2.71127,-0.783539,-0.070828,1
0.958686,-1.776433,1.609571,-1.267711,0.002769,1
-0.194576,1.029166,1.128934,0.929143,0.135886,1
0.078351,-1.019482,0.543201,0.727377,0.063029,1
-4.87684,-0.934086,-0.073321,0.022304,0.569753,1
-1.841856,-0.888206,-1.512999,0.256737,0.021974,1
-1.078236,1.250766,1.460716,-0.17028,0.007656,1
1.012515,-0.369951,-0.469249,0.550806,-0.079189,1
1.140225,-1.252498,0.009145,0.121867,-0.067088,1
-0.365989,0.440638,0.084017,-1.72496,-0.104487,1
1.564072,-0.940937,-1.167622,0.502652,-0.082914,1
0.384119,0.33838,0.233763,0.418598,0.030534,1
0.159018,0.268597,0.68868,-0.520498,0.01345,1
0.159003,1.130386,0.239733,-0.205962,0.056179,1
-0.349182,1.760109,-0.497316,-1.045961,0.011668,1
0.632197,-0.618122,0.642848,-1.097215,0.048518,1
-0.008137,-0.690653,0.848735,0.370872,0.024286,1
-0.130252,0.073003,0.207726,-0.971968,-0.076158,1
-0.328134,1.351247,0.375224,-0.491319,-0.001136,1
-0.512586,0.804335,0.383452,-1.071451,-0.065187,1
0.528393,0.010221,0.339145,-0.772734,0.080456,1
-0.178691,-1.663553,0.258689,0.936078,0.197652,1
0.115665,-0.098905,0.686684,-0.203371,-0.102378,1
0.112308,1.041683,0.142286,-0.122288,-0.045594,1
0.5957,-1.349799,-0.57007,0.04981,-0.042189,1
0.622337,-0.24872,0.016857,-0.16347,-0.025179,1
-0.96469,0.458663,0.194944,-1.185143,-0.213022,1
-0.481173,1.005616,-0.418538,-0.349754,-0.1796,1
0.890812,0.438336,-0.79678,-0.343999,0.054256,1
-0.296047,1.982548,-0.245552,-0.325552,0.142471,1
0.461835,0.70262,-0.616921,1.137096,-0.053257,1
0.269054,0.7495,-1.208507,-0.5022,-0.169102,1
0.766153,0.414457,-1.232444,0.207758,-0.048603,1
-4.454392,-0.73943,0.233186,2.275157,-0.135834,1
0.020058,-0.105672,-0.373027,0.420733,-0.131857,1
-0.803354,-0.817344,-1.262086,0.921204,-0.037158,1
0.115909,-0.570925,1.912561,0.311536,-0.06229,1
1.968174,-1.141457,-1.438262,0.501412,-0.019651,1
0.791299,0.886665,-0.562132,-0.087728,0.118514,1
0.902234,-0.199561,0.17989,-0.885525,0.07565,1
-0.059837,-0.427206,-0.334783,-0.35624,-0.012974,1
1.314438,-1.20844,0.227676,-0.182961,0.13112,1
-0.303387,0.832451,0.280406,-0.802468,-0.094029,1
-0.650037,0.398166,2.250439,0.122026,-0.010355,1
-0.049651,0.770965,0.316963,0.391228,-0.019872,1
1.857666,-0.865641,-1.126881,0.502472,0.013749,1
-0.292224,-0.100168,1.350688,0.528805,-0.034062,1
0.079233,0.234793,0.795649,0.484657,-0.013735,1
-9.09443,-0.878119,1.961501,2.961587,1.119184,1
0.458927,0.060781,0.456611,1.144469,0.00034,1
-0.3751,1.539962,-0.286158,-0.830607,0.003033,1
-2.290567,5.654088,-7.818949,-0.300262,0.102746,1
1.172044,-0.651186,-1.356777,0.430099,0.033055,1
-0.433948,0.950799,0.318765,-0.514399,-0.051738,1
-0.148981,0.065494,0.23429,-2.050878,-0.059283,1
0.758575,-0.875607,0.531179,0.710586,-0.140637,1
-2.136381,1.050822,-1.760328,1.754269,-0.329523,1
0.147742,0.173573,0.054159,0.004162,0.050937,1
0.826624,-0.466354,0.575572,0.303258,0.035074,1
-0.359838,0.948096,0.272093,-0.429976,-0.000659,1
1.868834,-1.519806,-1.648556,0.705462,-0.019328,1
0.45717,-0.297432,-0.851378,-0.666679,-0.066506,1
0.822031,-0.290439,-1.222263,0.211654,0.31919,2
0.424803,-2.544047,-0.574575,-0.605569,-0.078379,1
0.105463,-0.240098,-0.048985,-1.762041,-0.08784,1
-0.163464,0.578735,0.550176,-0.239641,-0.03637,1
0.263955,0.874056,-0.199763,-0.614065,0.009669,1
-0.200809,0.074856,0.444376,-0.291544,-0.137013,1
0.087104,1.007126,0.300285,0.467918,-0.029103,1
0.07828,0.893989,0.476774,0.292332,0.018929,1
1.173952,0.722725,-1.883289,0.229946,0.036412,1
-0.498049,0.198065,0.814829,0.180592,-0.030446,1
0.62461,1.09857,-1.01327,0.170843,0.186108,1
0.673596,-0.048051,0.382525,-0.154938,0.227075,1
-0.410349,0.455683,2.040548,0.698207,0.050093,1
-0.508617,1.755453,0.108676,-1.973275,0.041525,1
0.971861,-1.394736,0.281632,-0.479089,-0.032016,1
0.715346,0.018296,-0.065359,-0.482048,0.063547,1
0.494216,-0.79743,1.55969,-0.297706,0.071293,1
0.546361,0.658758,-0.396392,0.354116,0.043793,1
0.741034,0.369794,-0.258898,1.454103,0.005652,1
1.265583,-0.880013,-0.856895,0.695995,-0.183903,1
-0.482843,0.098739,1.569166,-0.137381,-0.040462,1
0.404327,0.391481,0.934054,-0.182585,0.023455,1
-0.612562,0.793947,-0.049301,0.264062,0.390286,2
-0.572173,-0.829703,-0.194754,0.69518,-0.005868,1
-1.005138,-1.553559,-1.795726,0.440655,-0.142561,1
-0.335977,0.534298,0.557763,-1.963043,-0.008867,1
0.854631,-0.35326,-0.655929,-0.100619,0.014626,1
-0.898477,-0.93933,-1.78984,-0.592321,0.068978,1
1.539962,-0.283575,-0.876646,-0.16569,0.171783,1
0.799755,-0.605606,0.576894,0.460966,-0.050564,1
0.296622,0.894001,-0.267003,1.022408,-0.066155,1
-0.698808,0.194359,-0.087606,-0.811486,-0.236324,1
-0.102885,0.6511,0.59123,-0.233686,-0.072676,1
0.151601,0.698458,0.747171,0.494664,0.080887,1
-0.151545,-0.251849,-0.141664,-0.668519,0.016507,1
0.487002,-0.328584,0.685331,-1.792916,0.057394,1
0.639715,-0.016476,-1.04103,-0.501834,-0.001488,1
1.656414,-1.30377,-0.044033,-0.624615,0.150698,1
-9.850485,-2.111054,-0.97701,0.147519,-0.385837,1
0.049378,-0.393972,-1.182452,-0.224877,0.019809,1
1.061989,0.50381,-1.301597,0.155251,-0.045413,1
0.512972,0.219607,0.259999,0.191479,0.00418,1
-0.226104,0.07922,0.524211,-0.972629,-0.002876,1
0.114479,0.591251,0.233071,-0.401609,0.030549,1
0.493571,0.557654,-0.229498,0.020898,-0.003592,1
-0.017663,1.979269,-1.94856,-0.199162,-0.101397,1
0.893233,-0.048378,-0.669797,0.658172,-0.069258,1
0.421308,-1.371858,1.042304,-0.851825,-0.035906,1
0.648726,0.550223,0.218204,1.041657,0.010517,1
0.097368,0.91672,0.6719,1.021542,0.020144,1
0.240916,1.29181,-0.392806,-0.730171,0.074592,1
1.063152,-0.194189,-0.546935,-0.003448,0.058571,1
-0.054629,0.702556,0.687972,-0.365877,0.029352,1
0.343419,1.325842,-2.583452,0.466332,-0.033859,1
-0.350537,3.000506,-1.577162,-0.406866,0.043542,1
1.084865,-0.524966,0.433971,0.06178,0.058356,1
0.811133,-0.782357,0.320723,0.300574,-0.153236,1
0.052625,1.159656,-0.3165,-0.208293,0.042024,1
0.699439,1.843661,-2.451686,-0.289103,-0.094446,1
-0.403972,1.171679,0.267185,-1.230124,-0.109606,1
0.290159,-0.458729,-0.034346,0.175767,-0.086364,1
0.515911,-0.093598,-0.335332,-0.338896,-0.066363,1
1.769978,-1.379995,-0.486782,-0.052735,-0.029169,1
0.500496,0.410568,-0.330711,0.808128,-0.035002,1
1.146632,-0.837065,-0.064972,0.018295,0.021147,1
-0.040224,0.962719,0.514984,0.521892,0.011053,1
1.069232,-0.973449,0.000007,-0.612864,0.203429,1
-0.765832,1.082942,1.920107,0.941251,-0.012936,1
0.594986,-0.674638,0.876745,-0.18507,-0.017757,1
1.95627,-1.283045,-1.563575,-0.079939,0.002406,1
-0.805055,0.67213,0.252891,0.154178,-0.039174,1
0.001783,1.238168,-0.08787,0.348547,0.030702,1
-0.091207,1.710703,-0.646821,0.299104,0.00505,1
-0.02017,0.885732,0.546668,1.464551,0.058531,1
0.623517,-0.705458,0.152777,0.219727,-0.099049,1
0.199891,-0.2998,0.522753,0.141607,0.001279,1
-0.162792,1.688823,-0.401344,0.072757,-0.014188,1
-0.403054,0.403257,0.053067,0.265269,-0.027258,1
-1.023248,0.662454,-1.289905,1.199861,-0.101903,1
0.24273,-1.558728,0.787701,-0.480105,-0.045729,1
1.880321,-3.539883,1.400771,-1.750763,0.041812,1
0.258603,-0.07587,0.576824,0.250924,0.201351,2
0.152707,-1.604502,-0.266559,-0.327741,0.041347,1
-0.31201,0.735262,0.986214,0.689942,-0.161227,1
1.073546,0.910872,-2.281458,-0.279691,-0.095247,1
-0.521807,-0.757803,-0.399307,-0.393329,0.278588,1
1.651611,-1.238199,-0.211416,-0.207593,0.001672,1
0.440782,-0.034371,0.912425,0.70983,0.021303,1
-0.284607,-0.181669,0.653675,-0.29126,-0.129125,1
-0.738835,1.657936,0.708732,-0.147617,-0.056348,1
-0.228203,1.838266,-0.355123,-0.548057,0.031857,1
-1.632504,-0.814522,-1.435319,1.026627,-0.308083,1
0.129323,1.31245,-0.248654,-0.403905,0.022234,1
0.437993,0.190982,-0.491343,0.12075,-0.160451,1
-0.265919,-0.575454,2.167668,-0.847421,0.046836,1
-0.084226,0.045019,0.067379,1.853883,-0.099402,1
-0.040957,1.047093,0.283244,-0.156792,0.072844,1
-0.258143,0.279371,1.435257,-0.797358,0.025078,1
1.791283,-1.024706,-0.847667,0.295724,0.054985,1
0.628035,-0.104901,-0.240278,-0.620659,-0.047379,1
1.086742,-1.567003,0.857697,-1.063713,0.015514,1
0.369601,-1.016298,0.603049,0.032593,0.283005,2
0.33426,-0.061265,0.812128,-0.231502,0.011627,1
0.789382,-0.793025,0.21845,0.521833,-0.113902,1
0.983106,0.205689,-1.116774,0.313235,0.011833,1
0.233909,0.952729,0.331668,0.772319,0.007153,1
0.03763,1.491998,-0.004107,0.317221,0.064371,1
0.947366,-1.76554,0.745465,-1.29528,-0.058613,1
-0.796245,-0.275006,-1.196715,0.623105,0.086001,1
0.205865,-0.742972,-0.561694,0.761827,-0.030993,1
-1.175251,1.644967,0.001919,-2.170789,0.066985,1
1.272199,0.003033,-1.815251,0.514453,0.260458,2
-0.618912,1.902115,0.039607,-0.629203,0.100162,1
1.771716,-0.679996,-1.081281,0.745966,-0.028661,1
-0.844477,-1.747171,-1.974757,-0.222251,0.272465,1
-0.186077,-0.172894,0.863279,-0.156449,-0.039076,1
0.318373,0.63232,0.226622,-0.147012,0.041073,1
-0.215126,-1.220418,-0.401063,-0.499517,-0.191158,1
0.69588,0.270806,-1.213891,0.352008,-0.081625,1
-0.166454,0.006621,0.645814,-0.249284,-0.09244,1
0.66903,0.588989,-0.320151,-0.061548,0.083127,1
-7.668191,0.228527,2.993235,2.808347,1.08841,1
0.254503,1.424422,0.221117,2.618836,0.012944,1
-0.265095,1.46957,-0.198553,-1.16327,-0.03305,1
-0.731228,-0.716893,-0.037712,-0.115778,0.290337,1
-0.297996,1.506403,-0.264111,-1.463856,-0.07101,1
1.239078,-0.089075,-1.015743,1.624561,0.376542,1
0.685012,-1.148332,-1.103703,0.941553,0.148942,1
-0.673271,1.440351,-0.493973,0.051513,0.007272,1
0.628787,0.19992,-0.415935,0.494998,-0.029964,1
0.686613,0.408804,0.153179,1.346739,-0.008,1
-0.067194,-1.343788,1.70546,-1.393676,-0.117397,1
-1.021479,-1.346245,-1.34615,0.460122,-0.180259,1
1.525124,-0.531232,-0.819173,1.106423,-0.012754,1
-0.901169,2.149805,-0.364229,0.402948,-0.042476,1
-0.239439,0.777127,0.260462,-0.392124,0.298162,2
2.296444,-1.2915,-1.433203,0.385836,0.045516,1
1.404018,-0.780446,0.093137,0.460307,0.022991,1
2.158007,-1.145677,-1.41818,0.224401,-0.004721,1
0.085158,-1.260214,-0.253049,-0.631915,-0.175574,1
1.798759,0.34197,-2.115204,0.950038,0.170042,1
-0.200546,0.893301,0.018602,-0.547952,-0.144151,1
-0.002813,-0.344715,0.51933,-0.096382,-0.07561,1
-0.19105,1.260045,-0.074909,-1.746284,0.052467,1
-0.506755,-0.271275,1.622297,0.046085,-0.173534,1
-0.389148,0.668051,0.91886,-0.089462,-0.14156,1
1.538833,-1.046004,-0.214586,0.023252,0.040127,1
0.56119,-0.424823,0.545261,0.578891,-0.041665,1
0.584933,0.283065,-1.007178,0.234583,-0.0298,1
-0.136065,1.41791,-0.839353,-1.118851,0.00565,1
0.83191,1.175788,-1.913077,0.759564,-0.042101,1
-0.128349,0.828631,0.976372,0.087604,0.08216,1
0.677869,0.364135,0.068326,1.949141,-0.041639,1
-0.753471,-0.859027,-0.959867,-0.302441,0.160284,1
0.316201,-1.870512,-0.063461,-1.029488,-0.080946,1
-4.590775,-1.899242,-2.353829,-0.573621,-1.202869,1
-0.745742,1.334679,0.330309,-0.305601,-0.027747,1
0.507495,-0.702601,0.775676,-0.708129,0.04697,1
0.574436,-0.681811,1.079608,-0.493609,-0.115097,1
1.855853,-0.941529,-1.003349,0.40064,0.046786,1
0.355654,-0.025864,0.647165,-0.370443,0.004867,1
0.290756,0.328014,0.429192,0.367955,-0.024333,1
0.141477,-0.465308,-0.819698,-0.154152,-0.000416,1
0.976631,-1.280896,0.539433,0.041233,0.023931,1
0.544735,-0.047096,0.585261,0.594429,0.199259,1
1.74994,-2.079746,-0.67227,0.172139,-0.064281,1
-0.962241,1.611546,0.163329,-0.687087,-0.114791,1
0.334189,-0.35812,0.373266,-0.132112,-0.076496,1
-2.642179,6.118782,-7.272309,-1.021492,-0.261222,1
0.808019,0.345541,-1.858101,1.072001,0.123021,1
-0.134317,1.306651,0.203419,0.336671,-0.06013,1
-0.14223,-0.376176,-1.207792,-0.193973,-0.110509,1
0.641914,-0.199953,0.023507,0.864662,-0.045827,1
-1.382372,1.928514,1.310625,0.242981,-0.043638,1
0.048099,-0.676396,-0.861122,-0.298676,0.011779,1
1.073102,-1.361998,-0.989268,0.49475,-0.114837,1
1.184184,-0.428221,0.227052,0.548748,0.058096,1
-0.345398,1.37952,-0.233995,-1.189288,0.120645,1
0.016617,0.318865,0.903997,0.390434,-0.037544,1
-5.966025,-0.964381,-1.333692,-1.522778,1.274445,1
0.837317,-0.480603,0.711336,0.416543,0.014312,1
0.378623,1.602835,-1.616362,-0.114563,-0.052069,1
0.747646,-1.853505,-1.417402,-0.09848,-0.080262,1
-0.334682,1.341362,0.444463,-0.378763,-0.004416,1
0.270638,0.017402,0.616458,-0.13287,0.00518,1
-0.948742,2.343079,-0.132607,-0.427771,-0.069182,1
0.656129,-0.771801,1.125726,0.201831,0.050631,1
0.645084,0.640681,-0.40877,-0.535532,0.035693,1
0.704489,-0.9714,0.383435,0.062862,-0.025164,1
-0.279237,0.268476,0.848829,-0.926643,-0.035214,1
1.065037,-1.62365,0.813328,-0.680278,-0.04261,1
0.376796,-1.327188,0.096176,-0.224896,0.004828,1
0.801953,-0.437124,0.297067,0.854902,-0.021908,1
-0.177891,0.301116,2.255869,0.171171,0.005937,1
-0.119078,2.080773,-0.896204,1.064967,-0.022561,1
0.426626,-0.127131,-0.617426,1.246096,0.440276,2
-0.278916,0.67887,0.379884,-0.882033,-0.026364,1
-0.440725,0.514366,1.839856,0.6492,0.001086,1
0.795601,-0.651083,-0.68065,-0.246491,-0.033287,1
0.188761,0.663126,0.772277,-0.836133,0.14294,1
0.433719,-0.236545,-0.502755,-0.031264,-0.019897,1
0.579424,0.976406,-1.947905,-0.354364,-0.066332,1
0.215692,0.676865,-0.754729,-1.091566,-0.109108,1
0.052739,-0.061526,0.061099,1.048748,-0.010331,1
0.832671,0.470927,-1.03685,0.050189,-0.023086,1
0.67168,0.086549,-0.550576,-0.342316,-0.009713,1
-0.561078,0.766355,0.667975,-1.338221,-0.069507,1
-1.021477,-0.985414,-0.037525,0.338114,0.219974,1
-0.033206,0.301257,-0.161792,-0.821357,0.098857,1
-0.271242,-0.203886,1.565567,0.557234,0.017012,1
-0.626616,0.796665,0.417845,1.26301,-0.108657,1
1.069006,-0.65013,-0.278674,0.435596,0.162415,2
0.250396,-0.524684,1.378917,0.865833,-0.094067,1
1.26938,-1.375872,0.238789,0.391902,-0.063652,1
0.696736,0.181561,-1.104922,0.118584,-0.060186,1
1.630551,-2.09006,-0.043886,-1.431423,-0.048242,1
-0.427562,2.133654,-0.398631,0.216713,-0.116429,1
-0.645352,0.847536,0.795217,-1.19321,0.013462,1
0.668811,-0.916985,0.095634,-0.018785,0.31382,2
1.273866,-0.478321,-0.36029,0.327521,0.056444,1
-0.576877,0.718334,-0.201308,-0.586676,-0.065128,1
0.626136,-4.029505,0.416689,-0.656632,-0.044373,1
1.484904,-0.81572,-0.439055,-0.051432,0.010179,1
0.286296,0.024834,1.108549,1.336915,0.003607,1
0.409837,-0.731342,1.439042,0.369157,-0.083424,1
0.59323,-0.668668,0.610883,-0.051912,-0.243908,1
1.771383,-1.090763,-0.710268,-0.149819,0.001946,1
-4.961958,-1.601082,-0.718984,0.179914,-0.590215,1
1.517995,-1.165737,-0.033083,0.268368,0.085443,1
-2.07914,-0.101151,-2.833595,-0.16239,0.387675,1
0.104976,-0.830304,0.831557,0.249002,-0.159889,1
0.782856,-0.404555,0.11834,-0.859923,0.070243,1
-0.066316,1.165845,0.217462,0.626442,-0.01137,1
0.390232,1.997111,-1.879385,0.304343,0.086333,1
-0.981569,-1.130231,-0.676376,1.099401,0.362438,1
-0.193512,-0.473679,-1.459467,0.816378,-0.138999,1
0.255893,-0.267466,1.228513,0.240644,-0.120356,1
-0.823216,0.36824,0.869506,-1.802771,-0.083825,1
0.980806,-0.554398,-0.19668,-0.377162,0.012479,1
0.562247,0.213812,0.303506,0.334254,0.008627,1
0.385943,-1.357845,0.73354,-0.032635,0.180278,2
0.941608,-0.882182,0.087794,0.251484,-0.002893,1
-0.320928,0.48598,0.833015,-1.391712,0.030473,1
-0.155842,1.742174,-0.638977,-0.811383,0.026275,1
