@relation 'R_data_frame-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@attribute V3 numeric
@attribute V2 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute Class {1,2}

@data
185.35,284.05,580.1333,23.5,1
107.3077,242,739.8462,26.0118,1
103.4583,209.2917,473.2083,19.7721,1
90.6944,202.375,558.0278,30.3717,1
110.2917,247.3333,707.4167,31.5554,1
132.2593,250.7037,532.4074,26.0825,1
89.3529,199.3529,504.7647,23.158,1
88.4706,201.5882,463.8824,17.6851,1
117.8421,239.5789,584.5263,13.4985,1
146.1135,253.5502,438.4323,11.0968,1
72.6757,178.7973,215.3649,11.2073,1
87.2,194.2333,252.0667,15.6687,1
104.5926,216.6481,323.7407,24.6148,1
94.5263,214.3421,560.2105,24.3465,1
91.4265,184.9706,307.3235,15.1865,2
119.7826,259.1304,842.5217,17.284,1
114.8627,231.5882,462.8137,29.8228,1
125.4444,213.6667,537.8889,19.4348,2
97.8571,214,570.2857,23.2669,1
86.2727,198.5455,402.0455,28.5142,1
95.6389,218.7222,620.8333,21.9801,1
157.3514,258.4595,514.6216,26.7704,1
131.8966,246.8276,479.6897,13.0186,1
85.1111,178.7778,359.7778,11.0805,2
78.569,177.5,377.7586,20.3976,1
94.8,202.1,465,26.3365,1
98.4,210.7,385.6,15.3834,1
113.7609,242.4348,682.1739,26.1156,1
83.9222,189.7611,336.1806,27.0006,1
239.8571,330.1587,325.0317,27.5801,1
97.3548,214.2742,560.1452,26.315,1
99.6066,222.459,650.4262,27.4688,1
104,242,675,45.5,1
84.4815,194.037,554.5926,17.4496,1
85.0833,191.5833,537.6667,21.3121,1
92.6522,207.2609,383.1739,26.8306,1
76.75,181.25,351.25,42.0742,1
127.0769,248.6239,554.1538,41.1167,1
208.125,281.125,372.75,23.94,1
88.0667,201.7778,471.8444,16.2185,1
106.1591,232.6364,809.7727,14.0926,1
100.8,234.6,821.2,34.4012,1
89.8571,209,622.4286,15.7,1
98.3611,203.9167,604.4444,42.0167,1
127.3636,231.0606,420.3636,30.1923,1
348.6846,418.3557,671.7584,36.8889,1
223.2857,330.3429,393.3143,20.9012,1
119.0648,245.2593,798.2685,38.7266,1
85.6883,200.2727,358.9481,21.8169,1
90.625,204.75,375.125,18.2619,1
116.7938,252.9047,757.4572,13.7974,1
82.4419,192.4651,242.4651,13.9476,1
94,205.3871,508.9355,28.9202,1
97.4,217,648.4,24.6769,1
89.8036,205.4464,640.1964,27.0311,1
105.4688,230.2812,733,19.5234,1
96.25,211.875,621.9375,15.7796,1
119.4828,230.7931,508.8276,30.3967,1
113.9645,242.2128,653.5887,18.6527,1
100.7619,225.0476,716.9762,27.7581,1
114.4444,246,746.6111,22.2267,1
94.5455,206.9545,612.5455,18.7141,1
158,246,343,29.1058,1
100.6364,227.5455,589.8182,26.2516,1
90,213.6364,618,27.0219,1
121.7241,232.7931,352.3966,15.7407,1
94.9737,211.3158,499.1842,20.6014,1
134.0213,278.234,736.4468,20.6669,1
114.8056,250.6111,617.3056,23.7292,1
85.8,195.4,489,15.5512,1
102.3333,213.1667,693.8333,27.1512,1
91.625,204.9,385.825,30.436,1
100,231,517.8421,14.7843,1
92.1556,206.5778,398.4444,17.6944,1
295.3472,415.9948,449.0259,55.7735,1
116.3704,239.2407,441.537,25.2646,1
176.0769,284,303.7885,24.5438,1
95.8,218.68,604,36.1176,1
76.1824,178.3739,189.5137,10.4873,1
81.8667,186.8667,518.3333,20.5583,1
85.2931,196.8621,580.0862,15.1002,1
129.5,245.25,507.75,18.6597,1
88.8333,187.6667,422.75,16.6906,1
105.8837,237.9302,702.7209,23.1707,1
106.8824,231.9412,753.6471,41.8292,1
100.2051,218.6923,567.3077,31.8238,1
73.331,174.7042,239.5704,13.4649,1
111.6923,231.4231,586.7308,37.2001,1
98.9727,215.8798,553.5137,33.3984,1
512.4167,531.625,728.0833,85.4616,1
92.1429,201.8857,428.6,34.9177,1
107.4444,231.8148,713.4444,21.9038,1
207,313,416,0,1
100,201.2464,273.5072,14.3374,1
110.3782,237.8824,690.5168,26.4227,1
114.8615,247.5692,768.3231,10.3229,1
89.619,210.6667,398.9524,28.2752,1
189.3333,325.6667,362.3333,37.8759,1
109.0436,220.1464,536.2399,24.8633,1
86.7262,195.9048,473.0119,26.2734,1
110.3333,232.5833,675.1667,26.569,1
89.3151,188.5685,128.8014,10.0841,1
110.9216,230.9804,483.5882,11.9311,1
118.023,197.4713,351.5747,15.5256,2
147.5,261.5,343,7.6158,1
112.5727,243.8364,682.15,9.2571,1
104.2296,227.8815,643.1407,28.0098,1
93.3908,212.8851,623.3678,20.1644,1
111.4062,242.2188,604.7188,25.6461,1
90.5731,209.9805,568.5205,32.5857,1
92.75,209.0625,594.25,31.9266,1
82.4667,187.5333,347.8667,13.6571,1
121.1133,242.0788,609.0345,32.8304,1
93.2,190.4,477.6,21.096,1
95.9,191.7,543.4,23.2043,1
101.8824,217.5882,671,44.5542,1
105.3529,234.7647,885.9412,16.234,1
97.6667,212.6333,457.6333,15.2266,1
91.407,202.1395,541.4302,18.0763,1
94.8333,206.6667,607.6667,27.3734,1
90.3158,199.6842,479.6842,25.1385,1
84.8,190.675,347.375,33.1798,1
84.9565,204.5652,263.8261,18.4241,1
112.5,238.125,696.0417,34.3983,1
83.2222,200.8889,631.4815,28.3614,1
143.9394,226.7879,582,30.483,2
155.5,264.8654,404.1154,28.2348,1
198.6031,314.5496,265.6031,16.1371,1
112.25,243,827.5,14.8571,1
97.6735,207.2449,420.5918,16.1182,1
192.4286,297.254,414.6984,9.438,1
79.1333,173.5333,386.3333,12.3314,1
86.5455,202,447,27.2159,1
89.875,206.975,446.9,32.6575,1
130.8125,272.7812,644,20.3584,1
98.5333,225.6333,647.8667,28.3191,1
92.7381,202.5506,579.2173,34.3014,1
128.8333,245.0556,572.7222,18.1198,1
96.5,216.5,724.5,11.8326,1
104.0667,217.5333,463.6,12.3548,1
81.1429,178.8571,425,10.2519,1
533.4,688.4,706.4,45.0004,1
136.4622,245.8151,422.6975,14.4841,1
80,194,391.6667,16.1982,1
89.5,203.9,520.35,26.5302,1
116.9016,239.8852,685.1393,20.8137,1
99.8547,217.0256,623.6239,24.0253,1
89.9444,205.5833,522.5278,23.3617,1
101.8182,227.5455,525.7273,17.3167,1
87.6552,201.4483,359.3448,22.801,1
109.2,230,584.2,18.5429,1
79.5038,189.4962,446.0687,33.5298,1
89.5278,202.4444,535.2778,38.8332,1
92.125,207.375,650.875,19.3968,1
87.35,193.05,422.1,17.3213,1
98.9286,218.1429,672.3571,27.8279,1
110,221.25,343.75,15.8114,1
98.6667,218,666,21.853,1
80.3077,187.641,471.4103,22.5482,1
87.8235,211.7647,428.4118,23.911,1
99.6296,215.037,601.4074,24.1803,1
82.5714,204.8571,453.1429,10.9991,1
103.24,240.28,774.12,21.0202,1
109.7179,229.3077,458.6667,23.4282,1
98.8889,219.4074,503.5926,17.9458,1
75.8704,184.4815,316.7037,11.6146,1
92.3889,205.6852,421.4167,28.541,1
87.8077,195.8846,409.9231,18.1871,1
95.4545,211.7792,583.4416,34.5384,1
100.0714,195.3571,476.9286,13.4136,1
103.6667,226,694.7407,48.7204,1
93.2857,210.4286,543.1429,24.3126,1
81.4,183.9333,230.4667,4.787,1
131.3175,253.5556,612.4127,31.6813,1
97.1579,211.6316,569.8947,30.306,1
98.25,215.25,566.25,28.3127,1
98,204.8182,482.4545,41.8772,1
98.1765,217.8235,437.3529,23.101,1
107.444,221.9691,524.0927,27.157,1
97.5238,218.2857,611.1905,28.1265,1
123.2893,241.6142,548.2081,29.3359,1
156.5,274,385.5,31.5793,1
122.25,240.75,519.25,20.0121,1
88.6667,198.6667,491.6667,2.6247,1
109.2593,206.3704,532.963,28.7814,2
143.25,249.8571,418.9286,15.1889,1
96.9091,228.7273,598.1818,38.8399,1
82.1111,201.1111,384.1111,8.1786,1
166.6831,256.3521,506.9648,18.4622,1
75.9394,184.2424,370.8788,12.7861,1
89.7024,201.119,505.4286,33.9317,1
116.9405,246.9892,607.5243,26.3929,1
105.125,235.25,747.375,34.6193,1
98.6842,219.5263,693.4211,24.1301,1
198.8846,331.0385,311.5,27.0204,1
92.2174,211.0435,634.4348,23.2353,1
94.9706,221.9118,465.2941,21.7448,1
112,233,763,29.6413,1
114.3333,228.6667,344.3333,39.9249,1
99.2759,213.3793,641.7241,28.0632,1
104.8065,228.0323,757.3871,28.2093,1
77,176.3182,276.1364,13.2103,1
94.2667,214.7111,535.2,15.8874,1
91,206,549,13.1125,1
124.4545,212.2045,487.7955,24.1215,2
94.8182,211.9697,597.6061,26.1701,1
91.8824,210.8235,397.7647,25.0939,1
88.5517,196.3448,373.5862,17.9061,1
87.0714,201.2857,529.7143,34.5476,1
91.75,204.5,596.75,31.1689,1
98,220,555,10.4987,1
170.7568,271.4865,379.5676,24.1117,1
127,236,339,24.4067,1
135.6667,264.3333,919.3333,15.8349,1
100.12,181.44,271.84,13.8803,2
110.9412,228.3529,756.5882,27.2139,1
71.1477,175.875,234.2841,16.4698,1
215.5786,296.9711,304.5296,8.7427,1
114.3119,236.211,608.1743,28.3892,1
91.7907,206.4186,590.7907,25.4715,1
142.4706,272.0588,465.8235,15.3465,1
95.8046,212.046,377.5057,18.7508,1
110.7333,237.7333,611.1,26.8476,1
87.3636,195.3091,519.3455,21.7074,1
423.4,450.8,843.8,88.993,1
80.2727,185.1818,361.2727,49.7876,1
101.6316,230.8421,744.9474,19.2404,1
170.3413,259.127,519.9127,23.5505,1
101.3333,235.5,774.3333,16.6975,1
98.6522,166,218.4783,27.1527,1
129.7931,217.977,228.8506,19.944,1
123.8571,242.5714,610.8571,28.3081,1
92.2,205.5333,426.6,24.5514,1
80.5889,189.8,397.2111,35.0302,1
116,250,717,19.7793,1
188.5159,309.8651,315.2143,19.5791,1
75.8,178.9429,239.7429,22.0609,1
116.7778,241.2222,644.2222,34.6282,1
121.6667,216.5,656.8667,25.8933,2
68.6829,164.6829,177.8976,8.1237,1
75.0625,180.8333,369.75,21.9533,1
69.1418,171.2411,211.5461,7.8028,1
130.25,259,476,14.1001,1
73.5385,159.7692,201.7692,14.8921,1
101.9231,236.2051,654,23.5049,1
112.7895,235.5789,553.2105,25.7758,1
104.375,228.75,798.75,14.5086,1
113.557,248.8734,654.6076,35.1729,1
102.5,236.5,672.5,32.3371,1
78.7727,183.2727,365.5909,15.5016,1
93.5263,208.4868,455.4079,29.2407,1
99.6,212.8,413,19.4146,1
107,230.1,679.1,15.2791,1
85.087,196.2609,336.2174,20.0705,1
98.525,212.1,661.65,33.6912,1
81.5,190,324.5,39.1926,1
179.2694,277.1451,453.0674,16.3501,1
133.5,254.1667,481,9.5579,1
305.4452,523.7161,443.529,15.3041,1
116.834,242.9811,710.7094,30.2376,1
101.0417,215.0417,591.875,19.7793,1
87.4286,215.5,590.9286,23.1168,1
74.6087,173.7565,255.4261,13.1658,1
95.0392,213.098,600,24.1431,1
93.0571,210.3143,532.8286,29.9346,1
128.8293,240.3415,435.7561,16.6692,1
94.9412,203.3529,433.2353,21.1546,1
97.5,192.5625,487.5,30.7223,1
89.6842,197.2105,229.3158,10.3407,1
118.6154,255.3077,764.4615,27.7446,1
101.5862,223.5517,529.3103,23.5339,1
190,336,579,0,1
107.0667,199.3333,253,20.5091,1
93.8,217.76,604.56,32.5552,1
138.3333,259.3333,425.3333,15.2505,1
92.7381,205.4762,395.2619,28.842,1
118.8889,249.7407,803.3704,44.0466,1
137.1429,247.6667,436.7429,14.9668,1
105.4143,218.2714,249.2429,15.263,1
77.4211,181.6316,406.3684,25.1499,1
113.4,228.9,743.9,18.805,1
97.5702,217.8347,580.5124,33.7328,1
437.0612,450.6531,783.5102,20.5982,1
84.0417,194.8056,470.625,27.8895,1
91,211,501,17.5778,1
133.2222,243.75,255.8333,7.6716,1
100.2418,224.4052,710.5033,29.0446,1
98.0769,215.0154,579.5692,26.2342,1
111,243.8,764.8,30.137,1
92.6364,202,514.7273,28.3432,1
86.2692,200.9103,565.3846,17.6758,1
99.9706,213.6324,451.2353,22.1766,1
110.3333,237.7037,722.1667,23.7973,1
91,208.75,501.75,15.7911,1
123.6857,234.6857,447.2286,18.2237,1
88.3099,198.7746,395.3099,29.1688,1
90.7778,213,721.7778,40.4722,1
95,210.8,493.2,34.067,1
128.825,195.15,323.975,28.9481,2
109.2857,235.5397,708.127,22.5946,1
102.3636,222.2727,664.4773,43.2639,1
103.358,216.9506,414.7037,14.1484,1
93.8182,205.2727,716.1818,23.7117,1
108.75,222.6111,452.0556,19.2361,1
97.4286,216.4286,445.7143,11.2914,1
100.2,230.4,614.2,12.7373,1
114.4852,224.7041,415.1183,32.778,1
87.2308,200.9615,432.2308,17.5456,1
94.7321,209.9286,492.9464,16.6837,1
113.25,247.5,797,21.8285,1
183.4831,275.5955,465.6292,27.282,1
118.3103,229.7241,621.7931,18.018,1
112.2727,227.6364,593.8182,38.3097,1
117.5385,240.5385,510.8462,41.2079,1
96.4324,189.8649,367.4595,21.0065,2
95.0714,215.9643,499.7143,37.0842,1
85.1667,197.6111,351.6111,20.9715,1
96.8429,212.5,404.6286,17.2811,1
87,204,452,1.6997,1
95.7143,226.7143,638,31.4182,1
117.2059,244.1765,802.8235,24.2125,1
118.5373,202.0448,445.9254,20.0849,2
81.814,185.1628,373.7907,19.5364,1
125.7652,252.6261,645.1304,22.5869,1
154.8889,263.8889,316.5556,8.0615,1
78.2857,186,373.1429,14.4401,1
91.7636,202.4364,467.0364,40.6944,1
92,213.8571,534.8571,32.4081,1
86.7778,222.3333,505.1111,23.8535,1
74.8095,181.4762,329.1905,10.372,1
321.5,488.5,544.25,32.8024,1
81.5,180.875,348.0625,18.2136,1
250.6,326.5333,399.2,12.8617,1
109.7143,237.2143,502.9286,28.5886,1
94.0606,205.2727,563.0909,14.7253,1
95.6316,213.1579,563.3684,34.2973,1
93,199,465,20.4411,1
198.6613,271.4516,324.1613,28.9951,1
144.2273,261.2045,294.7955,21.6392,1
90.8571,217.8571,569.8571,31.9982,1
127.2,264.9667,844.9667,19.014,1
90.4561,202.2807,467.2281,15.639,1
87.3852,200.6519,506.5852,27.7393,1
123.7222,220.1111,479.1667,23.337,2
93.7838,203.4054,403.6667,21.4428,1
111.0385,235.9038,787.1538,20.7885,1
100.6667,222.0667,687.5333,19.8819,1
83.3945,193.7248,395.1468,25.8275,1
149.6,232.3333,530.6333,22.2053,2
91.9615,205.7692,375.0385,25.8241,1
108.4681,191.5638,437.3085,19.4505,2
114.7576,220.6061,610.1212,25.9299,2
86.1636,196.5727,363.9636,33.0155,1
102.3182,224.9545,695.6818,17.0985,1
118.4348,257,929,8.0415,1
215.9167,330.8889,472.3056,25.8515,1
106.0669,227.0724,550.9666,36.8116,1
154.4304,265.0127,548.6835,13.5532,1
91.6,206.5333,486.6667,22.2297,1
88.8462,197.25,374.8173,17.6574,1
271.9153,364.9831,429.7458,18.5917,1
94.4,211.4538,433.3846,25.8273,1
130.8,264.8,773.8,11.876,1
89.4318,191.2727,149.3182,9.3075,1
119.3953,205.5,416.5814,20.6763,2
483.6944,489.4444,842.6111,45.3976,1
103.1429,225.7857,632,34.6568,1
97.3684,218.2632,597.6316,28.649,1
282.8,404.3,451.75,34.157,1
99.4198,221.358,717.0864,18.6048,1
116.1636,242.9069,635.7151,28.0877,1
95.3056,214.75,444.9028,23.2746,1
111.8936,246.2553,676.7872,33.2699,1
99.1458,217.1667,538.75,25.1628,1
293.6458,430.2812,341.6354,12.0764,1
90.8056,200.4444,515.8889,12.6614,1
122.4231,253.1538,757.3462,28.3504,1
91.381,209.9524,608.881,30.4961,1
100,223,596.5,12.4466,1
107.9505,232.2171,628.3829,29.2569,1
88.6087,203.5652,491.1739,23.4723,1
99.7368,188.8421,314,15.054,2
108.4286,233.4286,681,11.5104,1
208,308.9048,374.8095,11.033,1
111.5625,235.7125,626.175,27.4153,1
86.6,200.95,445.575,26.6857,1
196.9304,412.7215,364.9241,10.9818,1
95.8387,215.5806,575.2581,36.9767,1
116.1818,239.0909,731.6364,17.5608,1
109.9333,238,671.6,50.1537,1
106.3846,222.5385,648.0769,32.6687,1
95.75,212.7778,515.6667,19.1578,1
104.6421,222.7263,528.0105,24.5965,1
270.8063,377.6866,399.0563,27.1602,1
157.3762,274.8911,516.9505,23.1098,1
111.5676,234.027,652.2432,21.6638,1
100.6923,219.6154,411.0769,12.6463,1
125.8889,245.8333,565.8889,14.9004,1
107.5556,241.6111,704.6111,31.1179,1
88.8,199.4,364,12.7059,1
93.6774,210.8387,548.5806,33.915,1
88.4,216.4,506.6,25.7014,1
83.9939,193.6727,361.4364,25.5399,1
125.6714,210.6,436.1905,21.0341,2
335,502,560,22.5687,1
95.5952,213.7143,437.7143,31.9558,1
80.4808,184.6538,337.7308,19.8019,1
88.9556,202.3111,468.4,21.8468,1
123.375,253.75,817.875,16.5303,1
430.8252,457.8738,715.9903,35.2278,1
76.3455,184.2364,283.2909,19.7519,1
93,221.1818,538.3636,11.578,1
113.5918,213.8776,585.3878,22.9503,1
109.9474,234.2632,710.4737,41.1854,1
113.6585,195.5854,392.878,22.4221,2
93.8542,209.0833,463.9792,23.8798,1
95.8864,219.7045,481.0909,53.1372,1
120.2371,246.0206,708.9588,24.5082,1
106.7297,228.9189,684.973,26.3648,1
110.3,236.8,647.2,16.3061,1
81.0536,185.0536,344.625,19.4646,1
97.8161,214.9195,516.4713,25.6791,1
95.5909,183.4636,236.6818,18.0037,2
107.2917,233.375,609.9167,45.1677,1
98.6667,216.8889,646.8889,27.8573,1
80.4,194.7,388.9,22.9085,1
180.5238,288.0476,409.6667,29.9253,1
118.1523,252.3974,653.6755,18.2522,1
143.1803,238.0164,247.7049,15.6626,1
119.8667,235.8667,269.4,16.7151,1
87.1091,188.5636,238.0727,13.3077,1
200,307.7222,360,36.2281,1
96,212.2667,683.3333,17.1845,1
117.0676,198.5676,429.1351,33.421,2
123.1679,242.7786,452.4427,12.307,1
95.0192,223.7885,657.6538,20.9528,1
93.5833,217.9583,677.5,25.5576,1
106.0108,233.4409,695.1452,20.7756,1
104.4286,222.8571,712.1429,15.1064,1
104.551,190.8776,270.6531,14.3299,2
104.6364,230.3636,760.2727,25.8044,1
97,217.8,672.6,25.303,1
121.2113,216.3521,485.338,22.471,2
89.619,194.619,389.1905,24.6149,1
84.96,195.24,387.56,25.091,1
99,227,576,10.2225,1
79.9,188.32,242.2,12.6691,1
89.0714,197.4405,536.3333,22.4699,1
97.6882,222.2151,682.4946,28.2717,1
112.0706,234.7765,576.8,34.9761,1
84.7544,195.4035,337.193,19.5616,1
190.1923,282.4231,427.4423,19.821,1
102.6949,226.7458,674.5085,26.1433,1
74.8507,177.3438,247.5619,15.8774,1
98,222,668,52,1
118.1538,253.0615,870.1692,18.5861,1
91.0566,205.3208,399.2453,17.434,1
103.381,223.4667,641.8429,24.7323,1
91.7561,201.5691,495.4228,32.6656,1
98.8889,215.8889,499.3333,7.4751,1
90.2353,212.0588,585.2941,20.7706,1
90.2931,200.2586,367.4483,21.0768,1
94.4615,211.1923,555.1154,24.896,1
91.1875,214.125,600.25,22.5998,1
110.8372,233.8915,572.9845,20.2752,1
122.3448,246.2759,824.1724,21.5789,1
122.3837,255.314,796.2791,19.3148,1
92.8182,210.3636,625.3636,14.9412,1
50.5789,117.2105,309.8772,22.6179,1
140.5938,250.8125,395.75,17.4794,1
113.8095,243.8095,669.3333,22.6744,1
123.4468,259.8511,809.1702,12.0754,1
82.75,203.6786,548.1071,30.2045,1
84.6944,190.1389,397.2778,21.8961,1
87.4667,196.9333,361.6,28.378,1
86,205.875,384.5,15.7401,1
306.5,392.9583,461.25,11.2872,1
112.4014,242.0884,608.6259,37.4047,1
110.1111,240.6111,704.6111,20.2326,1
207.806,325.3085,298.0896,22.0512,1
88.05,206.85,436.85,30.9176,1
89.55,212.8,389.35,35.3375,1
92.0909,209.7273,627.1364,18.5765,1
107.25,225.75,638.25,62.7045,1
98.1538,228.7692,686.1538,22.6575,1
132.375,256.8333,328.5417,15.8035,1
93.1053,204.8947,560.0526,16.6037,1
119.0909,204.2727,433.2727,10.6724,2
135,250.5,527,17.7522,1
71.6541,175.4969,273.6792,14.6381,1
86.8028,203.4789,479.2394,23.4207,1
93.9189,208.7568,596.4054,27.1983,1
96.9783,216.5217,473.2826,30.1061,1
107,237.6667,771.3333,18.6607,1
140.8947,237.3947,415.5789,19.6797,1
79.2727,171.0455,334.1364,37.8502,1
122,269,846.7143,30.1371,1
94.4167,220.6979,518.2917,36.8344,1
123.3902,256.4878,805.9024,18.9446,1
108.6087,219.2609,632.0435,40.1128,1
82.2857,190.0286,445.9714,20.0541,1
93.8182,208.5455,511.9545,21.1344,1
74.2,171.8,231.6,13.6051,1
106.5,236.5,741,29.0377,1
77,187,277.5556,31.1397,1
113.9655,236.1034,599.3103,27.3744,1
74.8113,180.2736,299.5472,26.4925,1
89.4167,201.625,421.9583,30.7205,1
111.2778,206.6667,523.8889,21.2047,2
248.7879,349.9697,406.4848,15.8358,1
116.5294,254.5,871.1471,10.1549,1
99.3431,217.1078,620.5,18.5681,1
132.4857,202.3429,322.2857,15.8354,2
95.9677,208.5161,377.7742,28.8644,1
80.6667,190.4815,306.7778,16.8443,1
147.5,265.1786,231.9286,14.8628,1
103.25,215.25,662.5,16.5988,1
88.6935,200.2581,530.2581,19.2812,1
116.3605,234.593,534.0814,26.9392,1
185.35,237.85,275.2,20.4807,1
116.7052,230.6653,486,38.4698,1
116.1351,254.7297,776.4324,30.5468,1
94.5,201,629.5,25.78,1
81.9841,184.8413,351.4444,13.6845,1
87.4615,197.6923,510.5385,21.8556,1
106.6977,229.0233,568.6512,17.5128,1
96.2,209.6,508.4,11.6859,1
125.8333,232.9167,351.9167,22.8854,1
107.7895,220.4211,767,23.2231,1
113.5172,234.1379,778.9655,39.6899,1
102.5417,230.125,707.5417,20.1239,1
103.4474,228.4263,727.4316,22.6299,1
83.9216,191.4118,348.1765,13.6381,1
110.5385,239.4808,727.6231,26.839,1
147.5,254.8125,388.25,20.2244,2
87,188.4815,527.037,9.8913,1
104.9231,208,366.0549,32.8009,1
82.85,197.3,472.55,17.0396,1
116.7105,240.7895,612.1842,27.703,1
86.9333,198.65,421.9417,29.0077,1
91.1429,202,414.4286,5.8902,1
599,609,778,80.0453,1
89.8491,199.1698,441.6604,22.9287,1
160.4167,278.4167,378.5,16.3297,1
106.4576,228.0847,599.4576,27.6901,1
74.8837,182.3721,292.6744,13.4059,1
102.1667,223.4167,610.4167,21.9754,1
121.7895,252.7632,626,18.5201,1
117.3636,234.1515,630.6364,20.1105,1
187,312.5,181.6667,17.609,1
96.0619,211.531,504.0619,32.4077,1
201.4737,330.9895,346.0737,40.3823,1
118.6196,251.2025,704.5767,6.754,1
113.545,241.7493,749.4905,22.2441,1
