@relation R_data_frame_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A6-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Class {1,2}

@data
-1.707174,-0.91469,-0.293773,0.181158,-0.697191,1
-1.65844,-0.889633,-0.282249,0.156278,-0.669779,2
-0.629227,-0.307853,-0.109351,0.061248,-0.269166,1
-0.977084,-0.520714,-0.16832,0.06899,-0.38537,2
-1.750415,-0.93303,-0.277711,0.192007,-0.705473,1
-1.162062,-0.614596,-0.175623,0.097991,-0.458481,2
-0.681024,-0.355371,-0.123813,0.067028,-0.286929,1
-1.286847,-0.690663,-0.20799,0.110451,-0.506605,2
-1.86799,-0.991569,-0.31015,0.188494,-0.751982,1
-1.690152,-0.902039,-0.274567,0.182426,-0.682025,1
-0.701226,-0.386886,-0.135855,0.075168,-0.290803,1
-1.402438,-0.74551,-0.21673,0.155465,-0.562751,1
-0.833731,-0.459536,-0.145981,0.060791,-0.322969,2
-0.458308,-0.258897,-0.076039,0.048888,-0.165338,1
-0.606049,-0.363704,-0.099518,0.079063,-0.209992,1
-2.383032,-1.293963,-0.353599,0.200436,-0.973139,1
-1.032803,-0.553324,-0.155735,0.109581,-0.400184,1
-1.271069,-0.676312,-0.222082,0.134804,-0.526215,1
-0.885696,-0.463397,-0.148922,0.079232,-0.369822,1
-0.95958,-0.528329,-0.169895,0.100539,-0.392214,1
-1.289024,-0.69482,-0.204709,0.146649,-0.52103,1
-1.462689,-0.775913,-0.23626,0.158558,-0.591576,1
-1.329126,-0.742612,-0.230257,0.146627,-0.517054,1
-0.389177,-0.19901,-0.076252,0.042076,-0.175828,1
-1.04282,-0.577346,-0.180599,0.088125,-0.430645,1
-0.834412,-0.458301,-0.121926,0.094563,-0.320806,1
-1.605367,-0.869737,-0.267395,0.166894,-0.648039,1
-1.277863,-0.671046,-0.20678,0.136172,-0.518365,1
-0.877971,-0.483486,-0.152812,0.057256,-0.340048,2
-0.930017,-0.500735,-0.149576,0.105667,-0.374037,1
-0.644849,-0.355194,-0.134196,0.064732,-0.266179,1
-0.993884,-0.533459,-0.180098,0.101457,-0.406313,1
-1.057101,-0.566377,-0.184455,0.106023,-0.422356,1
-1.787964,-0.937801,-0.269978,0.193476,-0.720938,1
-1.751419,-0.940687,-0.280411,0.186575,-0.692665,1
-1.036301,-0.560552,-0.160196,0.079102,-0.403751,2
-1.899392,-1.001402,-0.299407,0.200627,-0.765261,1
-1.068026,-0.559032,-0.18855,0.108003,-0.455607,1
-1.779353,-0.96383,-0.283522,0.198338,-0.70613,1
-1.087645,-0.591819,-0.20124,0.112002,-0.443611,1
-1.035989,-0.557176,-0.193936,0.119036,-0.448114,1
-1.398215,-0.75626,-0.247546,0.145185,-0.56862,1
-1.857461,-0.982334,-0.293237,0.20247,-0.756349,1
-1.882659,-1.012514,-0.316717,0.196876,-0.758107,1
-0.931845,-0.498634,-0.171839,0.092405,-0.382283,1
-1.399986,-0.744384,-0.221838,0.15202,-0.570807,1
-1.839147,-0.996274,-0.31173,0.134188,-0.774537,1
-1.209992,-0.651187,-0.196586,0.102743,-0.478896,2
-1.45444,-0.764079,-0.24745,0.143419,-0.596557,1
-3.198377,-1.718859,-0.532733,0.335631,-1.291411,1
-0.695486,-0.369552,-0.139434,0.065408,-0.292435,1
-1.821962,-1.002836,-0.301069,0.200762,-0.717969,1
-1.881384,-1.048805,-0.318452,0.188183,-0.794347,1
-0.855429,-0.45651,-0.1609,0.092693,-0.359466,1
-1.530422,-0.827173,-0.256303,0.160386,-0.609756,1
-0.527672,-0.32147,-0.092102,0.074892,-0.185265,1
-1.044791,-0.552809,-0.170365,0.114439,-0.427328,1
-1.055092,-0.591941,-0.174784,0.119438,-0.41857,1
-0.867052,-0.461059,-0.130635,0.101151,-0.341491,1
-1.714832,-0.928672,-0.293918,0.181069,-0.690332,1
-5.521656,-3.033674,-0.847753,0.494522,-2.260078,1
-1.573057,-0.83172,-0.257059,0.142151,-0.631159,2
-2.559052,-1.417946,-0.418863,0.252727,-1.071397,1
-0.731123,-0.403445,-0.119394,0.081886,-0.289282,1
-2.334535,-1.246406,-0.386182,0.245053,-0.947464,1
-1.748274,-0.923277,-0.281918,0.185953,-0.712803,1
-1.347101,-0.741818,-0.240284,0.12868,-0.551135,1
-2.491414,-1.335295,-0.4163,0.264063,-1.010974,1
-1.624864,-0.860191,-0.253647,0.17752,-0.651757,1
-1.495006,-0.80597,-0.250262,0.160085,-0.594487,1
-2.262741,-1.217503,-0.377253,0.228803,-0.920653,1
-1.370334,-0.743989,-0.247615,0.143343,-0.556835,1
-0.73838,-0.4142,-0.147926,0.075163,-0.291398,1
-1.104011,-0.595766,-0.175068,0.122084,-0.435294,1
-1.486634,-0.801393,-0.243588,0.15849,-0.59716,1
-0.336512,-0.198056,-0.08675,0.035268,-0.137753,1
-1.288698,-0.70658,-0.216929,0.11505,-0.507905,2
-1.439149,-0.765865,-0.220698,0.155532,-0.570043,1
-1.316237,-0.712381,-0.20748,0.118769,-0.536679,1
-1.472007,-0.770153,-0.238558,0.162749,-0.609477,1
-1.108801,-0.608118,-0.182636,0.114012,-0.432225,1
-1.710655,-0.917626,-0.282907,0.17776,-0.682859,1
-1.782073,-0.958791,-0.282414,0.20504,-0.717476,1
-1.464147,-0.800564,-0.238342,0.15822,-0.588747,1
-1.302096,-0.709694,-0.213519,0.138391,-0.507734,1
-0.992419,-0.535476,-0.172273,0.10481,-0.397831,1
-0.759132,-0.422626,-0.113423,0.090508,-0.290924,1
-0.615171,-0.339777,-0.107174,0.056976,-0.256211,1
-0.618056,-0.349025,-0.1297,0.065163,-0.248006,1
-0.869594,-0.482494,-0.168871,0.089981,-0.354064,1
-1.374944,-0.75054,-0.24866,0.143584,-0.565634,1
-1.371111,-0.740119,-0.225168,0.150246,-0.546351,1
-0.844568,-0.460502,-0.158671,0.074087,-0.337621,2
-0.983658,-0.523822,-0.135459,0.122359,-0.387217,1
-1.67348,-0.900855,-0.288826,0.174602,-0.689079,1
-1.090974,-0.578809,-0.17818,0.089068,-0.433849,2
-1.310658,-0.696616,-0.21924,0.136363,-0.53151,1
-1.599652,-0.862061,-0.281737,0.166593,-0.651355,1
-1.240462,-0.66681,-0.198382,0.138605,-0.49206,1
-1.500064,-0.808138,-0.248758,0.140789,-0.614797,1
-0.726286,-0.407266,-0.118012,0.079701,-0.287945,1
-0.616247,-0.335513,-0.114924,0.051107,-0.238318,2
-1.142275,-0.614227,-0.204928,0.10897,-0.456816,1
-1.478923,-0.800928,-0.249825,0.151859,-0.589106,1
-0.858703,-0.456494,-0.163932,0.084944,-0.364507,1
-1.474582,-0.781957,-0.238354,0.16126,-0.60336,1
-1.511686,-0.819365,-0.270566,0.153906,-0.612495,1
-1.52961,-0.85572,-0.257009,0.136168,-0.636376,1
-1.481727,-0.797186,-0.244348,0.158217,-0.592955,1
-1.550535,-0.827483,-0.250297,0.168043,-0.622926,1
-2.566531,-1.37105,-0.424125,0.283467,-1.050508,1
-0.983629,-0.519025,-0.165109,0.098183,-0.392052,1
-1.200319,-0.634813,-0.203145,0.117774,-0.481071,1
-1.503396,-0.815616,-0.265632,0.159501,-0.612636,1
-2.361377,-1.29129,-0.401772,0.248556,-0.935488,1
-2.312241,-1.24495,-0.385782,0.244652,-0.945412,1
-1.329477,-0.74617,-0.212612,0.106326,-0.525406,1
-0.910294,-0.487636,-0.159849,0.095348,-0.367961,1
-0.803876,-0.417978,-0.110717,0.091449,-0.313376,1
-1.94871,-1.011659,-0.316719,0.207378,-0.807372,1
-0.88803,-0.444952,-0.157034,0.086224,-0.380457,1
-2.367702,-1.266288,-0.388339,0.239239,-0.947967,1
-1.691314,-0.910098,-0.293634,0.164452,-0.6964,1
-2.059385,-1.123864,-0.307458,0.160714,-0.852157,1
-1.158049,-0.654743,-0.191523,0.112607,-0.484951,1
-2.189227,-1.162591,-0.345082,0.233191,-0.884004,1
-1.220632,-0.665817,-0.219766,0.131556,-0.495298,1
-1.020918,-0.548646,-0.189975,0.106008,-0.424729,1
-0.784044,-0.410294,-0.11541,0.095708,-0.320109,1
-0.772685,-0.431427,-0.154035,0.083017,-0.315198,1
-1.626484,-0.87438,-0.273781,0.168503,-0.653442,1
-1.393555,-0.736588,-0.227036,0.146842,-0.563335,1
-1.526275,-0.814871,-0.244872,0.161394,-0.604413,1
-1.106148,-0.593522,-0.162921,0.125986,-0.429519,1
-0.89167,-0.46032,-0.148722,0.088831,-0.366075,1
-1.707475,-0.912569,-0.291025,0.171478,-0.70214,1
-1.05308,-0.558708,-0.169067,0.118151,-0.431105,1
-1.569614,-0.836988,-0.245954,0.171636,-0.624756,1
-1.258334,-0.666891,-0.194034,0.142348,-0.508316,1
-1.056513,-0.554995,-0.172962,0.106159,-0.424207,1
-1.623968,-0.878798,-0.284936,0.142935,-0.672018,1
-1.479332,-0.787989,-0.248035,0.162116,-0.606583,1
-1.524737,-0.818025,-0.24752,0.168489,-0.608421,1
-0.875083,-0.479119,-0.162678,0.088176,-0.367138,1
-1.157655,-0.620354,-0.199009,0.12243,-0.470281,1
-1.168286,-0.624771,-0.180687,0.1425,-0.483061,1
-1.336998,-0.72724,-0.214201,0.159261,-0.539285,1
-0.873551,-0.473124,-0.147059,0.091218,-0.340638,1
-1.534145,-0.824073,-0.235147,0.16,-0.595972,1
-1.706402,-0.935112,-0.292769,0.184097,-0.681568,1
-0.830261,-0.460049,-0.136867,0.105611,-0.329942,1
-0.989538,-0.548148,-0.172073,0.110016,-0.390868,1
-3.117425,-1.718307,-0.512884,0.322349,-1.302218,1
-1.415601,-0.773524,-0.243381,0.156651,-0.579079,1
-1.363441,-0.763936,-0.237558,0.138485,-0.564316,1
-2.036051,-1.076033,-0.345131,0.212978,-0.839595,1
-0.576081,-0.326382,-0.124835,0.057033,-0.232437,1
-1.157095,-0.623806,-0.190513,0.117415,-0.449342,1
-0.852453,-0.444858,-0.142652,0.084819,-0.341528,1
-1.045563,-0.565958,-0.176019,0.10872,-0.429223,1
-0.934784,-0.492714,-0.17047,0.082598,-0.381919,1
-1.310284,-0.69797,-0.206454,0.149814,-0.528548,1
-2.363206,-1.247783,-0.384392,0.247717,-0.964685,1
-1.791946,-0.964515,-0.29574,0.191569,-0.72011,1
-0.746216,-0.41362,-0.149271,0.073411,-0.29861,1
-2.094665,-1.117535,-0.350511,0.21871,-0.857538,1
-1.880209,-1.006511,-0.315069,0.197206,-0.762397,1
-4.781898,-2.597634,-0.738854,0.3908,-1.963649,1
-1.96078,-1.058042,-0.33724,0.202645,-0.793188,1
-1.23916,-0.664706,-0.187838,0.138788,-0.486934,1
0.01764,-0.092388,0.051092,0.021432,0.08449,1
-0.794376,-0.444437,-0.150537,0.077629,-0.318153,1
-1.492412,-0.797699,-0.236189,0.165368,-0.600247,1
-0.589158,-0.29934,-0.083912,0.070756,-0.243063,1
-1.58582,-0.853562,-0.283203,0.170776,-0.655587,1
-2.115126,-1.19107,-0.351579,0.246545,-0.864131,1
-1.397934,-0.751052,-0.23238,0.142948,-0.562836,1
-1.476663,-0.787103,-0.2564,0.148832,-0.600239,1
-1.499969,-0.801885,-0.237717,0.162073,-0.600914,1
-0.5495,-0.317326,-0.124288,0.051763,-0.225787,1
-0.66728,-0.364807,-0.115231,0.075506,-0.272063,1
-0.863119,-0.474237,-0.150046,0.064526,-0.333988,2
-0.415027,-0.228586,-0.089883,0.037962,-0.19661,1
-0.52552,-0.270813,-0.080294,0.064446,-0.219411,1
-1.580282,-0.843237,-0.25669,0.170947,-0.63861,1
-1.138583,-0.608963,-0.181644,0.124385,-0.450092,1
-1.444876,-0.773651,-0.239246,0.162105,-0.592973,1
-1.83574,-0.988253,-0.302937,0.198078,-0.734694,1
-1.799621,-0.964399,-0.295339,0.190287,-0.720222,1
-0.760768,-0.429981,-0.134146,0.08177,-0.287376,1
-1.848697,-0.989654,-0.304312,0.195112,-0.754001,1
-1.184452,-0.645914,-0.193661,0.115562,-0.455091,1
-1.306131,-0.690943,-0.217536,0.119247,-0.519859,1
-2.513368,-1.334019,-0.413855,0.258029,-1.020574,1
-0.927859,-0.482142,-0.124236,0.1067,-0.359203,1
-0.853122,-0.450052,-0.156704,0.086079,-0.358987,1
-1.017672,-0.541182,-0.17068,0.103163,-0.406653,1
-1.544012,-0.806837,-0.261404,0.151913,-0.634924,1
-1.412501,-0.765482,-0.237203,0.147384,-0.559857,1
-1.859868,-1.013871,-0.323269,0.193206,-0.744813,1
-1.025449,-0.568112,-0.196289,0.116723,-0.423137,1
-1.941726,-1.02754,-0.317407,0.205504,-0.795451,1
-1.60154,-0.846842,-0.264203,0.167816,-0.645147,1
-1.713141,-0.921308,-0.270946,0.151413,-0.675128,2
-1.577712,-0.862075,-0.271064,0.158665,-0.652132,1
-0.886411,-0.5134,-0.161628,0.09409,-0.382784,1
-0.847294,-0.434388,-0.121323,0.095739,-0.342542,1
-0.901445,-0.490013,-0.159509,0.092399,-0.362864,1
-0.51642,-0.300764,-0.085211,0.044667,-0.217969,1
-0.688396,-0.371806,-0.125276,0.059225,-0.265593,1
-1.528588,-0.818078,-0.268527,0.1598,-0.626063,1
-1.834368,-0.999293,-0.310402,0.199418,-0.733735,1
-1.147083,-0.619611,-0.184399,0.14025,-0.475863,1
-1.598416,-0.852789,-0.260213,0.176079,-0.646242,1
-1.932712,-1.033087,-0.319311,0.197841,-0.774464,1
-1.018129,-0.545807,-0.166517,0.105017,-0.416236,1
-0.673979,-0.336931,-0.104277,0.068338,-0.275399,1
-0.69082,-0.379105,-0.118592,0.074278,-0.274447,1
-0.573072,-0.296001,-0.110302,0.044256,-0.233111,1
-2.500723,-1.413866,-0.375202,0.269979,-1.10382,1
-0.805958,-0.447919,-0.138303,0.081488,-0.327376,1
-0.906088,-0.502199,-0.159223,0.101972,-0.354088,1
-1.49286,-0.800182,-0.252147,0.156606,-0.601012,1
-1.175926,-0.619942,-0.186994,0.125083,-0.479646,1
-1.355456,-0.722533,-0.219241,0.143108,-0.542484,1
-1.314438,-0.708876,-0.219535,0.140927,-0.523862,1
-0.972801,-0.547765,-0.151587,0.121039,-0.370669,1
-1.275816,-0.699054,-0.226641,0.13796,-0.513705,1
-1.044504,-0.542657,-0.180906,0.106454,-0.441875,1
-1.884488,-1.017654,-0.321683,0.196989,-0.754638,1
-2.186141,-1.175974,-0.364387,0.22897,-0.876831,1
-1.096646,-0.586478,-0.16974,0.117474,-0.425615,1
-0.970184,-0.524589,-0.170908,0.096944,-0.386474,1
-1.571835,-0.834125,-0.25283,0.165943,-0.631252,1
-0.879208,-0.509063,-0.147744,0.101695,-0.333568,1
-1.234673,-0.680213,-0.180697,0.142467,-0.463043,1
-1.267443,-0.672768,-0.221894,0.125729,-0.513478,1
-1.341559,-0.721208,-0.239915,0.147806,-0.555197,1
-1.363086,-0.734855,-0.217885,0.145735,-0.537389,1
-0.615599,-0.357992,-0.098069,0.083622,-0.22172,1
-1.192593,-0.631553,-0.180984,0.141392,-0.478231,1
-1.313666,-0.710598,-0.227813,0.141293,-0.539689,1
-1.007925,-0.543826,-0.172285,0.111249,-0.40893,1
-0.64538,-0.348057,-0.131592,0.064409,-0.267668,1
-1.6013,-0.871888,-0.274631,0.170825,-0.642346,1
-1.018468,-0.545466,-0.184342,0.101347,-0.415624,1
-1.945931,-1.045199,-0.320055,0.205887,-0.779732,1
-0.75164,-0.393074,-0.132639,0.059899,-0.303233,1
-2.748725,-1.466345,-0.448972,0.289956,-1.112705,1
-1.368854,-0.723219,-0.23549,0.141328,-0.563142,1
-0.256515,-0.150891,-0.068364,0.02255,-0.103587,1
-1.783106,-0.962408,-0.288649,0.191419,-0.722418,1
-1.706794,-0.921969,-0.277888,0.18152,-0.677011,1
-1.59419,-0.868508,-0.256008,0.174495,-0.625831,1
-2.354384,-1.2718,-0.394415,0.242321,-0.944124,1
-1.295392,-0.697686,-0.229111,0.139234,-0.534221,1
-1.526773,-0.816617,-0.258798,0.157321,-0.623264,1
-1.585804,-0.859594,-0.252666,0.175337,-0.624575,1
-1.64894,-0.891956,-0.271927,0.175305,-0.667783,1
-1.764776,-0.983275,-0.295036,0.192391,-0.713665,1
-1.123128,-0.592553,-0.197331,0.113529,-0.476327,1
-0.146363,-0.041297,-0.049205,-0.001445,-0.092766,1
-1.618459,-0.862324,-0.269883,0.152299,-0.650451,2
-0.845099,-0.456724,-0.151946,0.077478,-0.358316,1
-2.188687,-1.175594,-0.363814,0.242593,-0.889792,1
-0.453898,-0.268108,-0.080431,0.062172,-0.165172,1
-1.031091,-0.556167,-0.167522,0.082421,-0.418915,1
-0.713762,-0.379884,-0.139047,0.070012,-0.29419,1
-1.908981,-1.020447,-0.325073,0.195877,-0.774101,1
-1.486597,-0.793921,-0.24705,0.164324,-0.613582,1
-1.956849,-1.046516,-0.308194,0.216655,-0.783409,1
-1.364364,-0.733925,-0.209028,0.150733,-0.53216,1
-1.50109,-0.849464,-0.260669,0.172943,-0.633942,1
-1.312017,-0.704677,-0.20766,0.143239,-0.515518,1
-1.220393,-0.665739,-0.210148,0.141205,-0.495066,1
-1.677097,-0.869624,-0.272376,0.1691,-0.693444,1
-2.236852,-1.221795,-0.386956,0.237159,-0.91051,1
-1.583604,-0.846289,-0.253644,0.165313,-0.629211,1
-1.596697,-0.835664,-0.254606,0.167099,-0.649751,1
-0.733234,-0.401055,-0.145214,0.068292,-0.294915,1
-0.893882,-0.478022,-0.151696,0.098513,-0.361896,1
-0.73887,-0.375055,-0.133909,0.07074,-0.314162,1
-1.352836,-0.716227,-0.230371,0.113846,-0.549985,2
-1.475643,-0.781201,-0.246191,0.153293,-0.599703,1
-1.406415,-0.758746,-0.251638,0.150982,-0.579928,1
-1.00072,-0.55178,-0.176428,0.105316,-0.394676,1
-1.944796,-1.047903,-0.323914,0.205809,-0.777381,1
-1.757047,-0.946691,-0.28366,0.185558,-0.693353,1
-0.591348,-0.297217,-0.109771,0.060483,-0.259808,1
-1.342935,-0.746878,-0.22578,0.130272,-0.545667,1
-1.361827,-0.747985,-0.241287,0.139326,-0.559131,1
-0.904125,-0.471755,-0.114897,0.101469,-0.353354,1
-0.768455,-0.432138,-0.139285,0.060777,-0.290075,2
-1.539726,-0.823095,-0.232664,0.16369,-0.60341,1
-0.915331,-0.507039,-0.177843,0.094694,-0.367131,1
-0.470354,-0.2786,-0.08312,0.019062,-0.200087,1
-1.599288,-0.851046,-0.265405,0.168841,-0.655932,1
-1.436141,-0.767059,-0.235351,0.150567,-0.573111,1
-0.856046,-0.4681,-0.151603,0.098805,-0.368531,1
-1.047762,-0.581488,-0.183919,0.117504,-0.417686,1
-1.512902,-0.807193,-0.250484,0.165238,-0.620096,1
-1.221391,-0.656972,-0.203023,0.12503,-0.481436,1
-4.993954,-2.690194,-0.773518,0.422543,-2.033415,1
-2.795839,-1.522355,-0.47515,0.292617,-1.115766,1
-1.091159,-0.581289,-0.162666,0.126596,-0.428803,1
-1.317841,-0.708915,-0.214672,0.110678,-0.536404,1
-0.949317,-0.503996,-0.13725,0.115603,-0.372353,1
-1.513551,-0.830576,-0.268149,0.1262,-0.591126,1
-1.105422,-0.613664,-0.20376,0.096719,-0.448939,1
-1.593639,-0.86701,-0.251947,0.172743,-0.632344,1
-1.376952,-0.749126,-0.237587,0.146767,-0.552743,1
-1.966689,-1.0656,-0.339234,0.205646,-0.789725,1
-1.119477,-0.573457,-0.186485,0.121223,-0.47975,1
-1.083345,-0.614289,-0.19286,0.118435,-0.46305,1
-1.229941,-0.676752,-0.229238,0.125922,-0.494427,1
-1.951514,-1.062101,-0.307838,0.216646,-0.772726,1
-1.460134,-0.775487,-0.228092,0.133803,-0.575162,2
-0.443202,-0.251384,-0.104084,0.037888,-0.176143,1
-1.229882,-0.659718,-0.223663,0.122779,-0.499511,1
-0.426573,-0.242203,-0.099045,0.041046,-0.170439,1
-0.787463,-0.426585,-0.141092,0.090764,-0.339433,1
-0.824629,-0.46873,-0.154844,0.075142,-0.308339,1
-1.327245,-0.712941,-0.212614,0.155445,-0.535121,1
-1.44982,-0.775488,-0.244668,0.155363,-0.596555,1
-0.82696,-0.430992,-0.114956,0.092587,-0.321127,1
-1.983426,-1.053584,-0.330512,0.217802,-0.821585,1
-1.825391,-0.974406,-0.297639,0.204478,-0.74306,1
-0.866131,-0.463556,-0.163138,0.083311,-0.352929,1
-1.642299,-0.881431,-0.285199,0.171439,-0.670981,1
-1.086398,-0.598245,-0.187427,0.117638,-0.432598,1
-0.864655,-0.466802,-0.126856,0.099955,-0.333543,1
-1.121015,-0.631164,-0.193565,0.126355,-0.432761,1
-1.901518,-1.011018,-0.308023,0.195709,-0.762667,1
-2.197697,-1.196779,-0.382892,0.230818,-0.884687,1
-0.908569,-0.501342,-0.149944,0.078088,-0.374273,1
-0.531771,-0.281126,-0.099863,0.054537,-0.238669,1
-0.837582,-0.520167,-0.144474,0.168538,-0.423857,1
-1.70746,-0.915683,-0.268018,0.187188,-0.683905,1
-1.115099,-0.582837,-0.188217,0.110779,-0.458611,1
-1.304207,-0.684951,-0.223919,0.142705,-0.54136,1
-0.729994,-0.401965,-0.145623,0.068923,-0.292105,1
-1.361588,-0.720738,-0.226504,0.142498,-0.552753,1
-1.684762,-0.904167,-0.283244,0.178741,-0.680283,1
-0.930301,-0.51078,-0.160439,0.095455,-0.379858,1
-1.186047,-0.629254,-0.213521,0.115817,-0.491193,1
-1.726771,-0.922136,-0.292066,0.163437,-0.692432,1
-0.568564,-0.312382,-0.126349,0.05498,-0.245198,1
-1.56928,-0.842398,-0.240658,0.1817,-0.628747,1
-1.323541,-0.707603,-0.226043,0.142658,-0.543262,1
0.008861,-0.091262,0.054829,0.054161,0.069195,1
-1.14012,-0.641529,-0.201865,0.110375,-0.4441,1
-1.835287,-0.989368,-0.298927,0.202135,-0.733233,1
-0.849033,-0.474742,-0.14663,0.095965,-0.350332,1
-1.617158,-0.876505,-0.282789,0.169976,-0.656313,1
-2.488881,-1.330866,-0.391899,0.270866,-1.000774,1
-0.833766,-0.458556,-0.144139,0.08356,-0.343114,1
-0.845019,-0.471177,-0.166086,0.09028,-0.353686,1
-1.411245,-0.756408,-0.249514,0.140364,-0.569361,1
-1.065554,-0.565595,-0.15564,0.11148,-0.414224,1
-1.900366,-1.015772,-0.316973,0.20171,-0.771179,1
-1.139117,-0.624684,-0.125658,0.012521,-0.456756,1
-1.567801,-0.835688,-0.272696,0.159589,-0.638401,1
-0.987469,-0.54986,-0.158699,0.116824,-0.377842,1
-0.415406,-0.241799,-0.091927,0.04132,-0.184574,1
-1.64181,-0.876005,-0.258733,0.179089,-0.654456,1
-1.47812,-0.786201,-0.246699,0.154261,-0.599792,1
-1.704565,-0.919648,-0.2593,0.195685,-0.67263,1
-1.594613,-0.84347,-0.275279,0.158157,-0.653547,1
-0.996545,-0.533938,-0.162741,0.106595,-0.391454,1
-1.243871,-0.664314,-0.220275,0.127045,-0.513952,1
-1.346159,-0.708383,-0.213951,0.146082,-0.548924,1
-0.887562,-0.46004,-0.162716,0.089622,-0.377043,1
-1.019002,-0.545864,-0.181161,0.099788,-0.426795,1
-1.636022,-0.88217,-0.287848,0.168907,-0.6657,1
-2.286865,-1.204731,-0.375664,0.238333,-0.931629,1
-1.915117,-1.051153,-0.312719,0.210454,-0.751902,1
-1.616646,-0.88037,-0.275642,0.131669,-0.636846,2
-1.277818,-0.677442,-0.200429,0.140513,-0.514858,1
-2.440355,-1.297792,-0.401916,0.254689,-0.99168,1
-0.789794,-0.430375,-0.142614,0.083177,-0.323009,1
-1.342542,-0.702666,-0.211166,0.134226,-0.533694,1
-1.077376,-0.585691,-0.185919,0.113424,-0.436874,1
-0.630533,-0.359936,-0.104411,0.078241,-0.238736,1
-0.719361,-0.388837,-0.112681,0.090067,-0.28547,1
-1.837651,-0.998177,-0.315034,0.189938,-0.746157,1
-0.983133,-0.540065,-0.169176,0.108002,-0.386972,1
-0.936734,-0.506405,-0.159461,0.100611,-0.374486,1
-1.238306,-0.650527,-0.18842,0.140828,-0.501983,1
-1.524329,-0.826662,-0.25348,0.134981,-0.627148,1
-1.015486,-0.54087,-0.16027,0.101722,-0.405266,1
-2.15744,-1.147947,-0.360813,0.220613,-0.882818,1
-2.316168,-1.256833,-0.386382,0.25076,-0.938741,1
-1.174491,-0.633496,-0.209106,0.106701,-0.4713,2
-2.085817,-1.114253,-0.359266,0.219998,-0.857888,1
-1.172955,-0.629295,-0.218533,0.120395,-0.487503,1
-0.966158,-0.533913,-0.16882,0.107326,-0.385234,1
-0.092328,-0.034683,-0.033886,0.007182,-0.05474,1
-1.772422,-0.963702,-0.28146,0.204529,-0.700325,1
-1.372438,-0.72121,-0.208889,0.148342,-0.553228,1
-1.124184,-0.597274,-0.193507,0.088724,-0.451917,2
-1.093296,-0.590625,-0.196992,0.107859,-0.438941,1
-1.273002,-0.68678,-0.200977,0.142505,-0.513697,1
-0.438556,-0.22808,-0.103651,0.029855,-0.22354,1
-0.806695,-0.434337,-0.151543,0.080854,-0.326977,1
-2.28783,-1.228083,-0.391017,0.235475,-0.928872,1
-1.824434,-0.967897,-0.314631,0.192043,-0.753343,1
-1.341846,-0.717054,-0.236347,0.155943,-0.559496,1
-0.576021,-0.311954,-0.117031,0.056582,-0.234519,1
-1.825975,-1.028539,-0.295916,0.222903,-0.8056,1
-1.017825,-0.544392,-0.189741,0.094345,-0.414703,1
-0.703012,-0.417346,-0.100933,0.042032,-0.275902,1
