@relation car-evaluation_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Class {1,2,3,4}

@data
0.033015,0.003846,0.04099,0.027902,-0.018691,0.014753,3
-0.051395,-0.004055,0.055667,-0.012026,-0.018705,0.054546,1
-0.022183,-0.025888,0.043302,-0.004338,-0.038604,-0.017206,1
-0.042942,0.025716,0.028949,-0.018041,-0.007113,-0.016223,1
0.004168,0.007638,0.03644,-0.014223,-0.041597,0.02492,2
-0.036943,-0.008166,0.08687,0.012171,-0.0249,0.043581,2
-0.070298,0.028991,0.038284,-0.008977,-0.046817,-0.020102,1
0.011646,0.024234,0.050088,-0.018311,0.019946,-0.027797,1
-0.070965,0.010357,0.064464,0.047601,-0.044261,-0.003749,1
-0.04142,0.010401,0.042718,-0.054729,-0.005913,-0.011568,1
-0.030344,0.041117,0.010176,-0.021857,-0.030613,-0.02828,1
-0.021568,-0.045911,0.007351,0.02087,-0.016601,0.007995,1
-0.077109,-0.004149,0.036466,0.029157,-0.036265,-0.022632,1
-0.009384,0.032518,0.105467,-0.00239,-0.010703,-0.005224,2
-0.028879,0.038383,0.026674,0.030543,-0.034003,0.03626,1
0.034172,0.007524,0.018669,0.014388,-0.051592,0.00427,3
-0.006272,0.010355,0.042918,-0.015797,-0.037451,0.006579,2
-0.059494,0.007281,0.067896,-0.030578,-0.016862,0.013377,1
-0.067285,0.013159,0.065939,0.005523,-0.062414,-0.029492,2
-0.035614,0.045164,0.085019,-0.00306,0.015489,-0.009686,1
-0.011624,0.017567,0.009514,-0.013319,-0.019551,0.038799,1
-0.030834,0.064225,0.066901,0.030436,-0.040155,0.013974,1
-0.026539,0.047003,0.032424,0.013565,-0.036306,0.013432,1
-0.061193,-0.019146,0.023583,0.010396,-0.005963,-0.017179,1
0.006659,0.02156,0.060352,0.045088,-0.044847,-0.00904,4
-0.001305,-0.03132,0.030345,-0.00119,-0.046896,0.019475,2
0.029878,0.024747,0.053145,0.031259,-0.055442,0.004812,4
-0.032622,-0.023171,0.049781,-0.005912,-0.034458,-0.035547,1
0.023096,-0.023192,0.051211,-0.018484,-0.026893,0.020982,2
-0.009284,0.026187,0.015264,-0.030297,-0.021854,0.01597,1
-0.039934,0.061123,0.069103,0.003761,-0.05186,-0.007281,1
-0.006449,-0.031388,0.012374,-0.011511,-0.025353,-0.019322,1
-0.052855,-0.044408,0.087254,0.02363,-0.026053,0.019796,1
-0.031627,0.042507,0.072307,0.009513,-0.05006,-0.037129,2
0.017223,0.013775,0.014064,0.028806,0.003355,0.028632,1
0.011313,0.036583,0.074465,0.012345,-0.036045,0.023888,4
-0.023523,-0.020069,0.047579,0.020763,-0.022753,-0.014292,2
-0.01756,0.003934,0.057532,0.050795,-0.0478,-0.002978,2
-0.001957,0.045635,0.071334,-0.015316,0.000749,0.022507,1
-0.048565,-0.010391,0.065276,0.014061,-0.051352,0.037587,2
-0.007793,0.02567,0.02915,0.020891,-0.038651,0.001924,2
-0.08104,-0.00592,0.107033,0.022853,-0.006013,-0.006952,1
-0.008278,-0.002461,0.073375,0.065883,-0.019044,0.025846,2
-0.101151,0.019968,0.064191,0.030578,-0.051316,0.009332,1
-0.040439,-0.01951,0.050435,0.031401,-0.066603,0.00017,2
0.009645,-0.004643,0.030035,-0.034557,-0.007149,0.012032,1
-0.018617,-0.006076,-0.01035,0.036402,-0.02605,0.0287,1
-0.034275,0.039345,0.080743,-0.028161,-0.000361,-0.0126,1
-0.029667,-0.034575,0.01958,0.002319,-0.014758,-0.033175,1
-0.020005,0.044732,0.0939,0.007623,-0.023607,-0.031134,2
-0.014302,0.029204,0.018066,0.036883,0.01215,0.044627,1
-0.062016,0.008158,0.044101,-0.002013,-0.031609,0.028637,1
-0.029495,0.058407,0.062624,0.005335,-0.056006,0.011059,1
-0.037484,-0.030914,0.020235,0.039631,-0.046903,0.002542,2
-0.052374,0.034963,0.055528,-0.014059,-0.074809,0.014208,1
-0.009466,0.035684,-0.002781,-0.018709,-0.038905,0.008401,1
-0.020025,-0.007771,0.031008,-0.009728,-0.057958,-0.047604,2
0.027047,0.031082,0.043536,0.005171,-0.022794,0.021772,3
-0.021183,-0.011449,0.053329,0.003785,-0.025056,-0.037121,2
-0.029849,-0.025078,0.001535,0.013906,-0.031809,-0.040744,1
-0.001523,0.035108,0.017338,0.021479,0.005701,0.040139,1
0.020084,-0.007359,0.023557,-0.032983,-0.011295,0.030373,1
-0.02949,0.007167,0.050125,-0.001967,-0.026856,-0.007273,1
-0.045428,-0.031292,0.053121,0.010704,-0.014602,0.047528,1
-0.030131,0.024974,0.088688,-0.025963,-0.035452,0.046112,1
-0.027535,-0.018675,0.009898,-0.00186,-0.020704,0.015014,1
0.00535,0.01258,0.064512,-0.017687,-0.010999,0.012574,2
0.061528,0.004249,0.009334,0.005324,-0.011889,0.008149,1
-0.056231,-0.009581,0.023509,0.032305,-0.044557,0.014049,2
0.011256,0.041011,0.01661,0.006075,-0.000748,0.035651,1
0.019802,0.008469,0.095714,0.00651,-0.017194,0.001609,3
-0.071637,0.03481,0.042561,0.016124,-0.030966,-0.017187,1
0.009306,0.015614,0.044338,-0.001334,0.022249,-0.004968,1
-0.034967,0.019448,0.05653,0.018368,-0.061304,0.005615,4
-0.051854,-0.029969,0.09728,0.031753,-0.012505,-0.000119,1
-0.035024,0.023877,-0.001325,0.012098,-0.026007,0.017378,1
-0.054689,0.027606,0.100171,0.012968,-0.009007,0.035174,1
-0.047803,0.017973,-0.000597,0.027502,-0.019558,0.021866,1
-0.019046,-0.046788,0.031147,-0.007695,-0.001853,-0.007265,1
-0.030011,0.036921,0.046383,0.042844,-0.014509,-0.031843,1
-0.00609,0.000858,0.060964,-0.027384,-0.020401,0.014148,2
-0.006814,-0.013348,0.029289,0.022925,0.017453,0.042263,1
-0.042264,-0.049976,0.038353,0.006135,0.008742,-0.021117,1
-0.048175,-0.027168,0.098754,-0.010325,-0.030659,-0.025862,1
-0.050191,0.054342,0.093626,-0.009401,-0.030663,-0.018053,1
-0.049758,0.043816,0.03963,0.027395,-0.025711,-0.000421,1
-0.054866,-0.014137,0.069626,0.017253,0.003092,0.009272,1
-0.053527,-0.019955,0.06535,-0.007847,-0.012759,0.006358,1
-0.024705,-0.025011,0.019507,0.024227,-0.053352,-0.001946,2
-0.033685,0.018058,-0.005601,-0.013003,-0.041858,0.014463,1
-0.048055,0.019003,0.071444,-0.020881,-0.00746,0.011803,1
0.025688,-0.015602,-0.01508,0.012921,-0.041294,0.008216,1
-0.001076,0.013902,0.108671,0.003362,-0.008903,-0.035072,2
-0.018232,0.028386,0.035628,0.019317,-0.034505,-0.016416,2
-0.037182,0.00576,0.01097,0.017489,-0.006653,0.047775,1
-0.026353,-0.013734,0.03797,-0.005324,0.009894,0.002668,1
-0.030309,-0.016768,0.058143,-0.021677,-0.023354,0.020211,2
-0.060197,0.046532,0.046109,0.025821,-0.021565,-0.018761,1
-0.072612,0.021634,0.082927,0.01805,0.018986,0.000865,1
-0.024164,-0.002262,0.086142,-0.003233,-0.031349,0.039093,3
0.01445,0.015682,0.06231,0.008988,0.000706,0.033829,2
0.039467,0.00474,-0.005781,0.00564,-0.034195,-0.016187,1
0.006173,-0.014724,0.043994,-0.005278,0.014647,-0.033242,1
-0.0199,-0.004686,0.051781,0.067773,-0.045497,0.019851,2
0.027871,0.003778,0.023018,0.01758,0.002852,-0.024044,1
-0.005417,-0.023595,0.082867,0.004094,-0.033695,0.027586,3
-0.001284,0.021182,0.093238,0.016162,-0.012546,0.035945,3
-0.043452,-0.003678,0.022781,0.016901,-0.051006,0.009561,2
-0.007606,-0.035066,0.034695,0.002002,0.007548,-0.008839,1
0.011933,-0.034681,0.026015,0.030251,0.015107,0.030756,1
-0.010925,-0.004669,0.028805,0.016947,-0.046253,-0.026349,2
-0.060954,-0.033072,0.099482,0.005078,-0.02421,-0.021373,1
-0.054048,0.009799,0.061608,0.036964,-0.000411,-0.018211,1
-0.03283,-0.015891,0.034348,0.006888,-0.038101,0.03547,2
-0.015528,0.018012,0.077469,-0.020835,-0.002707,-0.024107,1
0.003834,-0.023344,0.038243,0.0117,0.01695,-0.010413,1
-0.032627,0.028068,0.06228,0.00139,-0.063607,-0.017214,2
-0.007252,0.048419,0.095784,-0.006569,-0.016649,0.042964,1
-0.064148,-0.007742,0.053783,0.002166,-0.025663,-0.019551,1
-0.046282,0.002658,0.013172,-0.009186,-0.018358,0.026521,1
-0.002259,0.00896,0.080599,0.006826,-0.039501,-0.022726,2
-0.03478,-0.041288,0.062075,-0.000521,-0.015105,-0.005149,1
-0.02568,-0.038186,0.059873,0.026154,-0.0034,0.016106,1
-0.07909,0.019477,0.079305,0.030262,-0.02901,0.033667,1
-0.056482,-0.008551,0.09555,-0.016078,-0.032459,0.003986,2
0.014248,-0.027324,-0.018628,0.003224,-0.050695,0.00979,1
-0.03417,-0.010073,0.038624,0.031989,-0.022251,0.038385,1
0.017405,0.004278,0.032109,0.017218,0.020406,0.036201,1
-0.01988,0.039663,0.054091,-0.010234,0.028741,-0.011802,1
0.022914,-0.013695,0.033166,-0.006896,-0.043943,0.013413,3
-0.008946,-0.029248,0.038971,0.027103,0.023399,-0.005925,1
0.005784,0.002053,0.010516,0.019109,-0.006047,0.030206,1
0.018771,0.000676,0.025221,-0.009095,-0.008852,-0.045299,1
-0.000795,-0.001926,0.036514,-0.036132,-0.003004,-0.006309,1
-0.074592,0.046214,0.072761,0.007893,-0.050667,-0.019559,1
-0.001158,0.017068,0.000423,-0.012957,-0.037105,-0.021446,1
-0.084234,0.019409,0.061334,0.01994,-0.007467,-0.00513,1
-0.038464,0.00715,0.073101,0.048859,-0.0261,0.038927,2
-0.046803,0.032412,0.00943,0.035625,-0.00601,0.001951,1
-0.054871,0.037103,0.082126,0.024555,-0.026057,0.027605,1
0.007149,-0.001549,0.003627,-0.007205,-0.035305,-0.051294,1
-0.037918,-0.020387,0.074231,0.002836,-0.051855,-0.01509,2
0.009978,-0.008838,0.066242,0.030144,0.008955,0.00847,1
-0.01856,-0.010505,0.047505,0.042672,-0.061347,0.016937,4
-0.027969,-0.008148,0.063894,-0.038655,-0.025656,-0.002618,1
-0.025503,0.003557,0.090418,0.021868,-0.015498,0.042007,2
-0.025534,0.010202,0.029951,0.014386,0.006391,-0.024816,1
-0.020385,-0.04097,0.035423,0.017406,0.013997,-0.004351,1
-0.038495,0.013795,0.012634,0.041377,-0.00421,-0.027896,1
-0.055482,0.005887,0.105577,-0.007955,-0.018911,-0.015929,2
-0.013517,-0.012259,0.095096,-0.014458,-0.031852,-0.013583,2
-0.03132,0.027941,0.050543,-0.019931,0.019339,-0.010228,1
-0.011567,0.013139,0.067368,-0.007049,-0.054849,0.027036,3
-0.023017,0.060564,0.066246,-0.006877,-0.00801,-0.021743,1
-0.068682,0.023406,0.01236,0.024354,-0.011266,-0.014815,1
-0.014084,-0.037224,0.031073,0.014214,-0.040447,0.023963,2
-0.040496,-0.015082,-0.007419,0.025131,-0.031306,0.011933,1
-0.027025,0.018872,0.076649,0.058556,-0.016698,0.037353,2
-0.005656,-0.009669,0.006968,0.009411,-0.015448,0.03178,1
-0.046464,0.012155,-0.004873,0.002401,-0.035409,0.018952,1
0.011569,-0.015687,-0.010076,0.053426,-0.018994,0.015618,1
0.02687,-0.01066,0.012992,0.009457,-0.010695,-0.00413,1
-0.022835,0.051067,0.084291,-0.018464,0.00904,-0.014174,1
-0.072456,0.010874,0.050579,-0.003587,-0.027463,0.010296,1
-0.025357,0.051944,0.060496,0.010101,-0.005707,0.001086,1
-0.050758,0.029377,0.029604,0.019272,-0.039258,0.019494,1
-0.004599,0.000341,0.074849,0.023804,-0.037198,0.000103,4
-0.01288,0.021174,0.069033,0.016839,-0.052406,-0.048636,2
-0.047746,0.013545,0.057258,0.033772,-0.054855,0.010103,2
-0.018409,-0.013356,0.005083,0.023603,-0.022407,-0.042318,1
-0.031471,0.030793,0.092964,-0.000862,-0.019601,0.049026,1
-0.044463,0.041032,0.01518,0.018647,-0.008313,-0.020878,1
-0.027817,-0.002847,0.082055,0.037634,-0.026603,-0.01375,2
-0.031825,-0.052692,0.031875,0.007709,0.004596,-0.002777,1
0.004991,-0.019666,0.015922,-0.001814,-0.015951,-0.020896,1
0.009181,0.020683,0.084147,0.016523,-0.030099,-0.0243,2
0.038128,0.010559,-0.001505,0.030741,-0.018344,-0.013273,1
-0.008793,0.011232,0.019123,0.012768,-0.052199,0.021839,3
-0.041935,0.032246,0.04905,-0.012485,-0.078955,0.032548,1
-0.03,-0.022227,0.043957,0.032975,-0.070749,0.018511,4
0.028052,-0.005719,0.041064,0.005993,0.019903,-0.016476,1
-0.064492,0.063754,0.080586,0.042691,-0.025414,-0.018219,1
-0.095856,0.017184,0.039741,0.02183,-0.033919,-0.011125,1
-0.068469,0.007264,0.090872,0.020249,-0.016105,0.059577,1
-0.024195,0.004383,0.025675,-0.010715,-0.009459,-0.02773,1
-0.055664,0.015384,0.087532,0.003632,-0.035962,-0.023498,2
-0.005813,0.001091,0.039316,0.031048,0.031001,0.022349,1
-0.05435,0.007349,0.085868,-0.020256,-0.038405,0.052174,1
-0.03244,-0.032668,0.067826,-0.017499,-0.017407,-0.027978,1
-0.032804,-0.013674,0.031736,0.005675,-0.051509,-0.043116,2
-0.018541,0.033845,0.049815,-0.035335,0.01289,-0.014716,1
-0.012598,0.005345,-0.003125,-0.022654,-0.046506,-0.019872,1
0.004834,-0.008906,0.04827,0.019823,0.030498,-0.030328,1
-0.016706,-0.038169,0.036897,-0.024672,-0.004156,-0.030094,1
-0.026019,0.017249,0.036166,-0.031246,-0.048653,0.038001,1
-0.031011,0.022483,0.036356,0.034721,-0.028057,-0.011928,2
-0.059525,0.022079,0.068013,0.057298,-0.034859,-0.005323,1
0.004444,0.007871,0.014792,0.044209,0.009804,0.03312,1
-0.025377,-0.000558,-0.002397,-0.00725,-0.040058,-0.015384,1
-0.053218,-0.025414,0.051163,0.046805,-0.060154,0.004658,2
-0.01805,0.018889,0.053673,0.00773,-0.017455,-0.008847,2
-0.039132,-0.019637,0.038698,0.01008,0.016343,0.007156,1
-0.063152,0.057936,0.076309,0.01759,-0.041265,-0.021134,1
-0.033023,0.052754,0.018729,0.028344,0.001088,-0.022452,1
-0.040571,0.027691,0.095166,-0.027537,-0.031306,0.027771,1
-0.019228,-0.037292,0.013102,0.003893,-0.018904,-0.014834,1
-0.025539,0.061441,0.042451,0.021688,-0.022758,-0.006483,1
-0.05706,0.025631,0.033954,0.022464,0.015186,-0.00882,1
-0.062173,0.018918,0.076449,0.019624,0.01484,0.019205,1
-0.058185,0.016261,0.063736,0.032198,-0.050709,-0.008238,2
-0.073795,0.016693,0.054855,0.021514,-0.011613,0.01321,1
-0.00466,0.056009,0.029494,0.024836,-0.03105,0.030198,1
-0.00612,0.015656,0.06108,0.060492,-0.038398,-0.004552,2
0.016608,0.033799,0.050015,0.003597,-0.018648,0.003431,3
-0.037797,0.025784,0.046921,-0.007719,-0.028657,0.022575,1
-0.027879,0.052821,0.0367,0.038666,-0.020455,0.016346,1
0.02453,-0.01928,0.007241,0.026435,-0.008392,0.018699,1
-0.070601,-0.008637,0.100555,0.024427,-0.010159,0.011388,1
0.02921,-0.00204,0.018742,-0.007521,-0.012998,-0.026959,1
-0.014517,-0.026697,0.085069,-0.022581,-0.0454,0.006331,1
-0.059343,0.012582,0.086058,0.045711,-0.017808,0.002245,1
-0.011926,-0.019107,0.018779,0.008824,-0.059801,-0.006434,2
-0.038099,-0.01089,0.056186,0.014423,-0.068906,-0.022659,2
-0.015423,-0.031405,0.03535,0.039315,-0.024596,0.026878,2
-0.066979,-0.001407,0.044174,-0.023921,0.006984,-0.002592,1
-0.024043,0.009685,0.043836,0.065574,-0.010406,-0.038861,1
-0.001258,0.023399,0.090626,0.014949,-0.025953,-0.042641,2
-0.057211,0.028483,0.076375,0.041533,-0.023754,0.050434,1
-0.006996,-0.003851,0.011244,0.034512,0.000402,0.034694,1
-0.057879,0.001696,0.041972,0.002754,0.018689,0.018663,1
0.007362,-0.017691,0.082139,-0.01131,-0.040144,0.023098,3
-0.056846,0.010442,0.05946,0.007097,-0.06656,-0.011152,2
0.016431,-0.007944,0.01947,0.007883,-0.006549,-0.02247,1
-0.05335,0.021787,0.095895,-0.012133,-0.024857,0.03226,1
0.018563,0.007956,0.009788,0.003705,-0.012495,0.025718,1
-0.037975,-0.015959,0.016376,-0.003434,-0.016558,-0.003327,1
-0.060161,-0.011353,0.094076,0.026001,-0.014305,0.029729,2
0.000493,-0.046403,0.022466,0.020554,0.005705,0.03233,1
-0.035276,0.024907,0.070716,-0.036284,-0.013909,0.007315,1
-0.03466,0.004883,0.034766,-0.011076,0.008094,0.032516,1
0.002828,0.013457,0.040716,0.010878,-0.025747,0.027834,3
-0.042608,0.021521,0.065156,0.046661,0.008991,-0.019785,1
-0.008101,0.031129,0.043336,-0.033761,0.008744,0.003624,1
0.016588,-0.018704,-0.012878,-0.013754,-0.052998,-0.013039,1
-0.040257,-0.029007,0.06848,0.019814,-0.049552,0.007739,2
-0.01707,-0.019175,0.000807,-0.001498,-0.038257,-0.045232,1
-0.075411,0.022278,0.08078,-0.011817,-0.047164,0.007924,1
-0.070783,0.00086,0.08251,0.036014,-0.02721,0.00382,1
-0.002316,0.013389,0.022745,0.000557,-0.004204,-0.010963,1
-0.072976,0.040628,0.046837,0.041225,-0.015116,-0.014273,1
0.009124,0.025111,0.026293,0.010254,0.005198,-0.012537,1
0.000817,0.043728,0.023089,0.004501,0.003398,0.01731,1
-0.014918,0.049228,0.054017,0.011675,-0.009853,0.019426,1
0.008978,-0.023277,0.056215,0.022021,-0.004593,0.028384,2
-0.085053,-0.004526,0.069352,0.00023,-0.003964,0.022353,1
-0.014266,-0.027727,0.013028,0.025801,-0.057498,0.016394,2
0.017613,-0.003002,0.047542,0.004419,0.024049,-0.034816,1
-0.095492,-0.00181,0.075831,-0.001344,0.000182,0.004013,1
-0.040909,0.047948,0.109469,0.005687,-0.001908,0.010771,1
0.024712,-0.028777,0.025286,0.014848,0.008658,0.026268,1
-0.020572,0.019766,0.029878,0.036295,-0.032202,0.006413,2
-0.008309,0.004184,0.012908,0.058401,0.002845,-0.040978,1
-0.018055,0.070129,0.066173,0.015032,-0.046604,0.009485,1
-0.015038,0.003057,0.081327,0.02223,-0.033052,-0.018238,2
-0.05423,0.019295,0.043563,0.048551,-0.017462,-0.02578,1
-0.030219,0.044201,0.03095,0.055644,-0.018152,0.039175,1
-0.073071,0.030898,0.08653,-0.028795,-0.049467,-0.014905,1
-0.023584,0.035599,0.002224,0.021795,-0.016605,0.015804,1
-0.047903,0.024305,0.089606,0.055408,-0.008407,0.000671,1
-0.05569,0.013167,0.090144,0.004845,-0.022554,0.055089,1
-0.003321,0.05019,0.025217,-0.000265,-0.0469,0.027284,1
-0.074228,0.02722,0.108851,-0.015281,-0.016565,-0.004422,1
-0.028516,0.019389,0.062764,0.007368,0.000099,0.051398,1
-0.042426,0.012024,0.083201,0.035073,0.026041,-0.012216,1
-0.059186,0.001822,0.05371,0.024075,-0.064257,0.011677,2
-0.024018,0.046126,0.05622,-0.015,-0.021558,-0.001828,1
-0.041451,0.025199,0.042835,0.033147,-0.023911,-0.030268,1
-0.062355,0.028415,0.058404,0.031211,-0.002211,0.011636,1
-0.024528,0.016732,0.050051,0.019942,-0.06545,0.023955,4
-0.025195,-0.010055,0.015648,-0.018838,-0.023007,-0.007815,1
-0.013265,-0.013289,0.023055,0.033924,-0.04395,-0.00352,2
-0.019718,-0.014183,0.069826,0.056186,-0.028446,0.02742,2
-0.011442,0.00807,0.027559,-0.024906,-0.002501,0.046368,1
-0.019567,-0.017035,0.027405,0.037116,0.010494,-0.031835,1
-0.061136,-0.023575,0.081437,0.016666,-0.04126,-0.028942,1
-0.040133,-0.034076,0.028671,0.001957,0.002796,0.027071,1
-0.022163,0.026615,0.106195,0.013013,-0.004254,-0.000736,2
-0.067832,0.040696,0.064809,0.051546,-0.036659,0.024524,1
0.037491,-0.022873,0.024558,-0.000556,0.002209,0.02178,1
-0.037,-0.003737,0.029015,0.005902,0.010397,0.055344,1
-0.019385,-0.026532,0.04545,0.025529,0.027545,-0.024266,1
0.025349,0.004655,-0.000777,0.046145,-0.011895,-0.008785,1
0.01862,0.003528,0.067642,0.009974,-0.047793,0.013955,4
-0.000002,0.019792,0.031107,-0.015209,0.006901,0.044794,1
-0.069318,-0.010026,0.038424,-0.006944,0.009287,0.020237,1
0.01257,-0.001248,-0.000049,0.061549,-0.005446,-0.004296,1
-0.039747,0.000387,0.074649,-0.015128,-0.00566,-0.018045,1
-0.00697,-0.001634,0.008632,0.0333,-0.013005,-0.043892,1
-0.021062,0.034722,0.026019,-0.00677,-0.001858,0.000544,1
-0.037099,0.003548,0.066212,0.022546,-0.055358,-0.042574,2
-0.038256,-0.00013,0.088534,0.03606,-0.022457,-0.03209,1
-0.056049,-0.019078,0.041554,0.020718,-0.027506,0.021618,1
-0.003498,0.008448,-0.005327,0.004021,-0.034802,0.001382,1
-0.01571,0.027509,0.059424,-0.009248,-0.019758,-0.031676,2
-0.023341,-0.029566,0.065624,0.009176,-0.005703,-0.006723,1
-0.058524,0.036518,0.078039,0.065421,-0.021311,-0.025238,1
-0.008127,-0.005313,0.030953,0.046814,0.019896,-0.033409,1
-0.022006,0.015855,0.073847,-0.008623,-0.050703,0.008695,3
-0.032648,-0.025388,0.052393,-0.004699,-0.021051,0.043039,2
0.00581,0.00427,0.007904,0.017896,-0.019454,-0.04838,1
-0.027999,0.00665,0.06401,0.049221,-0.043654,-0.021319,2
-0.031339,-0.016408,0.048233,0.058076,-0.054898,0.021425,2
-0.057029,0.018986,0.09442,0.029946,-0.006704,0.058003,1
-0.01939,0.024708,0.057949,0.032831,-0.001604,-0.005933,2
-0.027045,-0.033631,0.013756,0.041205,-0.051049,0.020883,2
-0.043942,0.011278,0.018923,-0.026164,-0.020661,0.003692,1
-0.021824,0.006358,0.091892,-0.02021,-0.033652,0.016264,3
0.034536,-0.011469,0.054759,-0.008786,-0.017491,0.019408,2
0.003986,0.017135,0.018395,-0.002635,-0.058648,0.017351,3
-0.031263,0.023513,0.108397,-0.013662,-0.015958,-0.021991,2
-0.049514,-0.021349,0.103031,0.014775,-0.014808,-0.022947,1
-0.013699,-0.002762,0.077051,-0.002871,-0.048903,-0.021152,2
0.024733,0.024679,0.035174,0.020937,-0.033899,-0.033985,2
0.042782,0.025582,0.012608,-0.002002,-0.009543,0.019656,1
-0.042092,0.043006,0.081398,0.009151,-0.032506,0.023117,1
-0.038136,0.046041,0.061224,0.025505,0.000742,0.005574,1
-0.026874,0.01602,0.034227,0.039487,0.022242,-0.021902,1
0.051271,-0.002531,0.033857,-0.007837,0.009308,-0.002623,1
0.007999,0.015741,0.056076,0.019987,-0.060697,-0.011955,4
-0.020906,0.023962,-0.006329,-0.028406,-0.048307,0.009975,1
-0.050576,0.01988,0.047649,0.007685,-0.022208,0.027063,1
0.002156,0.037909,0.018813,-0.020599,-0.012453,0.014396,1
-0.007788,-0.025569,0.01665,0.01359,-0.009502,-0.016408,1
-0.039596,0.005688,0.09281,0.061161,-0.006606,-0.029176,1
-0.045563,0.032925,0.095356,0.03843,-0.010709,-0.022157,1
0.008942,0.034608,0.008248,0.021841,-0.011852,-0.020106,1
-0.002983,-0.005245,0.048925,0.057135,-0.001647,0.005389,2
-0.011963,0.037824,0.023817,0.019905,0.009847,0.021798,1
-0.061813,0.052117,0.072033,-0.00751,-0.057115,-0.024048,1
-0.017039,-0.02582,0.061274,0.005984,-0.060147,0.021591,3
-0.025716,0.019699,0.011906,0.025974,-0.010659,-0.032385,1
-0.061162,-0.025791,0.084049,0.017878,-0.027853,0.049644,2
-0.001643,-0.011063,0.044648,0.032034,-0.017498,0.002475,2
-0.085235,0.004971,0.051307,0.011817,-0.021014,0.014784,1
0.013414,0.059128,0.004316,0.000685,-0.020101,0.005253,1
-0.030976,-0.035402,0.084323,0.034901,-0.020797,0.036563,2
-0.053709,-0.010458,0.047305,0.00374,-0.029809,-0.001211,1
-0.022548,-0.007847,0.060217,0.030099,0.004202,0.04438,1
0.007274,0.001536,0.024401,0.070296,-0.022844,0.016161,2
0.006998,0.001303,0.046049,0.011864,-0.074245,0.00796,4
-0.004271,0.039231,0.062972,0.000449,-0.010356,-0.03325,2
-0.05289,0.013477,0.039286,0.02345,-0.033312,-0.028694,1
0.000055,0.015364,0.088962,-0.008939,-0.028396,0.033031,3
-0.046225,-0.001771,0.071027,-0.002916,-0.053655,0.014758,2
-0.010805,0.041503,0.001495,0.006392,-0.023054,0.011315,1
-0.014938,-0.003275,-0.008875,-0.005676,-0.044204,0.002956,1
-0.036797,0.040222,0.056948,0.000404,-0.015109,0.00266,1
-0.04379,0.016579,0.037084,0.050125,-0.021608,-0.00744,1
-0.019905,0.0384,0.003698,-0.020283,-0.034759,-0.009939,1
-0.009404,-0.019984,0.042574,-0.019741,-0.045053,-0.021694,1
-0.045771,0.040205,0.079923,0.05123,-0.014353,0.04886,1
-0.013604,0.006968,0.037358,0.067148,-0.014552,-0.020521,1
-0.037646,0.031085,0.065082,0.06857,-0.029603,0.011443,2
-0.07675,0.028097,0.085056,0.013284,-0.031313,0.010838,1
-0.043609,0.007082,0.055129,0.038538,-0.004557,0.000129,1
